id,wikidata
b20b1d00-64ee-4433-ad26-091a4e5ecf22,Q20744433
18bfce68-ea22-4ca1-8f86-9a6586274b99,Q18844195
ae32e65a-e58c-4d64-ad07-c38d78c6dd1c,Q28841838
42362a3d-c9b3-460c-9622-4c912506fc8b,Q14924303
d6efc8bb-beb2-429e-8860-cb356a38ea20,Q8011050
c8474d94-9a9c-47c4-abae-f8d9677d74cb,Q3117887
3a0775e0-a05a-4db1-aead-7b6192bc7d25,Q12857400
4867eb1d-fcf8-4d9f-9ca7-23aac4ebdb97,Q47750
b5c6b4e7-2655-4c15-8bf3-93842c935ea8,Q47817
59b8ea06-546e-4044-8f83-587bb25ed753,Q47729
10d38e58-c868-416a-b80e-68a417a10775,Q47720
0f6c9c79-fb50-431c-8801-9d794e773931,Q14924303
8b1a6bb0-cc4f-4099-ae4b-89b97ae4d9e2,Q1757843
95433a21-552d-440f-8d18-6c5e3a171a51,Q47750
e2639f13-5f27-4672-bf6c-2620590521d2,Q12857400
