name,wikiname,party,term,source
Alfred Brin,"",Saint-Barth d'abord,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Barth%C3%A9lemy#Mandature_mars_2012_-_2017
"Alfred Brin
","","Saint-Barth d'abord
",2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Barth%C3%A9lemy#Mandature_mars_2012_-_2017
Andy Laplace,"",Saint-Barth d'abord,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Barth%C3%A9lemy#Mandature_mars_2012_-_2017
"Andy Laplace
","","Saint-Barth d'abord
",2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Barth%C3%A9lemy#Mandature_mars_2012_-_2017
Benoît Chauvin,"",Tous pour Saint-Barth,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Barth%C3%A9lemy#Mandature_mars_2012_-_2017
"Benoît Chauvin
","","Tous pour Saint-Barth
",2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Barth%C3%A9lemy#Mandature_mars_2012_-_2017
Bettina Cointre,"",Tous pour Saint-Barth,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Barth%C3%A9lemy#Mandature_mars_2012_-_2017
"Bettina Cointre
","","Tous pour Saint-Barth
",2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Barth%C3%A9lemy#Mandature_mars_2012_-_2017
Bruno Magras,Bruno Magras,Saint-Barth d'abord,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Barth%C3%A9lemy#Mandature_mars_2012_-_2017
"Bruno Magras
",Bruno Magras,"Saint-Barth d'abord
",2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Barth%C3%A9lemy#Mandature_mars_2012_-_2017
Corinne Febrissy,"",Saint-Barth d'abord,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Barth%C3%A9lemy#Mandature_mars_2012_-_2017
"Corinne Febrissy
","","Saint-Barth d'abord
",2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Barth%C3%A9lemy#Mandature_mars_2012_-_2017
Cécile Tiberghien,"",Saint-Barth d'abord,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Barth%C3%A9lemy#Mandature_mars_2012_-_2017
"Cécile Tiberghien
","","Saint-Barth d'abord
",2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Barth%C3%A9lemy#Mandature_mars_2012_-_2017
Donald Gumbs,"",Saint-Barth d'abord,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Barth%C3%A9lemy#Mandature_mars_2012_-_2017
"Donald Gumbs
","","Saint-Barth d'abord
",2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Barth%C3%A9lemy#Mandature_mars_2012_-_2017
Jean-Marie Danet,"",Saint-Barth d'abord,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Barth%C3%A9lemy#Mandature_mars_2012_-_2017
"Jean-Marie Danet
","","Saint-Barth d'abord
",2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Barth%C3%A9lemy#Mandature_mars_2012_-_2017
Juliette Gréaux,"",Saint-Barth d'abord,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Barth%C3%A9lemy#Mandature_mars_2012_-_2017
"Juliette Gréaux
","","Saint-Barth d'abord
",2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Barth%C3%A9lemy#Mandature_mars_2012_-_2017
Karine Miot Richard,"",Saint-Barth d'abord,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Barth%C3%A9lemy#Mandature_mars_2012_-_2017
"Karine Miot Richard
","","Saint-Barth d'abord
",2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Barth%C3%A9lemy#Mandature_mars_2012_-_2017
Marie-Angèle Aubin,"",Saint-Barth d'abord,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Barth%C3%A9lemy#Mandature_mars_2012_-_2017
"Marie-Angèle Aubin
","","Saint-Barth d'abord
",2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Barth%C3%A9lemy#Mandature_mars_2012_-_2017
Maxime Desouches,"",Saint-Barth en mouvement !,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Barth%C3%A9lemy#Mandature_mars_2012_-_2017
"Maxime Desouches
","","Saint-Barth en mouvement !
",2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Barth%C3%A9lemy#Mandature_mars_2012_-_2017
Michel Magras,Michel Magras,Saint-Barth d'abord,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Barth%C3%A9lemy#Mandature_mars_2012_-_2017
"Michel Magras
",Michel Magras,"Saint-Barth d'abord
",2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Barth%C3%A9lemy#Mandature_mars_2012_-_2017
Micheline Jacques,"",Saint-Barth d'abord,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Barth%C3%A9lemy#Mandature_mars_2012_-_2017
"Micheline Jacques
","","Saint-Barth d'abord
",2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Barth%C3%A9lemy#Mandature_mars_2012_-_2017
Nicole Gréaux,"",Saint-Barth d'abord,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Barth%C3%A9lemy#Mandature_mars_2012_-_2017
"Nicole Gréaux
","","Saint-Barth d'abord
",2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Barth%C3%A9lemy#Mandature_mars_2012_-_2017
Nils Dufau,"",Saint-Barth d'abord,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Barth%C3%A9lemy#Mandature_mars_2012_-_2017
"Nils Dufau
","","Saint-Barth d'abord
",2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Barth%C3%A9lemy#Mandature_mars_2012_-_2017
