id,mapit
"",1189916
"",1189977
"",1189842
"",1189946
"",1189953
"",1190000
"",1189921
"",1189928
"",1189944
"",1189954
"",1190004
"",1190009
"",1189994
"",1190010
"",1189970
"",1189955
"",1190011
"",1189995
"",1189980
"",1189945
"",1189923
"",1189975
"",1189936
"",1189929
"",1189967
"",1189973
"",1190008
"",1189930
"",1189937
"",1189919
"",1189941
"",1189931
"",1189956
"",1189942
"",1189922
"",1189938
"",1189959
"",1189943
"",1189986
"",1189978
"",1189947
"",1189963
"",1189939
"",1190012
"",1190013
"",1189965
"",1189999
"",1189950
"",1189996
"",1189917
"",1189940
"",1189960
"",1189971
"",1190005
"",1189951
"",1189948
"",1189924
"",1189983
"",1189976
"",1189968
"",1189952
"",1189958
"",1190001
"",1189969
"",1189997
"",1189987
"",1189918
"",1189988
"",1189920
"",1189934
"",1189964
"",1190003
"",1189949
"",1190002
"",1189981
"",1189984
"",1189979
"",1189985
"",1189933
"",1189990
"",1189926
"",1189935
"",1189991
"",1189927
"",1189998
"",1189961
"",1189982
"",1189972
"",1189974
"",1190014
"",1189992
"",1189957
"",1189966
"",1189932
"",1189925
"",1189989
94_11,1189427
94_3,1189428
94_4,1189429
94_6,1189430
94_8,1189431
25_5,1189432
25_2,1189433
25_1,1189434
25_4,1189435
25_3,1189436
94_1,1189437
94_2,1189438
94_5,1189439
94_7,1189440
94_10,1189441
94_9,1189442
91_1,1189443
91_2,1189444
91_3,1189445
91_4,1189446
91_5,1189447
91_6,1189448
91_7,1189449
91_8,1189450
91_9,1189451
91_10,1189452
78_4,1189453
78_5,1189454
78_6,1189455
78_7,1189456
78_8,1189457
78_9,1189458
78_10,1189459
78_12,1189460
77_1,1189461
77_2,1189462
77_3,1189463
77_4,1189464
77_5,1189465
77_6,1189466
77_7,1189467
77_8,1189468
77_9,1189469
77_10,1189470
77_11,1189471
95_1,1189472
95_2,1189473
95_3,1189474
95_4,1189475
95_5,1189476
95_6,1189477
95_7,1189478
95_8,1189479
95_9,1189480
95_10,1189481
92_1,1189482
92_2,1189483
92_3,1189484
92_4,1189485
92_5,1189486
92_6,1189487
92_7,1189488
92_8,1189489
92_10,1189490
92_11,1189491
92_12,1189492
92_13,1189493
93_1,1189494
93_2,1189495
93_3,1189496
93_4,1189497
93_5,1189498
93_6,1189499
93_7,1189500
93_8,1189501
93_9,1189502
93_10,1189503
93_11,1189504
93_12,1189505
33_1,1189506
33_3,1189507
33_4,1189508
33_5,1189509
33_6,1189510
33_7,1189511
33_9,1189512
33_10,1189513
33_11,1189514
33_12,1189515
40_2,1189516
40_3,1189517
09_1,1189518
09_2,1189519
32_1,1189520
32_2,1189521
01_2,1189522
01_3,1189523
01_5,1189524
04_1,1189525
04_2,1189526
31_1,1189527
31_2,1189528
31_3,1189529
31_5,1189530
31_6,1189531
31_7,1189532
31_8,1189533
31_9,1189534
05_1,1189535
05_2,1189536
81_1,1189537
81_2,1189538
81_3,1189539
14_3,1189540
82_1,1189541
14_4,1189542
82_2,1189543
14_5,1189544
14_6,1189545
16_1,1189546
16_2,1189547
16_3,1189548
17_1,1189549
17_2,1189550
17_3,1189551
17_4,1189552
17_5,1189553
46_1,1189554
46_2,1189555
34_1,1189556
34_3,1189557
34_4,1189558
34_5,1189559
34_6,1189560
34_7,1189561
34_8,1189562
34_9,1189563
48_1,1189564
87_1,1189565
87_2,1189566
87_3,1189567
23_1,1189568
63_1,1189569
63_2,1189570
63_5,1189571
42_1,1189572
42_3,1189573
42_4,1189574
42_5,1189575
42_6,1189576
69_5,1189577
69_6,1189578
69_7,1189579
69_8,1189580
69_9,1189581
69_10,1189582
69_11,1189583
69_12,1189584
69_13,1189585
69_14,1189586
38_1,1189587
38_2,1189588
38_3,1189589
38_4,1189590
38_5,1189591
38_6,1189592
38_7,1189593
38_8,1189594
38_9,1189595
38_10,1189596
75_5,1189597
26_1,1189598
26_2,1189599
26_3,1189600
26_4,1189601
07_2,1189602
84_1,1189603
84_2,1189604
84_3,1189605
84_4,1189606
84_5,1189607
13_8,1189608
13_12,1189609
13_13,1189610
13_14,1189611
13_15,1189612
13_16,1189613
30_1,1189614
30_2,1189615
30_3,1189616
30_6,1189617
83_2,1189618
83_3,1189619
83_4,1189620
83_5,1189621
83_7,1189622
06_2,1189623
06_3,1189624
06_4,1189625
06_5,1189626
06_6,1189627
06_7,1189628
06_8,1189629
06_9,1189630
12_1,1189631
12_2,1189632
12_3,1189633
85_3,1189634
85_4,1189635
85_5,1189636
62_3,1189637
62_5,1189638
62_7,1189639
62_9,1189640
62_10,1189641
62_11,1189642
62_12,1189643
79_1,1189644
79_2,1189645
79_3,1189646
86_1,1189647
86_2,1189648
86_3,1189649
86_4,1189650
59_1,1189651
59_2,1189652
59_3,1189653
59_4,1189654
59_5,1189655
59_6,1189656
59_7,1189657
59_8,1189658
59_9,1189659
59_10,1189660
59_11,1189661
59_12,1189662
59_14,1189663
59_15,1189664
59_16,1189665
59_17,1189666
59_18,1189667
59_19,1189668
59_20,1189669
59_21,1189670
36_1,1189671
36_2,1189672
73_1,1189673
73_2,1189674
73_3,1189675
73_4,1189676
74_1,1189677
74_2,1189678
74_3,1189679
74_4,1189680
74_5,1189681
74_6,1189682
18_1,1189683
18_2,1189684
18_3,1189685
58_1,1189686
58_2,1189687
21_1,1189688
21_2,1189689
21_4,1189690
21_5,1189691
60_1,1189692
60_2,1189693
60_3,1189694
60_4,1189695
60_5,1189696
60_6,1189697
60_7,1189698
39_1,1189699
39_2,1189700
39_3,1189701
90_1,1189702
90_2,1189703
76_1,1189704
76_3,1189705
76_4,1189706
76_7,1189707
76_8,1189708
01_4,1189709
02_3,1189710
01_1,1189711
57_1,1189712
33_2,1189713
54_1,1189714
54_3,1189715
67_2,1189716
67_3,1189717
67_4,1189718
67_5,1189719
67_6,1189720
67_7,1189721
67_8,1189722
67_9,1189723
68_1,1189724
68_2,1189725
68_3,1189726
68_4,1189727
68_5,1189728
68_6,1189729
70_1,1189730
70_2,1189731
15_1,1189732
15_2,1189733
44_1,1189734
44_3,1189735
44_4,1189736
44_5,1189737
44_6,1189738
44_7,1189739
44_8,1189740
44_9,1189741
44_10,1189742
49_1,1189743
49_2,1189744
49_3,1189745
