name,party,party_id,gender,term,source
"SAADOU AMADOU",DEMOCRATES,179,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/179-groupedemocrates
"SALMA HACHIMOU",DEMOCRATES,179,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/179-groupedemocrates
"SANOUSSI MOUSSA MAREINI",DEMOCRATES,179,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/179-groupedemocrates
"TANIMOUNE OUMAROU",DEMOCRATES,179,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/179-groupedemocrates
"ZARA ELHADJ BAKO",DEMOCRATES,179,female,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/179-groupedemocrates
"ABDOURAHAMANE CHEGOU ","LUMANA AFRICA",180,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/180-groupepndslumana
"ABOUBACAR ELHADJ","LUMANA AFRICA",180,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/180-groupepndslumana
"AHAMAT BEN HAMEDA","LUMANA AFRICA",180,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/180-groupepndslumana
"AHMED BABATI","LUMANA AFRICA",180,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/180-groupepndslumana
"AMADOU BOUBAKAR ALKALY","LUMANA AFRICA",180,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/180-groupepndslumana
"AMINA ABDOU SOUNA (MME","LUMANA AFRICA",180,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/180-groupepndslumana
"BARMINI AKOURKI","LUMANA AFRICA",180,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/180-groupepndslumana
"BOUBACAR MOSSI","LUMANA AFRICA",180,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/180-groupepndslumana
"DAOUDOU NOUHOU","LUMANA AFRICA",180,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/180-groupepndslumana
"DJAFAROU MOUMOUNI KALILOU","LUMANA AFRICA",180,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/180-groupepndslumana
"ELHADJI GAGERE ","LUMANA AFRICA",180,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/180-groupepndslumana
"GADO MOUMOUNI","LUMANA AFRICA",180,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/180-groupepndslumana
"HADIZATOU MOUSSA GROS","LUMANA AFRICA",180,female,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/180-groupepndslumana
"HAMA AMADOU","LUMANA AFRICA",180,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/180-groupepndslumana
"MASSAOUDOU HAMADOU","LUMANA AFRICA",180,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/180-groupepndslumana
"MOHAMED IMBAREK","LUMANA AFRICA",180,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/180-groupepndslumana
"MOUSSA ZANGAOU","LUMANA AFRICA",180,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/180-groupepndslumana
"NASSIROU AMADOU","LUMANA AFRICA",180,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/180-groupepndslumana
"NASSIROU HALIDOU","LUMANA AFRICA",180,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/180-groupepndslumana
"NOUHOU MOUSSA","LUMANA AFRICA",180,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/180-groupepndslumana
"SAIDOU BAKARI","LUMANA AFRICA",180,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/180-groupepndslumana
"SALA ASSANE AMADOU","LUMANA AFRICA",180,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/180-groupepndslumana
"SAMPARI MINDEBA","LUMANA AFRICA",180,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/180-groupepndslumana
"TONDY YOUNOUSSA","LUMANA AFRICA",180,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/180-groupepndslumana
"KARIMOU BOUREIMA","LUMANA AFRICA",180,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/180-groupepndslumana
"ABDOU DJARIRI","PNDS Tarayya",181,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/181-groupepnds
"ABDOUL MOUMOUNI GOUSMANE","PNDS Tarayya",181,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/181-groupepnds
"ADIZA DADI","PNDS Tarayya",181,female,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/181-groupepnds
"AHALAWAYE ABOUGOU","PNDS Tarayya",181,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/181-groupepnds
"ALGABI ELHADJI ATTA","PNDS Tarayya",181,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/181-groupepnds
"AMINA TIEMOKO OUSMANE","PNDS Tarayya",181,female,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/181-groupepnds
"AMINATOU HABIBOU","PNDS Tarayya",181,female,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/181-groupepnds
"AOUA IBRO","PNDS Tarayya",181,female,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/181-groupepnds
"ASSAMAOU GARBA","PNDS Tarayya",181,female,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/181-groupepnds
"ASSOUMANA MALLAM ISSA","PNDS Tarayya",181,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/181-groupepnds
"BACHIR ABDOUL AZIZ","PNDS Tarayya",181,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/181-groupepnds
"BOUCARY SANI","PNDS Tarayya",181,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/181-groupepnds
"DAOUDA MAMADOU MARTHE","PNDS Tarayya",181,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/181-groupepnds
"HABIBOU ANDACHE ","PNDS Tarayya",181,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/181-groupepnds
"IBRAHIM DJIBO","PNDS Tarayya",181,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/181-groupepnds
"IBRAHIMA SOULEYMANE","PNDS Tarayya",181,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/181-groupepnds
"IDRISSA MAIDAGI","PNDS Tarayya",181,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/181-groupepnds
"ILLA KANE","PNDS Tarayya",181,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/181-groupepnds
"MAHAMANE IDRICHI ","PNDS Tarayya",181,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/181-groupepnds
"MAIZAMA GAYA ","PNDS Tarayya",181,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/181-groupepnds
"MAMAN WAZIRI","PNDS Tarayya",181,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/181-groupepnds
"MAMANE CHOUDA","PNDS Tarayya",181,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/181-groupepnds
"MARIAMA MANZO","PNDS Tarayya",181,female,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/181-groupepnds
"MARIAMA MOUSSA ","PNDS Tarayya",181,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/181-groupepnds
"MOHAMED CHERIF","PNDS Tarayya",181,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/181-groupepnds
"MOUSSA KALLAM MOUMOUNI","PNDS Tarayya",181,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/181-groupepnds
"MOUSTAPHA MAI TANIMOUNE","PNDS Tarayya",181,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/181-groupepnds
"MOUTARI IDI","PNDS Tarayya",181,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/181-groupepnds
"OULD RISSA ALI BOUBACAR ","PNDS Tarayya",181,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/181-groupepnds
"SAADOU DILLE","PNDS Tarayya",181,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/181-groupepnds
"SABIOU MAMANE","PNDS Tarayya",181,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/181-groupepnds
"SALEY HASSANE","PNDS Tarayya",181,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/181-groupepnds
"SAMAILA ALI","PNDS Tarayya",181,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/181-groupepnds
"SEINI SALEY","PNDS Tarayya",181,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/181-groupepnds
"SOUMAILA SALOU","PNDS Tarayya",181,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/181-groupepnds
"YACINE BEN MOHAMED","PNDS Tarayya",181,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/181-groupepnds
"ZAKARI OUMAROU","PNDS Tarayya",181,male,7.1,http://www.assemblee.ne/index.php/organes/les-groupes-parlementaires/181-groupepnds
