id,name,area_id,area,party_id,party,term
,Abel Benítez,Q866886,La Paz,Q970952,Libre,8
,Alberto Chedrani,"",Cortés,Q1579466,Nacional,8
,Alejandra Mancia,Q591139,Santa Bárbara,Q970952,Libre,8
,Ana Fortín,"",Francisco Morazán,Q7140524,PAC,8
,Antonio Rivera,"",Francisco Morazán,Q1579466,Nacional,8
,Aníbal Calix,"",Cortés,Q7140524,PAC,8
,Arturo Bendaña,"",Cortés,Q1579466,Nacional,8
,Audelia Rodríguez,Q622619,Atlántida,Q970952,Libre,8
,Augusto Cruz,"",Francisco Morazán,Q2689839,DC,8
,Bartolo Fuentes,Q1123380,Yoro ,Q970952,Libre,8
,Beatriz Valle,"",Francisco Morazán,Q970952,Libre,8
,Carlos Interiano,Q591139,Santa Bárbara,Q970952,Libre,8
,Carlos Lara,Q899272,Choluteca,Q538272,Liberal,8
,Carlos Ledezma,Q899272,Choluteca,Q1579466,Nacional,8
,Carmen Rivera,Q622619,Atlántida,Q1579466,Nacional,8
,Celin Discua,Q867108,El Paraíso,Q1579466,Nacional,8
,Christian Santamaría,Q622619,Atlántida,Q538272,Liberal,8
,Claudia Garmendia,Q867108,El Paraíso,Q970952,Libre,8
,César Agurcia,Q622619,Atlántida,Q970952,Libre,8
,César Handal,Q591139,Santa Bárbara,Q1579466,Nacional,8
,David Chávez,"",Francisco Morazán,Q1579466,Nacional,8
,David Reyes,Q899272,Choluteca,Q7140524,PAC,8
,Dennys Sánchez,Q591139,Santa Bárbara,Q970952,Libre,8
,Diana Urbina,Q1123380,Yoro,Q1579466,Nacional,8
,Doris Gutiérrez,"",Francisco Morazán,Q6036212,PINU-SD,8
,Edgardo Casana,Q591139,Santa Bárbara,Q970952,Libre,8
,Edgardo Castro,"",Cortés,Q970952,Libre,8
,Eduardo Coto,"",Cortés,Q970952,Libre,8
,Edwin Pavón,"",Cortés,Q5255838,UD,8
,Elden Vásquez,Q262125,Intibucá,Q1579466,Nacional,8
,Eleazar Juárez,"",Valle,Q970952,Libre,8
,Elvia Argentina Valle,Q843984, Copán,Q970952,Libre,8
,Esdras López,"",Francisco Morazán,Q970952,Libre,8
,Fany Valladares,Q823443,Comayagua,Q970952,Libre,8
,Francisco Macias,Q899272,Choluteca,Q1579466,Nacional,8
,Francisco Paz,Q867108,El Paraíso,Q970952,Libre,8
,Francisco Rivera,"",Olancho,Q1579466,Nacional,8
,Fredy Najera,"",Olancho,Q538272,Liberal,8
,Fátima Mena,"",Cortés,Q7140524,PAC,8
,Gabriela Núñez,"",Francisco Morazán,Q538272,Liberal,8
,Gerardo Martínez,Q823443,Comayagua,Q1579466,Nacional,8
,Gladis López,Q866886,La Paz,Q1579466,Nacional,8
,Gloria Bonilla,Q823443,Comayagua,Q538272,Liberal,8
,Hugo Hernández,Q867084,Ocotepeque,Q538272,Liberal,8
,Héctor Padilla,Q899272,Choluteca,Q970952,Libre,8
,Héctor Pinto,Q843984, Copán,Q1579466,Nacional,8
,Irma Reyes,Q1123380,Yoro,Q970952,Libre,8
