riigi_id,name,group,group_id,area,term,start_date,start_reason,end_date,end_reason
8f01f37d-be79-47d2-b818-c51878a00628,Rein Ratas,Eesti Keskerakonna fraktsioon,KESK,Tallinna Mustamäe ja Nõmme linnaosa,13,,,2016-12-05,On sick leave
f70a1d6a-aa98-4a6b-9ffb-ff2f45f9739c,Ivi Eenmaa,Eesti Reformierakonna fraktsioon,RE,"Tallinna Kesklinna, Lasnamäe ja Pirita linnaosa",13,2015-04-09,Substitute member for Keit Pentus-Rosimannus,2015-07-15,Person she was substituting for resumed as an MP
e0767645-54aa-4084-9dd3-ed196172dabb,Vladimir Velman,Eesti Keskerakonna fraktsioon,KESK,Harju- ja Raplamaa,13,,,,
afddc160-d868-4f2e-b3a6-3da9da83104e,Mark Soosaar,Sotsiaaldemokraatliku Erakonna fraktsioon,SDE,Pärnumaa,13,2015-04-09,Substitute member for Indrek Saar,2016-11-24,Resigned
07132cc4-5afc-4edb-9537-7c721ec39b2d,Enn Eesmaa,Eesti Keskerakonna fraktsioon,KESK,"Hiiu-, Lääne- ja Saaremaa ",13,,,,
40766949-940e-4530-9377-1532bc22501b,Heimar Lenk,Eesti Keskerakonna fraktsioon,KESK,"Võru-, Valga- ja Põlvamaa ",13,,,,
d43974f1-4b85-4e61-b9f6-67535e1bf19f,Arno Sild,Eesti Konservatiivse Rahvaerakonna fraktsioon,EKRE,"Võru-, Valga- ja Põlvamaa ",13,,,,
764a05b8-221d-4b65-b87b-a9b1f8b569fa,Jüri Adams,Eesti Vabaerakonna fraktsioon,EVA,Tartu linn,13,,,,
103bdae6-c980-4bd4-8e57-e8af4df13f4b,Ants Laaneots,Eesti Reformierakonna fraktsioon,RE,Tartu linn,13,,,,
2240eda3-3fe9-457a-ab4f-2c52a4382c3c,Kalev Kallo,Eesti Keskerakonna fraktsioon,KESK,"Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa ",13,,,2015-04-23,Became The Chairman of Tallinn City Council and resigned as an MP
4b96f3e5-af5e-41ce-86c9-3fdee3ce51da,Mart Helme,Eesti Konservatiivse Rahvaerakonna fraktsioon,EKRE,Pärnumaa,13,,,,
fd6447a4-c040-4955-b47f-b5634f0fd532,Edgar Savisaar,Fraktsiooni mittekuuluvad Riigikogu liikmed,IND,"Tallinna Kesklinna, Lasnamäe ja Pirita linnaosa ",13,,,2015-08-05,Resigned to continue working as Mayor of Tallinn
233ac42e-573c-400e-8568-0ac3d4c107f9,Aadu Must,Eesti Keskerakonna fraktsioon,KESK,Tartu linn,13,,,,
ec4c481a-8727-490a-b90e-cbefeac9564e,Marika Tuus-Laul,Eesti Keskerakonna fraktsioon,KESK,Jõgeva- ja Tartumaa,13,,,,
b0eb11ef-75b9-4427-b8d0-20d38af2903a,Raivo Põldaru,Eesti Konservatiivse Rahvaerakonna fraktsioon,EKRE,Jõgeva- ja Tartumaa,13,,,,
5958ba28-6672-426f-b533-bea2f9c8d64e,Igor Gräzin,Eesti Reformierakonna fraktsioon,RE,Jõgeva- ja Tartumaa,13,,,,
bbbcacb7-c34f-48b7-a2ba-1680c93ff810,Viktor Vassiljev,Eesti Keskerakonna fraktsioon,KESK,"Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa ",13,,,,
81aecc23-8483-48d6-9217-289fce86b1b5,Eiki Nestor,Sotsiaaldemokraatliku Erakonna fraktsioon,SDE,"Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa ",13,,,,
3c54682c-4050-471a-bd09-27481a034f82,Maire Aunaste,Isamaa ja Res Publica Liidu fraktsioon,IRL,"Võru-, Valga- ja Põlvamaa ",13,,,,
76afbcdc-b41d-4fc6-b5eb-d0cce01e94d5,Tarmo Tamm,Eesti Keskerakonna fraktsioon,KESK,"Võru-, Valga- ja Põlvamaa ",13,,,2016-12-10,Became Minister of Rural Affairs
13938f95-f891-4607-a67e-d11a65dc79a3,Jaak Aaviksoo,Isamaa ja Res Publica Liidu fraktsioon,IRL,"Võru-, Valga- ja Põlvamaa ",13,,,2015-08-31,Elected Rector of Tallin University of Technology
caea357b-12c0-4069-b53e-89f69f517212,Kersti Sarapuu,Eesti Keskerakonna fraktsioon,KESK,Järva- ja Viljandimaa,13,,,,
e3adcdb3-582b-411a-9132-4dc292c56bb0,Ain Lutsepp,Eesti Vabaerakonna fraktsioon,EVA,Tallinna Mustamäe ja Nõmme linnaosa,13,,,,
0c571754-914d-406a-baba-6734212353de,Urve Tiidus,Eesti Reformierakonna fraktsioon,RE,"Hiiu-, Lääne- ja Saaremaa ",13,,,,
29e61beb-0bb5-4d05-929a-1976f3642699,Valeri Korb,Eesti Keskerakonna fraktsioon,KESK,Ida-Virumaa,13,,,,
f45d0388-db27-47eb-b13d-f6d147ef4d6e,Uno Kaskpeit,Eesti Konservatiivse Rahvaerakonna fraktsioon,EKRE,"Võru-, Valga- ja Põlvamaa ",13,,,,
312dba1d-041b-4add-a41e-cebf0346434e,Hardi Volmer,Sotsiaaldemokraatliku Erakonna fraktsioon,SDE,Harju- ja Raplamaa,13,2015-04-09,Substitute member for Sven Mikser,2015-09-14,Person he was substituting for resumed as MP
6754a130-b469-4b64-a992-68407a9658a0,Kalle Muuli,Isamaa ja Res Publica Liidu fraktsioon,IRL,Tartu linn,13,2015-04-09,Substitute member for Margus Tsahkna,,
966e7ccd-b097-4e49-923c-c8d39dae2d62,Valdo Randpere,Eesti Reformierakonna fraktsioon,RE,Lääne-Virumaa,13,,,,
ed14baf6-eddf-46f6-bff2-21503139d1ec,Krista Aru,Eesti Vabaerakonna fraktsioon,EVA,Tartu linn,13,,,,
b5922bb2-56bb-4de6-a7e1-754553191c27,Heljo Pikhof,Sotsiaaldemokraatliku Erakonna fraktsioon,SDE,Tartu linn,13,,,,
c0c7bea2-4c5e-4295-9c0f-dca52d602098,Jürgen Ligi,Eesti Reformierakonna fraktsioon,RE,Järva- ja Viljandimaa,13,,,2015-04-08,Became Minister of Education and Research
c0c7bea2-4c5e-4295-9c0f-dca52d602098,Jürgen Ligi,Eesti Reformierakonna fraktsioon,RE,Järva- ja Viljandimaa,13,2016-11-23,No longer a minister of the cabinet,,
f8c52c41-38b3-41bd-b5fe-a3245d518404,Einar Vallbaum,Isamaa ja Res Publica Liidu fraktsioon,IRL,Lääne-Virumaa,13,2015-04-09,Substitute member for Marko Pomerants,,
ae55c88e-c202-4290-832b-b4e2fb5086ed,Johannes Kert,Eesti Reformierakonna fraktsioon,RE,Järva- ja Viljandimaa,13,,,,
d3e66a59-2b53-4d49-af9a-d0beead8b936,Toomas Vitsut,Eesti Keskerakonna fraktsioon,KESK,"Tallinna Kesklinna, Lasnamäe ja Pirita linnaosa ",13,,,,
65b1d8bb-7f45-48f5-b4aa-7ba4ca459824,Henn Põlluaas,Eesti Konservatiivse Rahvaerakonna fraktsioon,EKRE,Harju- ja Raplamaa,13,,,,
2dcb35ed-acbc-4bcf-9e9d-9da681842d6d,Aivar Kokk,Isamaa ja Res Publica Liidu fraktsioon,IRL,Jõgeva- ja Tartumaa,13,,,,
03cb82b4-1b8b-45a8-8660-07baefea12fd,Märt Sults,Eesti Keskerakonna fraktsioon,KESK,"Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa ",13,,,,
1d0b281d-b769-4e94-8c67-faa1cb1b1395,Helmen Kütt,Sotsiaaldemokraatliku Erakonna fraktsioon,SDE,Järva- ja Viljandimaa,13,,,,
529e5322-1170-4926-a07e-6ed369534503,Mihhail Stalnuhhin,Eesti Keskerakonna fraktsioon,KESK,Ida-Virumaa,13,,,,
