name,wikiname,area,party,type,term,source
Abdul Hadi Maharmeh,,National List,National Labour,National List,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Abdul Hadi Majali,,National List,National Current Party,National List,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Abdul Jalil Zyoud,"",Amman,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Abdul Karim Darayseh,"",Irbid,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Abdul Karim Dughmi,"",Mafraq,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Abdul Majid Aqtash,,National List,National Union Party,National List,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Abdul Munim Odat,"",Irbid,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Abdul Rahim Biqaai,"",Amman,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Abdullah Khawaldeh,"",Jerash,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Abdullah Obeidat,"",Irbid,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Adnan Abu Rukbeh,"",Madaba,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Adnan Ajarmeh,"",Amman,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Adnan Farajat,"",Ma'an,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Ahmad Hmeisat,"",Amman,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Ahmad Jaloudi,"",Amman,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Ahmad Rqeibat,,National List,Salvation,National List,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Ahmad Safadi,"",Amman,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Ali Bani Ata,"",Ajloun,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Ali Khalaileh,"",Zarqa,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Ali Sneid,"",Madaba,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Ali Zanazneh,,National List,Dignity,National List,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Amer Bashir,"",Amman,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Amjad Al Khattab,"",Ma'an,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Amjad Majali,,National List,Unified Front,National List,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Amjad Maslamani,"",Amman,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Amneh Ghawaair,"",Balqa,Independent,Woman,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Assaf Shawabkah,"",Amman,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Atef Qaawar,"",Amman,Independent,Christian,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Atef Tarawneh,,National List,The Homeland,National List,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Awad Kreishan,"",Ma'an,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Bader Toura,"",Ma'an,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Bassam Btoush,"",Karak,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Bassam Khalifa,"",Balqa,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Bassel Alawneh,"",Irbid,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Bassel Malkawi,"",Irbid,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Deifallah Bani Khaled,"",Northern Badia,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Deifallah Saeedin,"",Southern Badia,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Dirar Daoud,"",Balqa,Independent,Christian,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Eteiwi Majali,Eteiwi Majali,Karak,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Faisal Aawar,,National List,Free Voice,National List,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Falak Jamani,"",Madaba,Independent,Woman,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Faris Halaseh,"",Karak,Independent,Christian,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Faten Khleifat,"",Ma'an,Independent,Woman,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Fatima Abu Abtah,"",Irbid,Independent,Woman,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Fawaz Zu’bi,"",Irbid,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Habes Shabeeb,"",Northern Badia,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Hadithah Khreisha,"",Central Badia,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Haitham Abbadi,,National List,Voice of the Nation,National List,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Hamdiyeh Qwaidar,"",Karak,Independent,Woman,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Hamzeh Akhu Rashideh,,National List,Al Bayareq,National List,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Hassan Obeidat,,National List,Construction,National List,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Hayel Daaja,"",Amman,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Hazem Qashou,,National List,Citizenship,National List,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Hind Fayez,"",Central Badia,Independent,Woman,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
Husni Sheyab,"",Irbid,Independent,Muslim,2013,"https://en.wikipedia.org/wiki/Jordanian_parliamentary_election_results,_2013"
