name,wikiname,party,parish,area,area_id,term,source
Analdo Terrelonge,"",Jamaica Labour Party,St. Catherine,St. Catherine East Central,ocd-division/country:ja/parish:st._catherine/constituency:st._catherine_east_central,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Andre Hylton,"",People's National Party,St. Andrew,St. Andrew East,ocd-division/country:ja/parish:st._andrew/constituency:st._andrew_east,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Andrew Holness,Andrew Holness,Jamaica Labour Party,St. Andrew,St. Andrew West Central,ocd-division/country:ja/parish:st._andrew/constituency:st._andrew_west_central,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Andrew Holness,Andrew Holness,Jamaica Labour Party,St. Andrew,St. Andrew West Central,ocd-division/country:ja/parish:st._andrew/constituency:st._andrew_west_central,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Andrew Wheatley,"",Jamaica Labour Party,St. Catherine,St. Catherine South Central,ocd-division/country:ja/parish:st._catherine/constituency:st._catherine_south_central,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Andrew Wheatley,"",Jamaica Labour Party,St. Catherine,St. Catherine South Central,ocd-division/country:ja/parish:st._catherine/constituency:st._catherine_south_central,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Anthony Hylton,Anthony Hylton,People's National Party,St. Andrew,St. Andrew West,ocd-division/country:ja/parish:st._andrew/constituency:st._andrew_west,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Anthony Hylton,Anthony Hylton,People's National Party,St. Andrew,St. Andrew Western,ocd-division/country:ja/parish:st._andrew/constituency:st._andrew_western,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Arnaldo Brown,"",People's National Party,St. Catherine,St. Catherine East Central,ocd-division/country:ja/parish:st._catherine/constituency:st._catherine_east_central,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Audley Shaw,Audley Shaw,Jamaica Labour Party,Manchester,Manchester North East,ocd-division/country:ja/parish:manchester/constituency:manchester_north_east,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Audley Shaw,Audley Shaw,Jamaica Labour Party,Manchester,Manchester North Eastern,ocd-division/country:ja/parish:manchester/constituency:manchester_north_eastern,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Christopher Tufton,Christopher Tufton,Jamaica Labour Party,St. Catherine,St. Catherine West Central,ocd-division/country:ja/parish:st._catherine/constituency:st._catherine_west_central,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Colin Fagan,"",People's National Party,St. Catherine,St. Catherine South East,ocd-division/country:ja/parish:st._catherine/constituency:st._catherine_south_east,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Colin Fagan,"",People's National Party,St. Catherine,St. Catherine South Eastern,ocd-division/country:ja/parish:st._catherine/constituency:st._catherine_south_eastern,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Damion Crawford,"",People's National Party,St. Andrew,St. Andrew East Rural,ocd-division/country:ja/parish:st._andrew/constituency:st._andrew_east_rural,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Daryl Vaz,Daryl Vaz,Jamaica Labour Party,Portland,Portland West,ocd-division/country:ja/parish:portland/constituency:portland_west,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Daryl Vaz,Daryl Vaz,Jamaica Labour Party,Portland,Portland Western,ocd-division/country:ja/parish:portland/constituency:portland_western,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Dave Brown,"",Jamaica Labour Party,Hanover,Hanover Eastern,ocd-division/country:ja/parish:hanover/constituency:hanover_eastern,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Dayton Campbell,"",People's National Party,St. Ann,St. Ann North West,ocd-division/country:ja/parish:st._ann/constituency:st._ann_north_west,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Dayton Campbell,"",People's National Party,St. Ann,St. Ann North Western,ocd-division/country:ja/parish:st._ann/constituency:st._ann_north_western,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Delroy Chuck,Delroy Chuck,Jamaica Labour Party,St. Andrew,St. Andrew North East,ocd-division/country:ja/parish:st._andrew/constituency:st._andrew_north_east,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Delroy Chuck,Delroy Chuck,Jamaica Labour Party,St. Andrew,St. Andrew North Eastern,ocd-division/country:ja/parish:st._andrew/constituency:st._andrew_north_eastern,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Denise Daley,"",People's National Party,St. Catherine,St. Catherine East,ocd-division/country:ja/parish:st._catherine/constituency:st._catherine_east,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Denise Daley,"",People's National Party,St. Catherine,St. Catherine Eastern,ocd-division/country:ja/parish:st._catherine/constituency:st._catherine_eastern,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Derrick C. Smith,"",Jamaica Labour Party,St. Andrew,St. Andrew North West,ocd-division/country:ja/parish:st._andrew/constituency:st._andrew_north_west,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Derrick C. Smith,"",Jamaica Labour Party,St. Andrew,St. Andrew North Western,ocd-division/country:ja/parish:st._andrew/constituency:st._andrew_north_western,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Derrick Kellier,"",People's National Party,St. James,St. James South,ocd-division/country:ja/parish:st._james/constituency:st._james_south,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Derrick Kellier,"",People's National Party,St. James,St. James Southern,ocd-division/country:ja/parish:st._james/constituency:st._james_southern,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Desmond McKenzie,Desmond McKenzie,Jamaica Labour Party,Kingston,Kingston West,ocd-division/country:ja/parish:kingston/constituency:kingston_west,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Desmond McKenzie,Desmond McKenzie,Jamaica Labour Party,Kingston,Kingston Western,ocd-division/country:ja/parish:kingston/constituency:kingston_western,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
"Donald K. ""D.K."" Duncan","",People's National Party,Hanover,Hanover East,ocd-division/country:ja/parish:hanover/constituency:hanover_east,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Dwayne Vaz,"",People's National Party,Westmoreland,Westmoreland Central,ocd-division/country:ja/parish:westmoreland/constituency:westmoreland_central,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Edmund Bartlett,Edmund Bartlett,Jamaica Labour Party,St. James,St. James East Central,ocd-division/country:ja/parish:st._james/constituency:st._james_east_central,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Edmund Bartlett,Edmund Bartlett,Jamaica Labour Party,St. James,St. James East Central,ocd-division/country:ja/parish:st._james/constituency:st._james_east_central,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Everald Warmington,Everald Warmington,Jamaica Labour Party,St. Catherine,St. Catherine South West,ocd-division/country:ja/parish:st._catherine/constituency:st._catherine_south_west,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Everald Warmington,Everald Warmington,Jamaica Labour Party,St. Catherine,St. Catherine South Western,ocd-division/country:ja/parish:st._catherine/constituency:st._catherine_south_western,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Evon Redmond,"",People's National Party,St. Elizabeth,St. Elizabeth North Eastern,ocd-division/country:ja/parish:st._elizabeth/constituency:st._elizabeth_north_eastern,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Fayval Williams,Fayval Williams,Jamaica Labour Party,St. Andrew,St. Andrew Eastern,ocd-division/country:ja/parish:st._andrew/constituency:st._andrew_eastern,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Fenton Ferguson,Fenton Ferguson,People's National Party,St. Thomas,St. Thomas East,ocd-division/country:ja/parish:st._thomas/constituency:st._thomas_east,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Fenton Ferguson,Fenton Ferguson,People's National Party,St. Thomas,St. Thomas Eastern,ocd-division/country:ja/parish:st._thomas/constituency:st._thomas_eastern,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Fitz Jackson,"",People's National Party,St. Catherine,St. Catherine South,ocd-division/country:ja/parish:st._catherine/constituency:st._catherine_south,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Fitz Jackson,"",People's National Party,St. Catherine,St. Catherine Southern,ocd-division/country:ja/parish:st._catherine/constituency:st._catherine_southern,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Floyd Green,"",Jamaica Labour Party,St. Elizabeth,St. Elizabeth South Western,ocd-division/country:ja/parish:st._elizabeth/constituency:st._elizabeth_south_western,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Franklyn Witter,"",Jamaica Labour Party,St. Elizabeth,St. Elizabeth South Eastern,ocd-division/country:ja/parish:st._elizabeth/constituency:st._elizabeth_south_eastern,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Gregory Mair,Gregory Mair,Jamaica Labour Party,St. Catherine,St. Catherine North East,ocd-division/country:ja/parish:st._catherine/constituency:st._catherine_north_east,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Heroy Clarke,"",Jamaica Labour Party,St. James,St. James Central,ocd-division/country:ja/parish:st._james/constituency:st._james_central,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Horace Chang,Horace Chang,Jamaica Labour Party,St. James,St. James North West,ocd-division/country:ja/parish:st._james/constituency:st._james_north_west,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Horace Chang,Horace Chang,Jamaica Labour Party,St. James,St. James North Western,ocd-division/country:ja/parish:st._james/constituency:st._james_north_western,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Horace Dalley,"",People's National Party,Clarendon,Clarendon North,ocd-division/country:ja/parish:clarendon/constituency:clarendon_north,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Horace Dalley,"",People's National Party,Clarendon,Clarendon Northern,ocd-division/country:ja/parish:clarendon/constituency:clarendon_northern,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Hugh Buchanan,"",People's National Party,St. Elizabeth,St. Elizabeth South West,ocd-division/country:ja/parish:st._elizabeth/constituency:st._elizabeth_south_west,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Ian Hayles,Ian Hayles,People's National Party,Hanover,Hanover West,ocd-division/country:ja/parish:hanover/constituency:hanover_west,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Ian Hayles,Ian Hayles,People's National Party,Hanover,Hanover Western,ocd-division/country:ja/parish:hanover/constituency:hanover_western,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
James Robertson,James Robertson (Jamaican politician),Jamaica Labour Party,St. Thomas,St. Thomas West,ocd-division/country:ja/parish:st._thomas/constituency:st._thomas_west,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
James Robertson,James Robertson (Jamaican politician),Jamaica Labour Party,St. Thomas,St. Thomas Western,ocd-division/country:ja/parish:st._thomas/constituency:st._thomas_western,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Joylan Silvera,"",People's National Party,St. Mary,St. Mary West,ocd-division/country:ja/parish:st._mary/constituency:st._mary_west,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Julian Robinson,"",People's National Party,St. Andrew,St. Andrew South East,ocd-division/country:ja/parish:st._andrew/constituency:st._andrew_south_east,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Julian Robinson,"",People's National Party,St. Andrew,St. Andrew South Eastern,ocd-division/country:ja/parish:st._andrew/constituency:st._andrew_south_eastern,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Juliet Cuthbert-Flynn,"",Jamaica Labour Party,St. Andrew,St. Andrew West Rural,ocd-division/country:ja/parish:st._andrew/constituency:st._andrew_west_rural,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Juliet Holness,Juliet Holness,Jamaica Labour Party,St. Andrew,St. Andrew East Rural,ocd-division/country:ja/parish:st._andrew/constituency:st._andrew_east_rural,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
K. Wykeham McNeil,"",People's National Party,Westmoreland,Westmoreland West,ocd-division/country:ja/parish:westmoreland/constituency:westmoreland_west,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Karl Samuda,Karl Samuda,Jamaica Labour Party,St. Andrew,St. Andrew North Central,ocd-division/country:ja/parish:st._andrew/constituency:st._andrew_north_central,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
Karl Samuda,Karl Samuda,Jamaica Labour Party,St. Andrew,St. Andrew North Central,ocd-division/country:ja/parish:st._andrew/constituency:st._andrew_north_central,2016,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica
Keith Walford,Keith Walford,People's National Party,St. Ann,St. Ann South West,ocd-division/country:ja/parish:st._ann/constituency:st._ann_south_west,2011,https://en.wikipedia.org/w/index.php?title=Constituencies_of_Jamaica&oldid=707616860
