id,name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
14-222,An Chol-sik,,,,unknown,unknown,222,Komunkum,Supreme People’s Assembly,13,,,,
14-136,An Ji-yong,,,,unknown,unknown,136,Songchonkang,Supreme People’s Assembly,13,,,,
14-558,An Jong-su,,,,unknown,unknown,558,Hamju,Supreme People’s Assembly,13,,,,
14-154,An Ki-chol,,,,unknown,unknown,154,Kunmasan,Supreme People’s Assembly,13,,,,
14-130,An Kuk-chol,,,,unknown,unknown,130,Suyangsan,Supreme People’s Assembly,13,,,,
14-203,An Kum-chol,,,,unknown,unknown,203,Sinyang,Supreme People’s Assembly,13,,,,
14-649,An Mun-hak,,,,unknown,unknown,649,Paekam,Supreme People’s Assembly,13,,,,
14-83,An Myong-ok,,,,unknown,unknown,83,Undok,Supreme People’s Assembly,13,,,,male
14-339,An Sung-ok,,,,unknown,unknown,339,Chaeryong,Supreme People’s Assembly,13,,,,
14-615,An Tong-chun,,,,unknown,unknown,615,Myongkan,Supreme People’s Assembly,13,,,,
14-654,An Yong-ki,,,,unknown,unknown,654,Oil,Supreme People’s Assembly,13,,,,
14-462,An Yong-kuk,,,,unknown,unknown,462,Sekil,Supreme People’s Assembly,13,,,,
14-428,An Yong-nam,,,,unknown,unknown,428,Yonju,Supreme People’s Assembly,13,,,,
14-53,Cha Hui-rim,,,,unknown,unknown,53,Rimwon,Supreme People’s Assembly,13,,,,
14-107,Cha Jun-sik,,,,unknown,unknown,107,Unphasan,Supreme People’s Assembly,13,,,,
14-563,Cha Kyong-il,,,,unknown,unknown,563,Samho,Supreme People’s Assembly,13,,,,
14-298,Cha Myong-ok,,,,unknown,unknown,298,Taeryong,Supreme People’s Assembly,13,,,,
14-636,Cha Song-nam,,,,unknown,unknown,636,Obong,Supreme People’s Assembly,13,,,,
14-270,Cha Sung-su,,,,unknown,unknown,270,Wonha,Supreme People’s Assembly,13,,,,
14-325,Cha Yong-myong,,,,unknown,unknown,325,Songhwa,Supreme People’s Assembly,13,,,,
14-89,Chae Ho-nam,,,,unknown,unknown,89,Anju,Supreme People’s Assembly,13,,,,
14-371,Chae Kang-hwan,,,,unknown,unknown,371,Unha,Supreme People’s Assembly,13,,,,
14-82,Chae Myong-hak,,,,unknown,unknown,82,Phyongsong,Supreme People’s Assembly,13,,,,
14-336,Chae Yong-il,,,,unknown,unknown,336,Saenal,Supreme People’s Assembly,13,,,,
14-58,Chang Chol,,,,unknown,unknown,58,Kwahak,Supreme People’s Assembly,13,,,,
14-530,Chang Chun-kun,,,,unknown,unknown,530,Paekkumsan,Supreme People’s Assembly,13,,,,
14-195,Chang Hyon-chol,,,,unknown,unknown,195,Komsan,Supreme People’s Assembly,13,,,,
14-639,Chang In-suk,,,,unknown,unknown,639,Thabsong,Supreme People’s Assembly,13,,,,
14-46,Chang Jae-on,,,,unknown,unknown,46,Chongo,Supreme People’s Assembly,13,,,,
14-150,Chang Jong-nam,,,,unknown,unknown,150,Taedongkang,Supreme People’s Assembly,13,,,,
14-417,Chang Ki-ho,,,,unknown,unknown,417,Yangsa,Supreme People’s Assembly,13,,,,
14-372,Chang Myong-sil,,,,unknown,unknown,372,Kuchon,Supreme People’s Assembly,13,,,,
14-99,Chang Pyong-kyu,,,,unknown,unknown,99,Kangchol,Supreme People’s Assembly,13,,,,
14-294,Chang Pyong-thae,,,,unknown,unknown,294,Uiju,Supreme People’s Assembly,13,,,,
14-454,Chang Song-kuk,,,,unknown,unknown,454,Chasong,Supreme People’s Assembly,13,,,,
14-540,Chang Sun-kum,,,,unknown,unknown,540,Inhung,Supreme People’s Assembly,13,,,,
14-548,Chang Ung,,,,unknown,unknown,548,Toksan,Supreme People’s Assembly,13,,,,male
