id,flag,coat_of_arms,iso_code,type,identifier__freebase,identifier__fips,start_date,identifier__geonames,website,identifier__britannica,name__es,name__ar,name__be,name__bg,name__br,name__ca,name__cs,name__cy,name__da,name__de,name__en,name__en_ca,name__en_gb,name__eo,name__et,name__eu,name__fa,name__fi,name__fr,name__gl,name__gn,name__he,name__hu,name__ia,name__id,name__io,name__it,name__ja,name__ka,name__ko,name__la,name__lmo,name__lt,name__lv,name__mk,name__mr,name__ms,name__nl,name__oc,name__os,name__pl,name__pms,name__pnb,name__pt,name__pt_br,name__ru,name__sk,name__sr,name__sv,name__sw,name__tg,name__th,name__tr,name__uk,name__vec,name__vi,name__vo,name__war,name__zh,name__sco,name__qu,name__nb,name__hr,name__nah,name__mn,name__af,name__sh,name__nan,name__sgs,name__be_tarask,name__bar,name__ro,name__tl,name__ay,name__ur,name__hi,name__hy,name__ceb,name__te,name__ta,name__bn,name__el,name__si,name__gu,name__kn,name__tt,name__ast,name__azb,name__yue,name__lad,identifier__dmoz,identifier__quora,identifier__tgn,identifier__bnf,name__de_ch,identifier__gnd,identifier__openstreetmap,name__nn,name__zh_cn,name__zh_tw,name__zh_sg,name__zh_mo,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_my,name__xmf,name__bs,name__sl,name__ne,name__az,name__cv,name__jv,name__mwl,identifier__viaf,name__lrc,name__lb,name__scn,name__gd,name__gv,name__is,name__wuu,identifier__lcauth,name__ab,name__ak,name__am,name__an,name__ang,name__arz,name__bo,name__bpy,name__bxr,name__cbk_zam,name__ce,name__ch,name__chy,name__ckb,name__co,name__diq,name__ee,name__ext,name__fo,name__frp,name__fy,name__ga,name__gag,name__haw,name__hif,name__hsb,name__ht,name__ie,name__ilo,name__jbo,name__kaa,name__kl,name__ku,name__kw,name__ky,name__lij,name__mi,name__ml,name__my,name__myv,name__nap,name__nov,name__nrm,name__pap,name__pdc,name__rm,name__rmy,name__rn,name__roa_tara,name__rue,name__sah,name__sc,name__sq,name__st,name__szl,name__tet,name__tk,name__ty,name__ug,name__uz,name__vep,name__yi,name__yo,name__ha,name__ba,name__kk,name__mg,name__new,name__or,name__pa,name__so,name__lez,name__dsb,name__crh_latn,name__lzh,name__rup,name__vro,name__zea,name__ace,name__tw,name__mt,name__sn,name__kbd,name__rw,name__min,name__pag,name__bcl,name__fj,name__gsw,name__za,name__pcd,name__li,name__kab,name__kg,name__ady,name__bm,name__ny,name__jam,name__kk_cyrl,name__tg_cyrl,name__cdo,name__hak,name__ln,name__dty,name__kbp,name__olo,name__nds,name__lfn,name__inh,name__crh,name__stq,name__zu,name__ps
Q1486,https://upload.wikimedia.org/wikipedia/commons/f/f5/Bandera_de_la_Ciudad_de_Buenos_Aires.svg,https://upload.wikimedia.org/wikipedia/commons/4/4d/Escudo_de_la_Ciudad_de_Buenos_Aires.svg,AR-C,capital,/m/01ly5m,AR07,1580-06-11,3433955,http://www.buenosaires.gob.ar/,place/Buenos-Aires,Buenos Aires,بوينس آيرس,Буэнас-Айрэс,Буенос Айрес,Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires,Bonaero,Buenos Aires,Buenos Aires,بوئنوس آیرس,Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires,בואנוס איירס,Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires,ブエノスアイレス,ბუენოს-აირესი,부에노스아이레스,Bonaëropolis,Buenos Aires,Buenos Airės,Buenosairesa,Буенос Аирес,बुएनोस आइरेस,Buenos Aires,Buenos Aires,Buenos Aires,Буэнос-Айрес,Buenos Aires,Buenos Aires,بیونس آئرس,Buenos Aires,Buenos Aires,Буэнос-Айрес,Buenos Aires,Буенос Ајрес,Buenos Aires,Buenos Aires,Буэнос Айрес,บัวโนสไอเรส,Buenos Aires,Буенос-Айрес,Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires,布宜諾斯艾利斯,Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires,Буэнос-Айрес,Buenos Aires,Buenos Aires,Buenos Aires,Buenas Airēs,Буэнас-Айрэс,Buenos Aires,Buenos Aires,Lungsod ng Buenos Aires,Buenos Aires,بیونس آئرس,ब्यूनस आयर्स,Բուենոս Այրես,Buenos Aires,బ్యూనస్ ఏరీస్,புவெனஸ் ஐரிஸ்,বুয়েনোস আইরেস,Μπουένος Άιρες,බුවනොස් අයිරීස්,બ્યુનોસ એરેસ,ಬ್ಯೂನಸ್ ಐರಿಸ್,Буйныс-Айрыс,Buenos Aires,بوئنوس آیرس,布宜諾斯艾利斯,Buenos Ayres,Regional/South_America/Argentina/Provinces/Buenos_Aires_City/,Buenos-Aires-Argentina-4,7593303,118659776,Buenos Aires,4008756-6,1224652,Buenos Aires,布宜诺斯艾利斯,布宜諾斯艾利斯,布宜诺斯艾利斯,布宜諾斯艾利斯,布宜诺斯艾利斯,布宜諾斯艾利斯,布宜諾斯艾利斯,布宜诺斯艾利斯,ბუენოს–აირესი,Buenos Aires,Buenos Aires,ब्यूनस आयर्स,Buenos Ayres,,Buenos Aires,Buenos Aires,155960902,بوئنس آیرس,Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires,Búenos Aíres,布宜诺斯艾利斯,n79079054,Буенос-Аирес,Buenos Aires,ብዌኖስ አይሬስ,Buenos Aires,Buenos Aires,بوينوس ايريس,པུ་ཨེ་ནོ་སི་ཨས་རི་སི།,বুৱেনোস আইরেস,Буэнос-Айрес,Ciudad de Buenos Aires,Буэнос-Айрес,Buenos Aires,Buenos Aires,بۆینس ئایرس,Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires,Bwènozè,Buenos Aires,Buenos Aires,buenosaires,Buenos-Ayres,Buenos Aires,Buenos Aires,Buenos Aires,Буэнос-Айрес,Bonesaire,Buenos Aires,ബ്യൂണസ് അയേഴ്സ്,ဗျူနိုအေးရိစ်မြို့,Буэнос-Айрес ош,Buenos Aires,Buenos Aires,Bouonézâr,Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires,Буенос Аірес,Буэнос Айрес,Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires,Buenos-Aýres,Buenos Aires,Buénos Ayrés,Buenos Ayres,Buenos Aires,בוענאס איירעס,Buenos Aires,Buenos Aires,Буэнос-Айрес,Буэнос-Айрес,Buenos Aires,बुयनोस आयरेस,ବୁଏନ୍ସ ଏଆରସ,ਬੁਏਨਸ ਆਇਰਸ,Buenos Aires,Буэнос-Айрес,Buenos Aires,Buenos Ayres,布宜諾斯艾利斯,Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires,Буэнос Аирэс,Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires,Буэнос Айрес,Buenos Aires,Buenos Aires,Buenos Aires,Буэнос-Айрес,Буэнос Айрес,Buenos Aires,Buenos Aires,Buenos Aires,ब्यूनस आयर्स,Puyenezɛrɩ,Buenos-Aires,Buenos Aires,Buenos Aires,Буэнос-Айрес,Buenos Ayres,Buenos Aires,Buenos Aires,بوئنوس آيرز
Q44754,https://upload.wikimedia.org/wikipedia/commons/1/15/Bandera_de_la_Provincia_de_Buenos_Aires.svg,https://upload.wikimedia.org/wikipedia/commons/6/65/Coat_of_arms_of_the_Buenos_Aires_Province.png,AR-B,province of Argentina,/m/01ly8d,AR01,1816,3435907,https://www.gba.gob.ar/,place/Buenos-Aires-province-Argentina,Buenos Aires,بوينس آيرس,правінцыя Буэнас-Айрэс,Буенос Айрес,Buenos Aires,Província de Buenos Aires,Buenos Aires,Talaith Buenos Aires,Provincia de Buenos Aires,Provinz Buenos Aires,Buenos Aires,Buenos Aires Province,Buenos Aires Province,Provinco Bonaero,Buenos Airese provints,Buenos Airesko probintzia,ایالت بوئنوس آیرس,Buenos Airesin maakunta,Buenos Aires,Provincia de Bos Aires,Buenos Aires Tetãmini,בואנוס איירס,Buenos Aires tartomány,Provincia de Buenos Aires,Provinsi Buenos Aires,Provinco di Buenos Aires,provincia di Buenos Aires,ブエノスアイレス州,ბუენოს-აირესის პროვინცია,부에노스아이레스 주,Bonaëropolis,Buenos Aires,Buenos Airės,Buenosairesas province,Буенос Аирес,बुएनोस आइरेस प्रांत,Provinsi Buenos Aires,Buenos Aires,Província de Buenos Aires,Буэнос-Айрес,Buenos Aires,Buenos Aires,صوبہ بیونس آئرس,Buenos Aires,Buenos Aires,Буэнос-Айрес,Buenos Aires,Буенос Ајрес,Buenos Aires,Mkoa wa Buenos Aires,Буэнос-Айрес,รัฐบัวโนสไอเรส,Buenos Aires eyaleti,Буенос-Айрес,Provincia de Buenos Aires,Buenos Aires,Buenos Aires,Provincia de Buenos Aires,布宜诺斯艾利斯省,Buenos Aires Province,Buenos Aires wamani,Buenos Aires,Buenos Aires,Huēyāltepētl Buenos Aires,Буэнос-Айрес муж,Buenos Aires,Buenos Aires,Buenos Aires Séng,Buenas Airiu provincėjė,Буэнас-Айрэс,Provinz Buenos Aires,Provincia Buenos Aires,Lalawigan ng Buenos Aires,Buenos Aires jisk'a suyu,صوبہ بیونس آئرس,ब्यूनर्स आयर्स (प्रान्त),Բուենոս Այրես,Provincia de Buenos Aires,బుయెనోస్ ఎయిర్స్ ప్రావిన్స్,பஏனோஸ் ஐரிஸ்  மாகாணம்,বুয়েনোস আয়ারস প্রদেশ,Μπουένος Άιρες,බුවනෝස් අයර්ස් පළාත,બ્યુનોસ એરેસ પ્રાંત,ಬ್ಯೂನಸ್ ಪ್ರಾಂತ್ಯ,Буйныс-Айрыс,Provincia de Buenos Aires,بوئنوس آیرس ایالتی,布宜諾斯艾利斯省,Buenos Ayres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q44756,https://upload.wikimedia.org/wikipedia/commons/7/7b/Bandera_de_la_Provincia_de_Catamarca.svg,https://upload.wikimedia.org/wikipedia/commons/6/64/Escudo_de_la_Provincia_de_Catamarca.svg,AR-K,province of Argentina,/m/02k_5z,AR02,1821,3862286,http://www.catamarca.gov.ar/,,Provincia de Catamarca,كاتاماركا,Правінцыя Катамарка,Катамарка,Catamarca,Catamarca,Catamarca,Talaith Catamarca,Catamarca,Provinz Catamarca,Catamarca Province,Catamarca Province,Catamarca Province,Katamarkio,Catamarca provints,Catamarcako probintzia,ایالت کاتامارکا,Catamarcan maakunta,Catamarca,Provincia de Catamarca,,קטמרקה,Catamarca tartomány,,Provinsi Catamarca,,provincia di Catamarca,カタマルカ州,კატამარკის პროვინცია,카타마르카 주,Catamarca,Catamarca,Katamarkos provincija,Katamarkas province,Катамарка,कातामार्का,Wilayah Catamarca,Catamarca,Província de Catamarca,Катамаркæ,Catamarca,Catamarca,صوبہ کاتامارکا,Catamarca,Catamarca,Катамарка,Catamarca,Катамарка,Catamarca,Mkoa wa Catamarca,Катамарка,รัฐกาตามาร์กา,Catamarca eyaleti,Катамарка,,Catamarca,Catamarca,Catamarca,卡塔马卡省,Catamarca Province,Qhatamarka wamani,Catamarca,,Catamarca,,,Catamarca,Catamarca Séng,Katamarkas provincėjė,,,Provincia Catamarca,Lalawigan ng Catamarca,Catamarka jisk'a suyu,صوبہ کاتامارکا,कैटमार्का,,Provincia de Catamarca,కాటమార్సా ప్రావిన్స్,காட்மார்க்கா  மாகாணம்,কাতামারকা প্রদেশ,Καταμάρκα,කටමර්සා පළාත,કાટામાર્કા પ્રાંત,ಕ್ಯಾಟಮಾರ್ಕಾ ಪ್ರಾಂತ್ಯ,,,کاتامارکا ایالتی,卡塔馬卡省,Catamarca,,,1001182,,Provinz Catamarca,,153545,Catamarca,卡塔马卡省,卡塔马卡省,卡塔马卡省,卡塔马卡省,卡塔马卡省,卡塔马卡省,卡塔马卡省,卡塔马卡省,კატამარკაშ პროვინცია,Catamarca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q44757,https://upload.wikimedia.org/wikipedia/commons/3/33/Bandera_de_la_Provincia_del_Chaco.svg,https://upload.wikimedia.org/wikipedia/commons/0/08/Escudo_de_la_Provincia_del_Chaco.svg,AR-H,province of Argentina,/m/026txb,AR03,1951-08-08,3861887,http://www.chaco.gov.ar/,place/Chaco-province-Argentina,Provincia del Chaco,محافظة تشاكو,Правінцыя Чака,Чако,Chaco,Província del Chaco,Chaco,Talaith Chaco,Chaco,Provinz Chaco,Chaco Province,Chaco Province,Chaco Province,Provinco Ĉako,Chaco provints,Chacoko probintzia,ایالت چاکو,Chacon maakunta,Chaco,Provincia do Chaco,,צ'אקו,Chaco tartomány,,Provinsi Chaco,,provincia del Chaco,チャコ州,ჩაკოს პროვინცია,차코 주,Tzacum,Chaco,Čiako provincija,Čako province,Чако,चाको,Wilayah Chaco,Chaco,Província deu Chaco,,Chaco,Chaco,صوبہ چاکو,Chaco,Chaco,Чако,Chaco,Чако,Chaco,Mkoa wa Chaco,Чако,รัฐชาโก,Chaco eyaleti,Чако,Provincia del Chaco,Chaco,Chaco,Chaco,查科省,Chaco Province,Chaku wamani,Chaco,,,,,,Chaco Séng,Čiaka provincėjė,,,Provincia Chaco,Lalawigan ng Chaco,Chaku jisk'a suyu,صوبہ چاکو,चाको,Չակո,Provincia del Chaco,చాకో ప్రావిన్స్,சாகோ  மாகாணம்,ক্যাকো প্রদেশ,Τσάκο,චකෝ පළාත,ચાકો પ્રાંત,ಚಾಕೋ ಪ್ರಾಂತ್ಯ,,,چاکو ایالتی,查哥省,Chaco,,,1001195,11979422w,,,,Chaco,,,,,,,,,,,Chaco,चाको क्षेत्र,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q44758,https://upload.wikimedia.org/wikipedia/commons/4/46/Bandera_de_la_Provincia_de_Corrientes.svg,https://upload.wikimedia.org/wikipedia/commons/0/0a/Escudo_de_la_Provincia_de_Corrientes.svg,AR-W,province of Argentina,/m/02k_8j,AR06,,3435214,http://www.corrientes.gov.ar,place/Corrientes-province-Argentina,Provincia de Corrientes,محافظة كوريينتس,Правінцыя Карыентэс,Кориентес,Corrientes,Província de Corrientes,Corrientes,Talaith Corrientes,Provincia de Corrientes,Provinz Corrientes,Corrientes,Corrientes Province,Corrientes Province,Corrientes,,Corrientesko probintzia,ایالت کورینتس,Corrientesin maakunta,Corrientes,Provincia de Corrientes,Taragui Tetãmini,קוריינטס,Corrientes tartomány,,Provinsi Corrientes,Provinco di Corrientes,provincia di Corrientes,コリエンテス州,კორიენტესის პროვინცია,코리엔테스 주,,Corrientes,Korienteso provincija,Korrjentesas province,Кориентес,कोरियेन्तेस,Wilayah Corrientes,Corrientes,Província de Corrientes,Корриентес,Corrientes,Corrientes,صوبہ کوریئنتس,Corrientes,Corrientes,Корриентес,Corrientes,Коријентес,Corrientes,Mkoa wa Corrientes,Корриентес,รัฐกอร์ริเอนเตส,Corrientes eyaleti,Коррієнтес,,Corrientes,Corrientes,Corrientes,科连特斯省,Corrientes Province,Corrientes wamani,Corrientes,,,,,Corrientes,Corrientes Séng,Korjentėsa provincėjė,,,Provincia Corrientes,Lalawigan ng Corrientes,Corrientes jisk'a suyu,صوبہ کورینتس,कोरियेन्टेस प्रान्त,,Provincia de Corrientes,కోరియెంటెస్,கரிஎண்ட்ஸ்,কারিয়েন্তেস,Κορριέντες,කොරියෙන්ටිස්,કોરિએન્ટેસ,ಕೊರಿಯೆಂಟಸ್,,,کورینتس ایالتی,,Corrientes,Regional/South_America/Argentina/Provinces/Corrientes/,Corrientes-Argentina,1001210,12131836p,Provinz Corrientes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q44759,https://upload.wikimedia.org/wikipedia/commons/9/96/Bandera_de_la_Provincia_de_Córdoba.svg,https://upload.wikimedia.org/wikipedia/commons/2/23/Escudo_de_la_Provincia_de_Córdoba.svg,AR-X,province of Argentina,/m/01y4fb,AR05,,3860255,http://www.cba.gov.ar/vercanal.jsp,place/Cordoba-province-Argentina,Provincia de Córdoba,كوردوبا,правінцыя Кордава,Кордоба,Proviñs Córdoba,Província de Córdoba,Córdoba,Talaith Córdoba,Provincia de Córdoba,Córdoba,Córdoba Province,"Córdoba Province, Argentina",Córdoba Province,Provinco Kordobo,Córdoba provints,Córdobako probintzia,ایالت کوردوبا,Córdoban maakunta,Córdoba,"Provincia de Córdoba, Arxentina",,קורדובה,Córdoba tartomány,Provincia de Córdoba,Provinsi Córdoba,,provincia di Córdoba,コルドバ州,კორდოვის პროვინცია,코르도바 주,Provincia Cordubensis,Còrdoba,Kordobos provincija,Kordovas province,Кордоба,कोर्दोबा प्रांत,Wilayah Córdoba,Córdoba,Província de Córdoba,Кордовæ,Córdoba,Còrdoba,صوبہ کاردوبا,Córdova (província da Argentina),Córdova,Кордова,Córdoba,Кордоба,Córdoba,Mkoa wa Córdoba,Кордова,รัฐกอร์โดบา,Córdoba eyaleti,Кордова,Provincia de Córdoba,Córdoba,Córdoba,Provincia de Córdoba,科尔多瓦省,"Córdoba Province, Argentinae",Córdoba wamani,Córdoba,,,,,Córdoba,Córdoba Séng,Kuorduobas provincėjė,,,Provincia Córdoba,Lalawigan ng Córdoba,Cordoba (Arxintina) jisk'a suyu,صوبہ کوردوبا، ارجنٹائن,कोर्डोबा,Կորդովա,Provincia de Córdoba,కార్డోబా ప్రావిన్స్,கோர்டோபா  மாகாணம்,কর্ডোবা প্রদেশ,Κόρντομπα,කොර්ඩොබා පළාත,કોર્ડોબા પ્રાંત,ಕೊರ್ಡೊಬಾ ಪ್ರಾಂತ್ಯ,,Provincia de Córdoba,کوردوبا ایالتی,哥多華省,Kordova,,,1001169,,,4216637-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q44761,https://upload.wikimedia.org/wikipedia/commons/4/42/Bandera_de_la_Provincia_de_Formosa.svg,https://upload.wikimedia.org/wikipedia/commons/b/b8/Escudo_de_la_Provincia_de_Formosa.svg,AR-P,province of Argentina,/m/01qsrc,AR09,1955-06-15,3433896,http://www.formosa.gov.ar,,Provincia de Formosa,محافظة فورموزا,Правінцыя Фармоса,Формоса,Formosa,Província de Formosa,Formosa,Talaith Formosa,Provincia de Formosa,Provinz Formosa,Formosa Province,,,Formosa,,Formosako probintzia,ایالت فرموزا,Formosan maakunta,Formosa,Provincia de Formosa,,פורמוסה,Formosa tartomány,,Provinsi Formosa,,provincia di Formosa,フォルモサ州,ფორმოსის პროვინცია,포르모사 주,,Formosa,Formosos provincija,Formosas province,Формоза,फोर्मोसा,Wilayah Formosa,Formosa,Província de Formosa,,Formosa,Formosa (provincia),صوبہ فارموسا,Formosa,,Формоса,Formosa,Формоса,Formosa,Mkoa wa Formosa,Формоса,รัฐฟอร์โมซา,Formosa eyaleti,Формоса,,Formosa,Formosa,Formosa,福爾摩沙省,Formosa Province,Formosa wamani,Formosa,,Formosa,,,,Formosa Séng,Fuormuosas provincėjė,,,Provincia Formosa,Lalawigan ng Formosa,Formosa jisk'a suyu,صوبہ فورموسا,फ़ॉरमोसा प्रान्त,,Provincia de Formosa,ఫోర్మోసా ప్రావిన్స్,போர்மொஸா மாகாணம்,ফারমোসা প্রদেশ,Φορμόσα,ෆෝමෝසා පළාත,ફોર્મોસા પ્રાંત,ಫಾರ್ಮಾಸಾ ಪ್ರಾಂತ್ಯ,,,فرموزا ایالتی,,Formosa,,,1001253,,,,,,,,,,福尔摩沙省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q44762,https://upload.wikimedia.org/wikipedia/commons/5/5b/Bandera_de_la_Provincia_de_Entre_Ríos.svg,https://upload.wikimedia.org/wikipedia/commons/0/0f/Escudo_de_la_Provincia_de_Entre_Ríos.svg,AR-E,province of Argentina,/m/02kgpq,AR08,,3434137,https://www.entrerios.gov.ar/,place/Entre-Rios,Entre Ríos,إنتري ريوس,правінцыя Энтрэ-Рыас,Ентре Риос,Entre Ríos,Entre Ríos,Entre Ríos,Entre Ríos,Entre Ríos,Entre Ríos,Entre Ríos Province,,,Entre Ríos,,Entre Ríosko probintzia,ایالت انتره ریوز,Entre Ríosin maakunta,Entre Ríos,Provincia de Entre Ríos,,אנטרה ריוס,Entre Ríos tartomány,,Provinsi Entre Ríos,,provincia di Entre Ríos,エントレ・リオス州,ენტრე-რიოსის პროვინცია,엔트레리오스 주,,Entre Rios,Entre Rioso provincija,Entreriosas province,Ентре Риос,एंत्रे रियोस,Wilayah Entre Ríos,Entre Ríos,Província d'Entre Ríos,Энтре-Риос,Entre Ríos,Entre Rios,صوبہ اینترے ریؤس,Entre Ríos,,Энтре-Риос,Entre Ríos,Ентре Риос,Entre Ríos,Mkoa wa Entre Ríos,Энтре-Риос,รัฐเอนเตรริโอส,Entre Ríos eyaleti,Ентре-Ріос,,Entre Ríos,Entre Ríos,Entre Ríos,恩特雷里奥斯省,Entre Ríos Province,Entre Ríos wamani,Entre Ríos,,,,,Entre Ríos,Entre Ríos Séng,Entre Rijosa provincėjė,,,Provincia Entre Ríos,Lalawigan ng Entre Ríos,Entre Ríos jisk'a suyu,صوبہ انترے ریوس,एन्ट्रे रियोस,Էնտրե Ռիոս,Provincia de Entre Ríos,ఎంట్రి రియోస్ ప్రావిన్స్,இன்றே ரியோஸ் மாகாணம்,এন্ত্রে রিও প্রদেশ,Έντρε Ρίος,එන්ට්‍රි රයොස් පළාත,એન્ટ્રે રિયોસ પ્રાંત,ಎಂಟ್ರೆ ರೈಸ್ ಪ್ರಾಂತ್ಯ,,Entre Ríos,انتره ریوز ایالتی,,Entre Ríos,,Entre-Ríos,1001237,11952773h,,,,,,,,,,,,,,,Entre Rios,,Entre-Rios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q44764,https://upload.wikimedia.org/wikipedia/commons/c/c9/Bandera_de_la_Provincia_de_Jujuy.svg,https://upload.wikimedia.org/wikipedia/commons/0/0a/Escudo_de_la_Provincia_de_Jujuy.svg,AR-Y,province of Argentina,/m/02k_cf,AR10,1834,3853404,http://jujuy.gob.ar/home/index.html,,Provincia de Jujuy,خوخوي,правінцыя Жужуй,Хухуй,Proviñs Jujuy,Jujuy,Jujuy,,Jujuy,Provinz Jujuy,Jujuy Province,Jujuy Province,Jujuy Province,Jujuy,Jujuy,Jujuyko probintzia,ایالت خوخوی,Jujuyn maakunta,Jujuy,Provincia de Jujuy,Jujuy,חוחוי,Jujuy tartomány,,Jujuy,,provincia di Jujuy,フフイ州,ხუხუის პროვინცია,후후이 주,,Jujuy,Chuchujaus provincija,Huhujas province,Хухуј,जुजुय,Wilayah Jujuy,Jujuy,Província de Jujuy,,Jujuy,Jujuy,صوبہ جوجوئے,Jujuy,Jujuy,Жужуй,Jujuy,Хухуј,Jujuy,Mkoa wa Jujuy,Жужуй,รัฐฆูฆุย,Jujuy eyaleti,Жужуй,,Jujuy,Jujuy,Jujuy,胡胡伊省,Jujuy,Jujuy wamani,Jujuy,,,,,,Jujuy Séng,Chuchujė provincėjė,,,Provincia Jujuy,Lalawigan ng Jujuy,Jujuy jisk'a suyu,صوبہ خوخوئی,ज्यूजुई,Խուխույ,Provincia de Jujuy,జుజూయ్ ప్రావిన్స్,ஜூஜூய்  மாகாணம்,জুজুয়  প্রদেশ,Τζουτζούι,ජුජුයි පළාත,જુજુય પ્રાંત,ಜುಜುಯಿ ಪ್ರಾಂತ್ಯ,,,خوخوی ایالتی,,Jujuy,,,1001328,,,,,,胡胡伊省,胡胡伊省,胡胡伊省,胡胡伊省,胡胡伊省,胡胡伊省,胡胡伊省,胡胡伊省,,,,,,Жужуй,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q44795,https://upload.wikimedia.org/wikipedia/commons/8/81/Bandera_de_la_Provincia_de_La_Pampa.svg,https://upload.wikimedia.org/wikipedia/commons/8/8f/Arpampa.PNG,AR-L,province of Argentina,/m/02l5nz,AR11,,3849574,http://www.lapampa.gov.ar,,Provincia de La Pampa,لا بامبا,Правінцыя Ла-Пампа,Ла Пампа,La Pampa,La Pampa,La Pampa,La Pampa,La Pampa,Provinz La Pampa,La Pampa,,,Provincia de La Pampa,,La Pampako probintzia,ایالت لا پامپا,La Pampan maakunta,La Pampa,Provincia de La Pampa,,לה פמפה,,,Provinsi La Pampa,,provincia di La Pampa,ラ・パンパ州,ლა-პამპის პროვინცია,라팜파 주,,La Pampa,La Pampos provincija,Lapampas province,Ла Пампа,ला पांपा,Wilayah La Pampa,La Pampa,Província de La Pampa,,La Pampa,La Pampa,صوبہ لا پامپا,La Pampa,,Ла-Пампа,La Pampa,Пампа,La Pampa,Mkoa wa La Pampa,Ла-Пампа,รัฐลาปัมปา,La Pampa eyaleti,Ла-Пампа,,La Pampa,La Pampa,La Pampa,拉潘帕省,La Pampa Province,La Pampa wamani,La Pampa,,,,,La Pampa,La Pampa Séng,La Pampas provincėjė,,,Provincia La Pampa,Lalawigan ng La Pampa,La Pampa jisk'a suyu,لا پامپا صوبہ,ला पम्पा,,Provincia de La Pampa,లా పాంపా ప్రావిన్స్,லா  பம்பா  மாகாணம்,লা পাম্পা প্রদেশ,Λα Πάμπα,ලා පම්පා පළාත,લા પામ્પા પ્રાંત,ಲಾ ಪಂಪ ಪ್ರಾಂತ್ಯ,,,لا پامپا ایالتی,,La Pampa,,,1001375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
