id,name,sort_name,district,start_date,end_date,party,source,image,phone,email,term
galegre,Gilberto Oscar Alegre,"Alegre, Gilberto Oscar",Buenos Aires,2013-12-10,2017-12-09,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,http://www.hcdn.gob.ar/diputados/galegre/,"","","",135
garrieta,Gustavo Hector Arrieta,"Arrieta, Gustavo Hector",Buenos Aires,2013-12-10,2017-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/garrieta/,"","","",135
gbevilacqua,Gustavo Bevilacqua,"Bevilacqua, Gustavo",Buenos Aires,2015-12-10,2019-12-09,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,http://www.hcdn.gob.ar/diputados/gbevilacqua/,"","","",135
gcamano,Graciela Camaño,"Camaño, Graciela",Buenos Aires,2015-12-10,2019-12-09,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,http://www.hcdn.gob.ar/diputados/gcamano/,"","","",135
gcarmona,Guillermo Ramon Carmona,"Carmona, Guillermo Ramon",Mendoza,2015-12-10,2019-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/gcarmona/,"","","",135
gcaselles,Graciela Maria Caselles,"Caselles, Graciela Maria",San Juan,2015-12-10,2019-12-09,PARTIDO BLOQUISTA DE SAN JUAN,http://www.hcdn.gob.ar/diputados/gcaselles/,"","","",135
gcousinet,Graciela Cousinet,"Cousinet, Graciela",Mendoza,2013-12-10,2017-12-09,LIBRES DEL SUR,http://www.hcdn.gob.ar/diputados/gcousinet/,"","","",135
gdurandc,Guillermo Mario Durand Cornejo,"Durand Cornejo, Guillermo Mario",Salta,2013-12-10,2017-12-09,UNION PRO,http://www.hcdn.gob.ar/diputados/gdurandc/,"","","",135
gestevez,Gabriela Beatriz Estevez,"Estevez, Gabriela Beatriz",Cordoba,2015-12-10,2019-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/gestevez/,"","","",135
gfernandezm,Gustavo Rodolfo Fernandez Mendia,"Fernandez Mendia, Gustavo Rodolfo",La Pampa,2013-12-10,2017-12-09,JUSTICIALISTA,http://www.hcdn.gob.ar/diputados/gfernandezm/,"","","",135
