id,position,label,description,start_date,constituency,end_date,election,replaced_by,replaces,of
Q12164058,Q18229570,Member of the Argentine Chamber of Deputies,"",2011-12-10,Buenos Aires,2015-02-26,,,,
Q12164058,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Buenos Aires,,,,,
Q1261399,Q18229570,Member of the Argentine Chamber of Deputies,"",2009-12-10,Buenos Aires,2013-12-09,,,,
Q1261399,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,Buenos Aires,2017-12-09,,,,
Q1403237,Q1425955,Governor of Buenos Aires Province,position,2002-01-03,,2007-12-10,,Daniel Scioli,Carlos Ruckauf,
Q1403237,Q18229570,Member of the Argentine Chamber of Deputies,"",1991-12-10,Buenos Aires,1993-01-31,,,,
Q1403237,Q18229570,Member of the Argentine Chamber of Deputies,"",2007-12-10,Buenos Aires,2009-05-11,,,,
Q1403237,Q18229570,Member of the Argentine Chamber of Deputies,"",2009-12-10,Buenos Aires,2013-12-09,,,,
Q1403237,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,Buenos Aires,2017-12-09,,,,
Q1403237,Q18229570,Member of the Argentine Chamber of Deputies,"",2017-12-10,Buenos Aires,,"Argentine legislative election, 2017",,,
Q15192668,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,Salta Province,2017-12-09,,,,
Q15702157,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,,2015-12-04,,Soledad Sosa,,
Q15702157,Q18229570,Member of the Argentine Chamber of Deputies,"",2017-12-10,Buenos Aires,,"Argentine legislative election, 2017",,,
Q15714680,Q18229570,Member of the Argentine Chamber of Deputies,"",2011-12-10,Salta Province,2015-12-09,,,,
Q15714680,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Salta Province,,,,,
Q15719117,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Santa Cruz Province,,,,,
Q16142825,Q18229570,Member of the Argentine Chamber of Deputies,"",2009-12-10,Santiago del Estero Province,2013-12-09,,,,
Q16142825,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,Santiago del Estero Province,2017-12-09,,,,
Q16142825,Q18229570,Member of the Argentine Chamber of Deputies,"",2017-12-10,Santiago del Estero Province,,"Argentine legislative election, 2017",,,
Q16298697,Q18229570,Member of the Argentine Chamber of Deputies,"",2011-12-10,Córdoba Province,2015-12-09,,,,
Q16300843,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,Buenos Aires,2017-12-09,,,,
Q16300926,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,Santa Fe Province,2017-12-09,,,,
Q16300926,Q18229570,Member of the Argentine Chamber of Deputies,"",2017-12-10,Santa Fe Province,,"Argentine legislative election, 2017",,,
Q16301672,Q18229570,Member of the Argentine Chamber of Deputies,"",1993-12-10,Córdoba Province,1997-12-09,,,,
Q16301672,Q18229570,Member of the Argentine Chamber of Deputies,"",1997-12-10,Córdoba Province,2001-12-09,,,,
Q16301672,Q18229570,Member of the Argentine Chamber of Deputies,"",2003-12-10,Córdoba Province,2007-12-09,,,,
Q16301672,Q18229570,Member of the Argentine Chamber of Deputies,"",2011-12-10,Córdoba Province,2015-12-09,,,,
Q16301672,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Córdoba Province,,,,,
Q16301760,Q18229570,Member of the Argentine Chamber of Deputies,"",2009-12-10,Misiones Province,2013-12-09,,,,
Q16301760,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,Misiones Province,2017-12-09,,,,
Q16302129,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,,2015-12-09,,,,
Q16566094,Q18229570,Member of the Argentine Chamber of Deputies,"",2011-12-10,Buenos Aires,2015-12-09,,,,
Q16566094,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Buenos Aires,,,,,
Q16605530,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,Santa Cruz Province,2017-12-09,,,,
Q16913151,Q18229570,Member of the Argentine Chamber of Deputies,"",2009-12-10,Chaco Province,2013-12-09,,,,
Q16913151,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,Chaco Province,2017-12-09,,,,
Q1710644,Q18229570,Member of the Argentine Chamber of Deputies,"",1995-12-10,,1997-12-09,,,,
Q1710644,Q18229570,Member of the Argentine Chamber of Deputies,"",2001-12-10,,2002-12-10,,,,
Q1710644,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,,2015-12-10,,,,
Q1710644,Q3249940,Governor of Córdoba,"","",,,,,,
Q17477925,Q18229570,Member of the Argentine Chamber of Deputies,"",2011-12-10,Buenos Aires,2015-12-09,,,,
Q17477925,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Buenos Aires,,,,,
Q17624215,Q18229570,Member of the Argentine Chamber of Deputies,"",2005-12-10,Buenos Aires,2007-12-19,,,,
Q17624215,Q18229570,Member of the Argentine Chamber of Deputies,"",2011-12-10,Buenos Aires,2015-12-09,,,,
Q17624215,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Buenos Aires,,,,,
Q17635652,Q18229570,Member of the Argentine Chamber of Deputies,"",2009-12-10,Tucumán Province,2013-12-09,,,,
Q17635652,Q18229570,Member of the Argentine Chamber of Deputies,"",2014-04-03,Tucumán Province,2017-12-09,,,,
Q18224545,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,,2015-12-10,,,,
Q18224934,Q18229570,Member of the Argentine Chamber of Deputies,"",2011-12-10,Buenos Aires,2015-12-09,,,,
Q18224934,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Buenos Aires,,,,,
Q19897814,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,San Juan Province,2017-12-09,,,,
Q19897814,Q18229570,Member of the Argentine Chamber of Deputies,"",2017-12-10,San Juan Province,,"Argentine legislative election, 2017",,,
Q20012995,Q18229570,Member of the Argentine Chamber of Deputies,"",2009-12-10,Salta Province,2013-12-09,,,,
Q20012995,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Salta Province,,,,,
Q20015252,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,Mendoza,2017-12-09,,,,
Q20015265,Q18229570,Member of the Argentine Chamber of Deputies,"",2009-12-10,Buenos Aires,2013-12-09,,,,
Q20015265,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,Buenos Aires,2017-12-09,,,,
Q20015265,Q18711738,Member of the Argentine Chamber of Senators,"",2017-12-10,Buenos Aires,,"Argentine legislative election, 2017",,,
Q20016052,Q18229570,Member of the Argentine Chamber of Deputies,"",2013-12-10,Buenos Aires,2017-12-09,,,,
Q20016052,Q18229570,Member of the Argentine Chamber of Deputies,"",2017-12-10,Buenos Aires,,"Argentine legislative election, 2017",,,
Q20016593,Q18229570,Member of the Argentine Chamber of Deputies,"",2009-12-10,,2015-12-10,,,,
Q20017012,Q18229570,Member of the Argentine Chamber of Deputies,"",2001-12-10,Entre Ríos Province,2003-12-17,,,,
Q20017012,Q18229570,Member of the Argentine Chamber of Deputies,"",2011-12-10,Entre Ríos Province,2015-12-09,,,,
Q20017012,Q18229570,Member of the Argentine Chamber of Deputies,"",2015-12-10,Entre Ríos Province,,,,,
Q20090781,Q18229570,Member of the Argentine Chamber of Deputies,"",2016-12-06,Buenos Aires,2017-12-09,,,,
