id,sort_name,name,party,term
abela-carmelo,"Abela, Carmelo",Carmelo Abela,Partit Laburista,13
abela-robert,"Abela, Robert",Robert Abela,Partit Laburista,13
agius-chris,"Agius, Chris",Chris Agius,Partit Laburista,13
agius-david,"Agius, David",David Agius,Partit Nazzjonalista,13
agius-decelis-anthony,"Agius Decelis, Anthony",Anthony Agius Decelis,Partit Laburista,13
aquilina-karol,"Aquilina, Karol",Karol Aquilina,Partit Nazzjonalista,13
arrigo-robert,"Arrigo, Robert",Robert Arrigo,Partit Nazzjonalista,13
azzopardi-frederick,"Azzopardi, Frederick",Frederick Azzopardi,Partit Nazzjonalista,13
azzopardi-jason,"Azzopardi, Jason",Jason Azzopardi,Partit Nazzjonalista,13
bartolo-clayton,"Bartolo, Clayton",Clayton Bartolo,Partit Laburista,13
bartolo-evarist,"Bartolo, Evarist",Evarist Bartolo,Partit Laburista,13
bartolo-ivan,"Bartolo, Ivan",Ivan Bartolo,Partit Nazzjonalista,13
bedingfield-glenn,"Bedingfield, Glenn",Glenn Bedingfield,Partit Laburista,13
bezzina-toni,"Bezzina, Toni",Toni Bezzina,Partit Nazzjonalista,13
bonnici-owen,"Bonnici, Owen",Owen Bonnici,Partit Laburista,13
borg-ian,"Borg, Ian",Ian Borg,Partit Laburista,13
busuttil-simon,"Busuttil, Simon",Simon Busuttil,Partit Nazzjonalista,13
buttigieg-claudette,"Buttigieg, Claudette",Claudette Buttigieg,Partit Nazzjonalista,13
callus-ryan,"Callus, Ryan",Ryan Callus,Partit Nazzjonalista,13
camilleri-byron,"Camilleri, Byron",Byron Camilleri,Partit Laburista,13
camilleri-clint,"Camilleri, Clint",Clint Camilleri,Partit Laburista,13
cardona-chris,"Cardona, Chris",Chris Cardona,Partit Laburista,13
caruana-justyne,"Caruana, Justyne",Justyne Caruana,Partit Laburista,13
comodini-cachia-therese,"Comodini Cachia, Therese",Therese Comodini Cachia,Partit Nazzjonalista,13
cutajar-robert,"Cutajar, Robert",Robert Cutajar,Partit Nazzjonalista,13
cutajar-rosianne,"Cutajar, Rosianne",Rosianne Cutajar,Partit Laburista,13
dalli-helena,"Dalli, Helena",Helena Dalli,Partit Laburista,13
debattista-deo,"Debattista, Deo",Deo Debattista,Partit Laburista,13
debono-jean-pierre,"Debono, Jean Pierre",Jean Pierre Debono,Partit Nazzjonalista,13
debono-kristy,"Debono, Kristy",Kristy Debono,Partit Nazzjonalista,13
deguara-maria,"Deguara, Maria",Maria Deguara,Partit Nazzjonalista,13
delia-adrian,"Delia, Adrian",Adrian Delia,Partit Nazzjonalista,13
demarco-mario,"de Marco, Mario",Mario de Marco,Partit Nazzjonalista,13
falzon-michael,"Falzon, Michael",Michael Falzon,Partit Laburista,13
farrugia-aaron,"Farrugia, Aaron",Aaron Farrugia,Partit Laburista,13
farrugia-godfrey,"Farrugia, Godfrey",Godfrey Farrugia,Partit Demokratiku,13
farrugia-marlene,"Farrugia, Marlene",Marlene Farrugia,Partit Demokratiku,13
farrugia-michael,"Farrugia, Michael",Michael Farrugia,Partit Laburista,13
farrugia-portelli-julia,"Farrugia Portelli, Julia",Julia Farrugia Portelli,Partit Laburista,13
fearne-chris,"Fearne, Chris",Chris Fearne,Partit Laburista,13
