id,name,sort_name,image
155,Pius Namwamba Ababu,"Ababu , Pius Namwamba",http://www.parliament.go.ke/media/k2/items/cache/c10c64c27e0606d1654b81b9bb482558_M.jpg
156,Ahmed Ibrahim Abass,"Abass, Ahmed Ibrahim",http://www.parliament.go.ke/media/k2/items/cache/15d43aef6c8a5134e1fc00a9c98b8ab0_M.jpg
157,Amina Abdalla,"Abdalla, Amina",http://www.parliament.go.ke/media/k2/items/cache/171fc14b49a79ea979710de5b3402b30_M.jpg
158,Yusuf Hassan Abdi,"Abdi, Yusuf Hassan",http://www.parliament.go.ke/media/k2/items/cache/0dc247c07eee71a72cf9409729fb3455_M.jpg
159,Kamama Asman Abongotum,"Abongotum , Kamama Asman",http://www.parliament.go.ke/media/k2/items/cache/29766e2a37e979b18d18c428ff9c5aba_M.jpg
160,Lawrence Mpuru Aburi,"Aburi, Lawrence Mpuru",http://www.parliament.go.ke/media/k2/items/cache/9f6d22dec5a20bcdd01cd84e98637764_M.jpg
161,Abdikadir Omar Aden,"Aden, Abdikadir Omar",http://www.parliament.go.ke/media/k2/items/cache/471bd07fdaa7b040f7ab8b2a13f8f35b_M.jpg
162,Shakeel Shabbir A. Ahmed,"Ahmed, Shakeel Shabbir A.",http://www.parliament.go.ke/media/k2/items/cache/5cf9cad94714c5577919c266171d935c_M.jpg
163,Abdikadir Ore Ahmed,"Ahmed, Abdikadir Ore",http://www.parliament.go.ke/media/k2/items/cache/47674e109b85ae6495880f2604f34f58_M.jpg
164,Protus Ewesit Akujah,"Akujah, Protus Ewesit",http://www.parliament.go.ke/media/k2/items/cache/7acce66d40ec90c2d61987b409cbf850_M.jpg
165,Abdi Noor Mohammed Ali,"Ali, Abdi Noor Mohammed",http://www.parliament.go.ke/media/k2/items/cache/461011bcaf5b5e723e897c33f049f169_M.jpg
166,Tiyah Galgalo Ali,"Ali, Tiyah Galgalo",http://www.parliament.go.ke/media/k2/items/cache/ee68a9df1200997b07be8fb0bbdb9f29_M.jpg
167,Fatuma Ibrahim Ali,"Ali, Fatuma Ibrahim",http://www.parliament.go.ke/media/k2/items/cache/ce7646a74c54cecf1c05442c71f02147_M.jpg
168,Shariff Athman Ali,"Ali, Shariff Athman",http://www.parliament.go.ke/media/k2/items/cache/5fa21cd9e0d2531a2f1dfdffbab46f70_M.jpg
169,John Olago Aluoch,"Aluoch, John Olago",http://www.parliament.go.ke/media/k2/items/cache/da8a96cfc8ca1dd33bc42677c8b9c7c6_M.jpg
