name,wikiname,party,party_wikiname,term,start_date,end_date,id
Achraf Bouali,Achraf Bouali,D66,Democraten 66,2017,"","",achraf_bouali
Agnes Mulder,Agnes Mulder,CDA,Christen-Democratisch Appèl,2017,"","",agnes_mulder
Albert van den Bosch,Albert van den Bosch,VVD,Volkspartij voor Vrijheid en Democratie,2017,"","",albert_van_den_bosch
Alexander Kops,Alexander Kops,PVV,Partij voor de Vrijheid,2017,"","",alexander_kops
Alexander Pechtold,Alexander Pechtold,D66,Democraten 66,2017,"","",alexander_pechtold
André Bosman,André Bosman,VVD,Volkspartij voor Vrijheid en Democratie,2017,"","",andré_bosman
Anne Kuik,Anne Kuik,CDA,Christen-Democratisch Appèl,2017,"","",anne_kuik
Anne Mulder,Anne Mulder,VVD,Volkspartij voor Vrijheid en Democratie,2017,"","",anne_mulder
Antje Diertens,Antje Diertens,D66,Democraten 66,2017,"","",antje_diertens
Arne Weverling,Arne Weverling,VVD,Volkspartij voor Vrijheid en Democratie,2017,"","",arne_weverling
Arno Rutte,Arno Rutte,VVD,Volkspartij voor Vrijheid en Democratie,2017,"","",arno_rutte
Attje Kuiken,Attje Kuiken,PvdA,Partij van de Arbeid (Nederland),2017,"","",attje_kuiken
Aukje de Vries,Aukje de Vries,VVD,Volkspartij voor Vrijheid en Democratie,2017,"","",aukje_de_vries
Barbara Visser,Barbara Visser (politicus),VVD,Volkspartij voor Vrijheid en Democratie,2017,"","",barbara_visser
Barry Madlener,Barry Madlener,PVV,Partij voor de Vrijheid,2017,"","",barry_madlener
Bart Snels,Bart Snels,GroenLinks,GroenLinks,2017,"","",bart_snels
Bart van Kent,Bart van Kent,SP,Socialistische Partij (Nederland),2017,"","",bart_van_kent
Bas van 't Wout,Bas van 't Wout,VVD,Volkspartij voor Vrijheid en Democratie,2017,"","",bas_van_'t_wout
Bente Becker,Bente Becker,VVD,Volkspartij voor Vrijheid en Democratie,2017,"","",bente_becker
Bram van Ojik,Bram van Ojik,GroenLinks,GroenLinks,2017,"","",bram_van_ojik
