id,name,party,start_date,end_date,wikidata,term
achraf_bouali,Achraf Bouali,D66,2017-03-23,,Q28860871,2017
agnes_mulder,Agnes Mulder,CDA,2012-09-20,,Q94239,2017
albert_van_den_bosch,Albert van den Bosch,VVD,2017-03-23,,Q2035601,2017
alexander_kops,Alexander Kops,PVV,2017-03-23,,Q17427994,2017
alexander_pechtold,Alexander Pechtold,D66,2006-11-30,2018-10-09,Q1915394,2017
andré_bosman,André Bosman,VVD,2010-06-17,,Q2895887,2017
anne_kuik,Anne Kuik,CDA,2017-03-23,,Q28549638,2017
anne_mulder,Anne Mulder,VVD,2017-03-23,,Q976442,2017
antje_diertens,Antje Diertens,D66,2017-03-23,,Q28860873,2017
antoinette_laan-geselschap,Antoinette Laan-Geselschap,VVD,2017-10-31,,Q28861044,2017
arne_weverling,Arne Weverling,VVD,2017-03-23,,Q28861024,2017
arno_rutte,Arno Rutte,VVD,2010-06-17,,Q1396426,2017
attje_kuiken,Attje Kuiken,PvdA,2010-05-11,,Q2629616,2017
aukje_de_vries,Aukje de Vries,VVD,2012-11-08,,Q1532558,2017
barbara_visser,Barbara Visser,VVD,2012-09-20,2017-10-25,Q1397858,2017
barry_madlener,Barry Madlener,PVV,2012-09-20,,Q545023,2017
bart_snels,Bart Snels,GroenLinks,2017-03-23,,Q1871234,2017
bart_van_kent,Bart van Kent,SP,2017-03-23,,Q28861218,2017
bas_van_'t_wout,Bas van 't Wout,VVD,2012-09-20,,Q1662099,2017
bente_becker,Bente Becker,VVD,2017-03-23,,Q28860992,2017
bram_van_ojik,Bram van Ojik,GroenLinks,2017-03-23,,Q2192317,2017
carla_dik-faber,Carla Dik-Faber,ChristenUnie,2012-09-20,,Q169515,2017
carola_schouten,Carola Schouten,ChristenUnie,2011-05-18,2017-10-25,Q2625041,2017
cem_laçin,Cem Laçin,SP,2017-03-23,,Q28861219,2017
chantal_nijkerken-de_haan,Chantal Nijkerken-de Haan,VVD,2015-03-31,,Q19830701,2017
chris_stoffer,Chris Stoffer,SGP,2018-04-11,,Q51796208,2017
chris_van_dam,Chris van Dam,CDA,2017-03-23,,Q28861150,2017
christine_teunissen,Christine Teunissen,Partij voor de Dieren,2018-10-11,,Q19988346,2017
corinne_ellemeet,Corinne Ellemeet,GroenLinks,2017-03-23,,Q18638497,2017
corrie_van_brenk,Corrie van Brenk,50PLUS,2017-03-23,,Q2415461,2017
danai_van_weerdenburg,Danai van Weerdenburg,PVV,2017-03-23,,Q19801955,2017
daniel_koerhuis,Daniel Koerhuis,VVD,2017-03-23,,Q28861007,2017
dennis_wiersma,Dennis Wiersma,VVD,2017-03-23,,Q28653560,2017
dilan_yeşilgöz-zegerius,Dilan Yeşilgöz-Zegerius,VVD,2017-03-23,,Q28861002,2017
dion_graus,Dion Graus,PVV,2006-11-30,,Q2285105,2017
edgar_mulder,Edgar Mulder,PVV,2017-03-23,,Q28861872,2017
elbert_dijkgraaf,Elbert Dijkgraaf,SGP,2010-06-17,2018-04-10,Q1299042,2017
emiel_van_dijk,Emiel van Dijk,PVV,2018-04-03,2018-07-20,Q28861874,2017
emile_roemer,Emile Roemer,SP,2006-11-30,2018-01-17,Q1337248,2017
eppo_bruins,Eppo Bruins,ChristenUnie,2015-12-02,,Q21479701,2017
erik_ronnes,Erik Ronnes,CDA,2015-05-20,,Q18692811,2017
erik_ziengs,Erik Ziengs,VVD,2010-06-17,,Q733208,2017
esther_ouwehand,Esther Ouwehand,Partij voor de Dieren,2016-10-18,,Q434842,2017
eva_akerboom,Eva Akerboom,Partij voor de Dieren,2018-10-16,,Q28860640,2017
evert-jan_slootweg,Evert-Jan Slootweg,CDA,2017-10-31,,Q28861154,2017
farid_azarkan,Farid Azarkan,DENK,2017-03-23,,Q28861992,2017
femke_merel_van_kooten-arissen,Femke Merel van Kooten-Arissen,Partij voor de Dieren,2017-03-23,2018-10-14,Q28860635,2017
fleur_agema,Fleur Agema,PVV,2006-11-30,,Q467982,2017
foort_van_oosten,Foort van Oosten,VVD,2012-09-20,,Q1285219,2017
frank_futselaar,Frank Futselaar,SP,2017-03-23,,Q28861221,2017
frank_wassenberg,Frank Wassenberg,Partij voor de Dieren,2017-03-23,,Q21479756,2017
gabriëlle_popken,Gabriëlle Popken,PVV,2017-03-23,2018-03-31,Q2403818,2017
geert_wilders,Geert Wilders,PVV,1998-08-25,,Q105338,2017
gert-jan_segers,Gert-Jan Segers,ChristenUnie,2012-09-20,,Q196276,2017
gidi_markuszower,Gidi Markuszower,PVV,2017-03-23,,Q19986193,2017
gijs_van_dijk,Gijs van Dijk,PvdA,2017-03-23,,Q28839264,2017
halbe_zijlstra,Halbe Zijlstra,VVD,2012-09-20,2017-10-25,Q1375236,2017
han_ten_broeke,Han ten Broeke,VVD,2006-11-30,2018-09-04,Q2048089,2017
hanke_bruins_slot,Hanke Bruins Slot,CDA,2010-06-17,,Q5165280,2017
harm_beertema,Harm Beertema,PVV,2010-10-17,,Q2420642,2017
harry_van_der_molen,Harry van der Molen,CDA,2017-03-23,,Q16740286,2017
