id,name,start_date,end_date,wikidata
2006,1st Territorial Council,2006-03-19,2012-03-18,Q29110567
2012,2nd Territorial Council,2012-03-18,2017-03-19,Q29110568
2017,3rd Territorial Council,2017-03-19,,Q29110569
