id,wikidata
263bb61e-57df-4d7f-90b2-b7c95adaa685,Q133968
a17f30ea-f5e9-4c80-9d87-fc7bb36314cd,Q133968
d96ee96c-fbb7-48fd-9ae3-d3803d547bf0,Q971439
d5e0f44c-9856-4527-81a6-4059959766f5,Q971439
e1b077b5-fe24-4a6f-b01c-be296ce10251,Q928435
015f436b-f715-42d9-9bf9-1c6107c90af2,Q164242
db2147e5-cdb4-4ee7-a8d1-7d5c90f82de0,Q164242
81acf33d-f69a-4fc8-8bb1-360bf9aa3c69,Q841253
31ebcd90-5187-41aa-9dcb-62094fd48bab,Q928435
831cea2f-d44a-41a9-be71-19a4d563d9ad,Q178049
37d2acf9-03b2-4292-a88c-9f364b72b1d8,Q971439
d0b2791c-a74f-42f8-b852-387724f96c54,Q164242
1671d843-6aa7-4c0f-b4f4-f661238c1f25,Q265322
0f75a3f5-b7ac-4a8a-b618-3a20ae0d7105,Q15991304
4e1dc95d-e014-43e7-8af5-0b2b13d238e8,Q127205
cf252132-d103-4d5e-b4f3-537690f7e90d,Q178049
ae47d6d8-701c-4301-803b-ff69ee80bcd9,Q17514144
8db84b1c-1dab-4841-9f57-3a05efc072d5,Q1048010
b9b0451f-886b-4916-8083-2c72c5c48d3b,Q17173534
38fa148d-6c6a-4e98-98fb-71578c467953,Q4996214
5298d4da-968a-4a82-a3b0-113ea760f897,Q677080
e7e5f3d8-9459-4c4f-b5a8-f224e17d5b0e,Q127205
9309b101-9a53-4abb-8de3-176b6d26702a,Q841253
d6639d7d-b91d-4695-92ec-a51d1fe68b48,Q4325952
ef843991-f923-4496-b918-b1fac6d9b611,Q834030
756b04fa-c1b8-4c6f-99eb-189616eb913c,Q12287846
3b5cd756-3b5d-4019-8048-91ef7807488a,Q1048010
493a98a0-bba7-4712-ba57-980db88f04a1,Q327591
d2454838-1fe5-4c31-8dbe-b95c6dfab9a9,Q327591
92f0bd62-4c0c-4a1d-9c48-a8b22b5e1857,Q327591
0c0a898d-379d-4b61-970a-ad9dcc05e027,Q164242
9d69aa54-ca66-4d47-92b4-72a0acacf641,Q327591
ba06b945-b53c-4a2c-a43e-14c418dfd0ba,Q27499882
cc83710f-f4e5-482c-b517-3a5a238f6892,Q25485773
571e53da-8ee7-43eb-905a-cc1685825a78,Q834030
3da820b8-495f-4acb-ace0-f5441317419b,Q56085019
7a54d570-acde-4888-a53b-056cb86aa09a,Q951851
