id,name,area,party,email,image,term
angel-mariano-paniagua,ANGEL MARIANO PANIAGUA PERALTA,Central,ANR,,http://www.diputados.gov.py/ww5/application/files/cache/619e7f1df46e18818c0ab0e5b62e2dd7.jpg,2018
ariel-villagra-sosa,ARIEL VILLAGRA SOSA,San Pedro,GANAR,,http://www.diputados.gov.py/ww5/application/files/cache/5939379294e6179016d7f1b11ac88811.jpg,2018
arnaldo-andres-rojas-feris,ARNALDO ANDRÉS ROJAS FERIS,Concepción,PLRA,,http://www.diputados.gov.py/ww5/application/files/cache/0af22dfe4a1b8f07afece02b8fa40b6f.jpg,2018
arnaldo-samaniego-gonzalez,ARNALDO SAMANIEGO GONZÁLEZ,Capital,ANR,,http://www.diputados.gov.py/ww5/application/files/cache/f145ad933de14153189fe6fe6fd78ee8.jpg,2018
avelino-davalos-estigarribia,AVELINO DÁVALOS ESTIGARRIBIA,Caazapá,ANR,,http://www.diputados.gov.py/ww5/application/files/cache/b62ab8a543f07a31736622ed05337569.jpg,2018
basilio-gustavo-nunez-gimenez,BASILIO GUSTAVO NÚÑEZ GIMÉNEZ,Pte. Hayes,ANR,,http://www.diputados.gov.py/ww5/application/files/cache/5867d6e1f34e4ff5a865c9c80e0d5b99.jpg,2018
blanca-marina-vargas-de-caballero,BLANCA MARINA VARGAS DE CABALLERO,Alto Paraná,ANR,,http://www.diputados.gov.py/ww5/application/files/cache/2905eb6c3d82966eecfa43d0da5a4627.jpg,2018
carlos-alberto-nunez-salinas,CARLOS ALBERTO NÚÑEZ SALINAS,Central,ANR,,http://www.diputados.gov.py/ww5/application/files/cache/9ed352d298c83294cb0a531525a22add.jpg,2018
carlos-antonio-portillo-veron,CARLOS ANTONIO PORTILLO VERÓN,Alto Paraná,GANAR,,http://www.diputados.gov.py/ww5/application/files/cache/d8fea19aa3d521e01395e01733a66b34.jpg,2018
carlos-antonio-rejala-helman,CARLOS ANTONIO REJALA HELMAN,Central,PPH,,http://www.diputados.gov.py/ww5/application/files/cache/52dfa5c10600164364c894271b484723.jpg,2018
carlos-enrique-silva-rivas,CARLOS ENRIQUE SILVA RIVAS,Ñeembucú,PLRA,,http://www.diputados.gov.py/ww5/application/files/cache/12adde5a949c695383dba6dbf50109ae.jpg,2018
carlos-maria-lopez-lopez,CARLOS MARÍA LÓPEZ LÓPEZ,Cordillera,PLRA,,http://www.diputados.gov.py/ww5/application/files/cache/a297574d3ac7741b6ad4d280910fb390.jpg,2018
carlos-sebastian-ramon-garcia-altieri,CARLOS SEBASTIÁN RAMÓN GARCÍA ALTIERI,Capital,PPQ,,http://www.diputados.gov.py/ww5/application/files/cache/3326c9c4fb13455cc6d4500031c69b2b.jpg,2018
carmen-dejesus-gimenez-de-ovando,CARMEN DEJESÚS GIMENEZ DE OVANDO,San Pedro,ANR,,http://www.diputados.gov.py/ww5/application/files/cache/9acacdf4c456c66016cec5648398a7f7.jpg,2018
celeste-josefina-amarilla-vda-de-boccia,CELESTE JOSEFINA AMARILLA VDA. DE BOCCIA,Capital,PLRA,,http://www.diputados.gov.py/ww5/application/files/cache/b1998e7a52b26b15226d13f7cb53bf33.jpg,2018
celso-kennedy-bogado,CELSO KENNEDY BOGADO,Caaguazú,GANAR,,http://www.diputados.gov.py/ww5/application/files/cache/8c8578ea0d1164752a08609f41e5d9ff.jpg,2018
celso-maldonado-duarte,CELSO MALDONADO DUARTE,Central,PLRA,,http://www.diputados.gov.py/ww5/application/files/cache/e6ab2d876d7bc03d098292eb1777218d.jpg,2018
colym-gregorio-soroka-benitez,COLYM GREGORIO SOROKA BENÍTEZ,Itapúa,ANR,,http://www.diputados.gov.py/ww5/application/files/cache/862c6c7e2b3312ea04f6b2761ef6dd46.jpg,2018
del-pilar-eva-medina-de-paredes,DEL PILAR EVA MEDINA DE PAREDES,Central,ANR,,http://www.diputados.gov.py/ww5/application/files/cache/74a8039e7c45b0661f19aa1356ecc5fe.png,2018
derlis-hernan-maidana-zarza,DERLIS HERNÁN MAIDANA ZARZA,Misiones,ANR,,http://www.diputados.gov.py/ww5/application/files/cache/2e2e6427e69ee05d1d281c15075e5c7d.jpg,2018
edgar-acosta-alcaraz,EDGAR ACOSTA ALCARAZ,Central,PLRA,,http://www.diputados.gov.py/ww5/application/files/cache/31af93f0113954713e81c123f6b2d6cc.jpg,2018
edgar-espinola-guerrero,EDGAR ESPÍNOLA GUERRERO,CAAGUAZÚ,ANR,,http://www.diputados.gov.py/ww5/application/files/cache/b72a43fb829ca223cf5aee68c97e86dd.jpg,2018
edgar-isaac-ortiz-riveros,EDGAR ISAAC ORTIZ RIVEROS,Itapúa,PLRA,,http://www.diputados.gov.py/ww5/application/files/cache/5ece102df579827e1f55257f7fdb4487.jpg,2018
edwin-reimer-buhler,EDWIN REIMER BUHLER,Boquerón,ANR,,http://www.diputados.gov.py/ww5/application/files/cache/998a8e1c1462ae6fadc839834f11b254.jpg,2018
emilio-pavon-doldan,EMILIO PAVÓN DOLDÁN,Concepción,PLRA,,http://www.diputados.gov.py/ww5/application/files/cache/7a81ec0185c867caaaf27ef9c579fc2c.jpg,2018
enrique-antonio-concepcion-buzarquis-caceres,ENRIQUE ANTONIO CONCEPCIÓN BUZARQUIS CÁCERES,Caaguazú,PLRA,,http://www.diputados.gov.py/ww5/application/files/cache/cd79b9f8044a968b692eccc4c44a554a.jpg,2018
