id,name,start_date,end_date
1,1st Parliament,1999-05-06,2003-03-31
2,2nd Parliament,2003-05-01,2007-04-02
3,3rd Parliament,2007-05-03,2011-05-04
4,4th Parliament,2011-05-06,2016-03-23
