id,name,source,start_date,end_date
1,1st Parliament,http://www.parliament.gov.sg/history/1st-parliament,1965-12-08,1968-02-08
2,2nd Parliament,http://www.parliament.gov.sg/history/2nd-parliament,1968-05-06,1972-08-16
3,3rd Parliament,http://www.parliament.gov.sg/history/3rd-parliament,1972-10-12,1976-12-06
4,4th Parliament,http://www.parliament.gov.sg/history/4th-parliament,1977-02-07,1980-12-04
5,5th Parliament,http://www.parliament.gov.sg/history/5th-parliament,1981-02-03,1984-12-03
6,6th Parliament,http://www.parliament.gov.sg/history/6th-parliament,1985-02-25,1988-08-16
7,7th Parliament,http://www.parliament.gov.sg/history/7th-parliament,1989-01-09,1991-08-13
8,8th Parliament,http://www.parliament.gov.sg/history/8th-parliament,1992-01-06,1996-12-15
9,9th Parliament,http://www.parliament.gov.sg/history/9th-parliament,1997-05-26,2001-10-17
10,10th Parliament,http://www.parliament.gov.sg/history/10th-parliament,2002-03-25,2006-04-19
11,11th Parliament,http://www.parliament.gov.sg/history/11th-parliament,2006-11-02,2011-04-19
12,12th Parliament,http://www.parliament.gov.sg/history/12th-parliament,2011-10-10,2015-08-25
13,13th Parliament,http://www.parliament.gov.sg/history/13th-parliament,2016 --01-15,
