id,position,label,description,start_date,end_date,replaced_by,replaces,term,constituency
Q3846565,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q38987,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q38987,Q39021,President of Singapore,head of state of the Republic of Singapore,2011-09-01,,,,,
Q38987,Q5137493,Co-ordinating Minister for National Security,"","",,,,,
Q4354964,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q457929,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q461128,Q11393870,Minister for Home Affairs,Minister in Singapore,"",,,,,
Q461128,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q461128,Q256213,Minister for Foreign Affairs,head of the Ministry of Foreign Affairs in Singapore,"",,,,,
Q461128,Q5137493,Co-ordinating Minister for National Security,"","",,,,,
Q461128,Q5261072,Deputy Prime Minister of Singapore,"","",,,,,
Q4663710,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q4666073,Q20967973,Speaker of the Parliament of Singapore,"",2002,2011,Michael Palmer,Tan Soo Khoon,,
Q4666073,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q4738255,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q4749263,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q4761856,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q4798703,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q4841314,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q4849852,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q5070296,Q15151135,Ministry of Social and Family Development,ministry of the Government of Singapore,2012-11-01,,,,,
Q5070296,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q5070296,Q2382270,"Ministry of Community Development, Youth and Sports",Former Singaporean government ministry,2011-05-21,2012-10-31,Lawrence Wong,Vivian Balakrishnan,,
Q5070296,Q3024268,Ministry of Communications and Information,Singaporean government ministry,2011-05-21,2012-07-31,Lawrence Wong,,,
Q5070296,Q4294509,Ministry of Defence,Singapore government ministry responsible for military and national defense matters,2012-08-01,2013-08-31,Maliki Osman,Lawrence Wong,,
Q5070296,Q4294509,Ministry of Defence,Singapore government ministry responsible for military and national defense matters,2013-09-01,,,,,
Q5070367,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q5076232,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q5088602,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q5091569,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q5095139,Q11794931,List of Singapore MPs,Wikimedia list article,"",,,,,
Q5095139,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q5099506,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q5104732,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q5113490,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q5200144,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q5241790,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q5257739,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q5409769,Q7048601,Nominated Member of Parliament,member of the Parliament of Singapore appointed by the President who is not affiliated to any political party and does not represent any constituency,"",,,,,
Q543664,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q543664,Q39021,President of Singapore,head of state of the Republic of Singapore,1993-09-01,1999-08-31,S. R. Nathan,Wee Kim Wee,,
Q543664,Q5261072,Deputy Prime Minister of Singapore,"",1985-01-02,1993-09-01,Tony Tan Keng Yam,S. Rajaratnam,,
Q543664,Q866756,Prime Minister of Singapore,head of the government of the Republic of Singapore,1985-01-02,1993-09-01,Lee Hsien Loong,S. Rajaratnam,,
Q5465241,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q5520446,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q5549173,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q5591179,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q5642345,Q20967973,Speaker of the Parliament of Singapore,"",2013-01-14,,,Michael Palmer,,
Q5642345,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q5714209,Q21294917,Member of the Parliament of Singapore,"","",,,,,
Q57643,Q21294917,Member of the Parliament of Singapore,"",1984-12-22,1991-08-31,,"",,Teck Ghee Single Member Constituency
Q57643,Q21294917,Member of the Parliament of Singapore,"",1991-08-31,,,,,Ang Mo Kio Group Representation Constituency
Q57643,Q5261072,Deputy Prime Minister of Singapore,"",1990-11-28,2004-08-12,S. Jayakumar,Goh Chok Tong,,
Q57643,Q6118636,Minister for Finance,cabinet member of the government of Singapore,2001-11-10,2007-12-01,Tharman Shanmugaratnam,Richard Hu,,
