id,name,party,image,term,notes,source,end_date,start_date
a.p.-rajah-1,A.P. Rajah,Independent Singapore Party Alliance,http://www.parliament.gov.sg/sites/default/files/aprajah.gif,1,,http://www.parliament.gov.sg/history/1st-parliament,,
a.-rahim-ishak-1,A. Rahim Ishak,People’s Action Party,http://www.parliament.gov.sg/sites/default/files/rahimishak.gif,1,,http://www.parliament.gov.sg/history/1st-parliament,,
ang-nam-piau-1,Ang Nam Piau,People’s Action Party,http://www.parliament.gov.sg/sites/default/files/angnampiau.gif,1,,http://www.parliament.gov.sg/history/1st-parliament,,
"bani,-s.t.-1","Bani, S.T.",Barisan Sosialis,http://www.parliament.gov.sg/sites/default/files/stbani.gif,1,,http://www.parliament.gov.sg/history/1st-parliament,,
"barker,-e.w.-1","Barker, E.W.",People’s Action Party,http://www.parliament.gov.sg/sites/default/files/barkerew.gif,1,,http://www.parliament.gov.sg/history/1st-parliament,,
bernard-rodrigues-1,Bernard Rodrigues,People’s Action Party,http://www.parliament.gov.sg/sites/default/files/rodriguesbernard.gif,1,,http://www.parliament.gov.sg/history/1st-parliament,,
buang-bin-omar-junid-1,Buang Bin Omar Junid,People’s Action Party,http://www.parliament.gov.sg/sites/default/files/buangbinomarjunid.gif,1,,http://www.parliament.gov.sg/history/1st-parliament,,
chan-chee-seng-1,Chan Chee Seng,People’s Action Party,http://www.parliament.gov.sg/sites/default/files/chancheeseng.gif,1,,http://www.parliament.gov.sg/history/1st-parliament,,
chan-choy-siong-1,Chan Choy Siong,People’s Action Party,http://www.parliament.gov.sg/sites/default/files/chanchoysiong.gif,1,,http://www.parliament.gov.sg/history/1st-parliament,,
chan-sun-wing-1,Chan Sun Wing,"People’s Action Party, Barisan Sosialis",http://www.parliament.gov.sg/sites/default/files/chansunwing.gif,1,,http://www.parliament.gov.sg/history/1st-parliament,,
chew-chin-harn-1,Chew Chin Harn,People’s Action Party,http://www.parliament.gov.sg/sites/default/files/chewchinhan.gif,1,,http://www.parliament.gov.sg/history/1st-parliament,,
chia-thye-poh-1,Chia Thye Poh,Barisan Sosialis,http://www.parliament.gov.sg/sites/default/files/chiathyepoh_1.gif,1,,http://www.parliament.gov.sg/history/1st-parliament,,
chio-cheng-thun-1,Chio Cheng Thun,Barisan Sosialis,http://www.parliament.gov.sg/sites/default/files/chiochengthun.gif,1,,http://www.parliament.gov.sg/history/1st-parliament,,
chor-yeok-eng-1,Chor Yeok Eng,People’s Action Party,http://www.parliament.gov.sg/sites/default/files/choryeokeng.gif,1,,http://www.parliament.gov.sg/history/1st-parliament,,
chow-chiok-hock-1,Chow Chiok Hock,People’s Action Party,http://www.parliament.gov.sg/sites/default/files/chowchiokhock.gif,1,,http://www.parliament.gov.sg/history/1st-parliament,,
"coomaraswamy,-p.-1","Coomaraswamy, P.",NA,http://www.parliament.gov.sg/sites/default/files/pcoomaraswamy.gif,1,,http://www.parliament.gov.sg/history/1st-parliament,,
devan-nair-1,Devan Nair,People’s Action Party,http://www.parliament.gov.sg/sites/default/files/cvdevannair_1.gif,1,,http://www.parliament.gov.sg/history/1st-parliament,,
fong-kim-heng-1,Fong Kim Heng,People’s Action Party,http://www.parliament.gov.sg/sites/default/files/fongkimheng.gif,1,,http://www.parliament.gov.sg/history/1st-parliament,,
fong-sip-chee-1,Fong Sip Chee,People’s Action Party,http://www.parliament.gov.sg/sites/default/files/fongsipchee.gif,1,,http://www.parliament.gov.sg/history/1st-parliament,,
goh-keng-swee-1,Goh Keng Swee,People’s Action Party,http://www.parliament.gov.sg/sites/default/files/gohkengswee.gif,1,,http://www.parliament.gov.sg/history/1st-parliament,,
"gonzales,-r.a.-1","Gonzales, R.A.",People’s Action Party,http://www.parliament.gov.sg/sites/default/files/gonzalesra.gif,1,,http://www.parliament.gov.sg/history/1st-parliament,,
"govindaswamy,-p.-1","Govindaswamy, P.",People’s Action Party,http://www.parliament.gov.sg/sites/default/files/pgovindaswamy.gif,1,,http://www.parliament.gov.sg/history/1st-parliament,,
ho-cheng-choon-1,Ho Cheng Choon,People’s Action Party,http://www.parliament.gov.sg/sites/default/files/hochengchoon.gif,1,,http://www.parliament.gov.sg/history/1st-parliament,,
ho-kah-leong-1,Ho Kah Leong,People’s Action Party,http://www.parliament.gov.sg/sites/default/files/hokahleong.gif,1,,http://www.parliament.gov.sg/history/1st-parliament,,
ho-see-beng-1,Ho See Beng,People’s Action Party,http://www.parliament.gov.sg/sites/default/files/hoseebeng.gif,1,,http://www.parliament.gov.sg/history/1st-parliament,,
jek-yeun-thong-1,Jek Yeun Thong,People’s Action Party,http://www.parliament.gov.sg/sites/default/files/jekyeunthong.gif,1,,http://www.parliament.gov.sg/history/1st-parliament,,
koo-yong-1,Koo Yong,Barisan Sosialis,http://www.parliament.gov.sg/sites/default/files/kooyoung.gif,1,,http://www.parliament.gov.sg/history/1st-parliament,,
kow-kee-seng-1,Kow Kee Seng,Barisan Sosialis,http://www.parliament.gov.sg/sites/default/files/kowkeeseng.gif,1,,http://www.parliament.gov.sg/history/1st-parliament,,
lee-khoon-choy-1,Lee Khoon Choy,People’s Action Party,http://www.parliament.gov.sg/sites/default/files/leekhoonchoy.gif,1,,http://www.parliament.gov.sg/history/1st-parliament,,
lee-kuan-yew-1,Lee Kuan Yew,People’s Action Party,http://www.parliament.gov.sg/sites/default/files/MMPRPhoto2.jpg,1,,http://www.parliament.gov.sg/history/1st-parliament,,
lee-teck-him-1,Lee Teck Him,People’s Action Party,http://www.parliament.gov.sg/sites/default/files/leeteckhim.gif,1,,http://www.parliament.gov.sg/history/1st-parliament,,
lee-tee-tong-1,Lee Tee Tong,People’s Action Party,http://www.parliament.gov.sg/sites/default/files/leeteetong.gif,1,,http://www.parliament.gov.sg/history/1st-parliament,,
lim-cheng-lock-1,Lim Cheng Lock,People’s Action Party,http://www.parliament.gov.sg/sites/default/files/limchenglock.gif,1,,http://www.parliament.gov.sg/history/1st-parliament,,
lim-kim-san-1,Lim Kim San,People’s Action Party,http://www.parliament.gov.sg/sites/default/files/limkimsan.gif,1,,http://www.parliament.gov.sg/history/1st-parliament,,
