id,name,party,image,term,notes,source
a.-rahim-ishak-1,A. Rahim Ishak,People’s Action Party,http://www.parliament.gov.sg/sites/default/files/rahimishak.gif,3,,http://www.parliament.gov.sg/history/3rd-parliament
a.-rahim-ishak-1,A. Rahim Ishak,People’s Action Party,http://www.parliament.gov.sg/sites/default/files/rahimishak.gif,2,,http://www.parliament.gov.sg/history/2nd-parliament
a.-rahim-ishak-1,A. Rahim Ishak,People’s Action Party,http://www.parliament.gov.sg/sites/default/files/rahimishak.gif,1,,http://www.parliament.gov.sg/history/1st-parliament
a.p.-rajah-1,A.P. Rajah,Independent Singapore Party Alliance,http://www.parliament.gov.sg/sites/default/files/aprajah.gif,1,,http://www.parliament.gov.sg/history/1st-parliament
abdul-aziz-karim-2,Abdul Aziz Karim,People’s Action Party,http://www.parliament.gov.sg/sites/default/files/abdulazizkarim.gif,3,,http://www.parliament.gov.sg/history/3rd-parliament
abdul-aziz-karim-2,Abdul Aziz Karim,People’s Action Party,http://www.parliament.gov.sg/sites/default/files/abdulazizkarim.gif,2,,http://www.parliament.gov.sg/history/2nd-parliament
ahmad-mattar-3,Ahmad Mattar,People’s Action Party,http://www.parliament.gov.sg/sites/default/files/anmadmattar.gif,3,,http://www.parliament.gov.sg/history/3rd-parliament
ang-kok-peng-3,Ang Kok Peng,People’s Action Party,http://www.parliament.gov.sg/sites/default/files/angkokpeng.gif,3,,http://www.parliament.gov.sg/history/3rd-parliament
ang-nam-piau-1,Ang Nam Piau,People’s Action Party,http://www.parliament.gov.sg/sites/default/files/angnampiau.gif,3,,http://www.parliament.gov.sg/history/3rd-parliament
ang-nam-piau-1,Ang Nam Piau,People’s Action Party,http://www.parliament.gov.sg/sites/default/files/angnampiau.gif,2,,http://www.parliament.gov.sg/history/2nd-parliament
ang-nam-piau-1,Ang Nam Piau,People’s Action Party,http://www.parliament.gov.sg/sites/default/files/angnampiau.gif,1,,http://www.parliament.gov.sg/history/1st-parliament
"bani,-s.t.-1","Bani, S.T.",Barisan Sosialis,http://www.parliament.gov.sg/sites/default/files/stbani.gif,1,,http://www.parliament.gov.sg/history/1st-parliament
"barker,-e.w.-1","Barker, E.W.",People’s Action Party,http://www.parliament.gov.sg/sites/default/files/barkerew.gif,3,,http://www.parliament.gov.sg/history/3rd-parliament
"barker,-e.w.-1","Barker, E.W.",People’s Action Party,http://www.parliament.gov.sg/sites/default/files/barkerew.gif,2,,http://www.parliament.gov.sg/history/2nd-parliament
"barker,-e.w.-1","Barker, E.W.",People’s Action Party,http://www.parliament.gov.sg/sites/default/files/barkerew.gif,1,,http://www.parliament.gov.sg/history/1st-parliament
bernard-rodrigues-1,Bernard Rodrigues,People’s Action Party,http://www.parliament.gov.sg/sites/default/files/rodriguesbernard.gif,1,,http://www.parliament.gov.sg/history/1st-parliament
buang-bin-omar-junid-1,Buang Bin Omar Junid,People’s Action Party,http://www.parliament.gov.sg/sites/default/files/buangbinomarjunid.gif,2,,http://www.parliament.gov.sg/history/2nd-parliament
buang-bin-omar-junid-1,Buang Bin Omar Junid,People’s Action Party,http://www.parliament.gov.sg/sites/default/files/buangbinomarjunid.gif,1,,http://www.parliament.gov.sg/history/1st-parliament
ch'ng-jit-koon-2,Ch'ng Jit Koon,People’s Action Party,http://www.parliament.gov.sg/sites/default/files/chngjitkoon.gif,3,,http://www.parliament.gov.sg/history/3rd-parliament
ch'ng-jit-koon-2,Ch'ng Jit Koon,People’s Action Party,http://www.parliament.gov.sg/sites/default/files/chngjitkoon.gif,2,,http://www.parliament.gov.sg/history/2nd-parliament
chai-chong-yii-3,Chai Chong Yii,People’s Action Party,http://www.parliament.gov.sg/sites/default/files/chaichongyii.gif,3,,http://www.parliament.gov.sg/history/3rd-parliament
chan-chee-seng-1,Chan Chee Seng,People’s Action Party,http://www.parliament.gov.sg/sites/default/files/chancheeseng.gif,3,,http://www.parliament.gov.sg/history/3rd-parliament
chan-chee-seng-1,Chan Chee Seng,People’s Action Party,http://www.parliament.gov.sg/sites/default/files/chancheeseng.gif,2,,http://www.parliament.gov.sg/history/2nd-parliament
chan-chee-seng-1,Chan Chee Seng,People’s Action Party,http://www.parliament.gov.sg/sites/default/files/chancheeseng.gif,1,,http://www.parliament.gov.sg/history/1st-parliament
chan-choy-siong-1,Chan Choy Siong,People’s Action Party,http://www.parliament.gov.sg/sites/default/files/chanchoysiong.gif,2,,http://www.parliament.gov.sg/history/2nd-parliament
chan-choy-siong-1,Chan Choy Siong,People’s Action Party,http://www.parliament.gov.sg/sites/default/files/chanchoysiong.gif,1,,http://www.parliament.gov.sg/history/1st-parliament
