id,name,party,party_id,area,executive,term,source
283,Carlos Tavares Rodrigues,"","","","",8,Informa_Dep.aspx?CodDeputado=283
233,David Lima Gomes,MPD,MPD,Brava,"",8,Informa_Dep.aspx?CodDeputado=233
282,Felisberto Alves Vieira,PAICV,PAICV,Santiago Sul,"",8,Informa_Dep.aspx?CodDeputado=282
230,Filipe Baptista Gomes Furtado,MPD,MPD,Santiago Norte,"",8,Informa_Dep.aspx?CodDeputado=230
