id,position,label,description,start_date,term,constituency,end_date,replaces,replaced_by,election,of,party
Q10970911,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-259 (Quetta),,,,,,
Q13139153,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-125 (Lahore-VIII),,,,,,
Q134068,Q1837955,"Chief Minister of Punjab, Pakistan","",1985-04-09,,,1990-08-13,Sadiq Hussain Qureshi,Ghulam Haider Wyne,,,
Q134068,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-120 (Lahore-III),2017-07-28,,,,,
Q134068,Q5251233,Defence Minister of Pakistan,"",2013-06-07,,,2013-11-27,Mir Hazar Khan Khoso,Khawaja Muhammad Asif,,,
Q134068,Q5449546,Finance Minister of Pakistan,"",1993-08-06,,,1998-11-07,Sartaj Aziz,Ishaq Dar,,,
Q134068,Q6508554,Leader of the Opposition,parliamentary position in Pakistan,1993-10-19,,,1996-11-05,Benazir Bhutto,Benazir Bhutto,,,
Q134068,Q735575,Prime Minister of Pakistan,position,1990-11-06,,,1993-04-18,Ghulam Mustafa Jatoi,Moeenuddin Ahmad Qureshi,,,
Q134068,Q735575,Prime Minister of Pakistan,position,1997-02-17,,,1999-10-12,Malik Meraj Khalid,Zafarullah Khan Jamali,,,
Q134068,Q735575,Prime Minister of Pakistan,position,2013-06-05,,,2017-07-28,Mir Hazar Khan Khoso,Shahid Khaqan Abbasi,,,
Q1347631,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-08-30,14th National Assembly,NA-1 (Peshawar-I),,,,,,
Q13534583,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q13534583,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2015-11-06,14th National Assembly,NA-122 (Lahore-V),,,,,,
Q1393209,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q1393209,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2008-11-03,14th National Assembly,NA-218 (Matiari-cum-Hyderabad),2013-03-16,,,,,
Q140144,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-266 (Nasirabad-cum-Jaffarabad),,,,,,
Q140144,Q3695530,Chief Minister of Balochistan,"",1996-11-09,,,1997-02-22,Zulfikar Ali Magsi,Muhammad Akhter Mengal,,,
Q140144,Q735575,Prime Minister of Pakistan,position,2002-11-21,,,2004-06-26,,Chaudhry Shujaat Hussain,,,
Q140144,Q735575,Prime Minister of Pakistan,position,2002-11-23,,,2004-06-26,Pervez Musharraf,Chaudhry Shujaat Hussain,,,
Q1521977,Q20760546,Member of the National Assembly of Pakistan,"","",11th National Assembly,,,,,,,
Q1521977,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-09-16,14th National Assembly,NA-177 (Muzaffargarh-II),,,,,,
Q1543422,Q20760546,Member of the National Assembly of Pakistan,"","",15th National Assembly,NA-156 Multan-III,,,,,,
Q1543422,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-03,14th National Assembly,NA-150 (Multan-III),,,,,,
Q155164,Q140686,chairperson,"highest officer of an organized group such as a board, a committee, or a deliberative assembly",1996-04-25,,,,,,,Pakistan Tehreek-e-Insaf,
Q155164,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-05-11,,NA-56 (Rawalpindi-VII),2018-05-31,Hanif Abbasi,,,,
Q155164,Q373085,chancellor,position,2005-12-07,,,2014,"Betty Lockwood, Baroness Lockwood",Kate Swann,,University of Bradford,
Q155164,Q735575,Prime Minister of Pakistan,position,2018-08-18,,,,Nasir-ul-Mulk,,,,
Q15715800,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,reserved seat for Women,,,,,,
Q15982825,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-51 (Rawalpindi-II),,,,,,
Q15983315,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q15983315,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-127 (Lahore-X),,,,,,
Q15983326,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q15983326,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-2 (Peshawar-II),,,,,,
Q15983338,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,,NA-18 (Abbottabad-II),2018-05-31,,,,,
Q15983338,Q42020037,Member of the 13th National Assembly of Pakistan,member of the Pakistani National Assembly 2008–2013,2008-03-17,,NA-18 (Abbottabad-II),2013-03-17,,,,,
Q15983338,Q5261086,Deputy Speaker of the National Assembly of Pakistan,"",2013-06-03,,,,Faisal Karim Kundi,Muhammad Qasim Khan Suri,,,
Q15983347,Q20760546,Member of the National Assembly of Pakistan,"","",,,,,,,,
Q15983347,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-151 (Multan-IV),,,,,,
Q16145575,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,reserved seat for Women,,,,,,
Q16145751,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-64 (Sargodha-I),,,,,,
Q16148268,Q20760546,Member of the National Assembly of Pakistan,"","",15th National Assembly,NA-8 Malakand,,,,,,
Q16148268,Q33512801,Member of the 14th National Assembly of Pakistan,member of the Pakistani National Assembly 2013–,2013-06-01,14th National Assembly,NA-35 (Malakand),,,,,,
