id,type,end_date,name__en,name__ur,name__ca,start_date,name__sd,name__bn
Q12323413,constituency of the National Assembly of Pakistan,2018-07-25,NA-169 (Vehari-III),حلقہ این اے۔169,,,,
Q12526290,constituency of the National Assembly of Pakistan,2018-07-25,NA-168 (Vehari-II),حلقہ این اے۔168,,,,
Q12681091,constituency of the National Assembly of Pakistan,2018-07-25,NA-167 (Vehari-I),حلقہ این اے۔167,,,,
Q12681119,constituency of the National Assembly of Pakistan,2018-07-25,NA-170 (Vehari-IV),حلقہ این اے۔170,,,,
Q12779954,constituency of the National Assembly of Pakistan,2018-07-25,NA-166 (Pakpattan-III),حلقہ این اے۔166,,,,
Q12779956,constituency of the National Assembly of Pakistan,2018-07-25,NA-165 (Pakpattan-II),حلقہ این اے۔165,,,,
Q12780048,constituency of the National Assembly of Pakistan,2018-07-25,NA-118 (Lahore-I),حلقہ این اے۔118,,,,
Q12780059,constituency of the National Assembly of Pakistan,2018-07-25,NA-119 (Lahore-II),حلقہ این اے۔119,,,,
Q12780067,constituency of the National Assembly of Pakistan,2018-07-25,NA-120 (Lahore-III),حلقہ این اے۔120,NA-120,,,
Q12780073,constituency of the National Assembly of Pakistan,2018-07-25,NA-164 (Pakpattan-I),حلقہ این اے۔164,,,,
Q12780082,constituency of the National Assembly of Pakistan,2018-07-25,NA-121 (Lahore-IV),حلقہ این اے۔121,,,,
Q12780097,constituency of the National Assembly of Pakistan,2018-07-25,NA-122 (Lahore-V),حلقہ این اے۔122,,,,
Q12780115,constituency of the National Assembly of Pakistan,2018-07-25,NA-123 (Lahore-VI),حلقہ این اے۔123,,,,
Q12780126,constituency of the National Assembly of Pakistan,2018-07-25,NA-124 (Lahore-VII),حلقہ این اے۔124,,,,
Q12780129,constituency of the National Assembly of Pakistan,2018-07-25,NA-125 (Lahore-VIII),حلقہ این اے۔125,,,,
Q12780136,constituency of the National Assembly of Pakistan,2018-07-25,NA-126 (Lahore-IX),حلقہ این اے۔126,,,,
