id,label,type
Q14565638,Prime Minister of Bangladesh,cabinet
Q17068694,Minister of Finance,cabinet
Q29383100,Minister of Science and Technology,cabinet
Q60329160,Land Minister of Bangladesh,cabinet
Q60329445,Minister of Education,cabinet
Q60329855,Minister of Health and Family Welfare,cabinet
Q60330059,Minister of Foreign Affairs,cabinet
