id,name,gender,party,party_id,constituency,source,term
1,Carvalho Muária,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,NIASSA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
2,Ana Paula Orta Cordeiro Manhique,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,NIASSA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
3,Rafael Lourenço Chande,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,NIASSA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
4,Almina Manuel Monteiro,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,NIASSA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
5,Agostinho Cosme Manje,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,NIASSA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
6,Flora Bela das Neves Caetano,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,NIASSA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
7,Carlos Sebastião,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,NIASSA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
8,Eduardo Joaquim Mulémbwè,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,CABO DELGADO,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
9,Esperança L. F. Bias,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,CABO DELGADO,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
10,Alberto Jumulate,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,CABO DELGADO,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
11,Lutsé Esperança Mirione Rumeia,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,CABO DELGADO,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
12,Alberto Jacinto Nancuta Mtukutuku,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,CABO DELGADO,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
13,Maria Bachir,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,CABO DELGADO,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
14,António Valério Kantile,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,CABO DELGADO,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
15,Justina Sambil,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,CABO DELGADO,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
16,José Mateus Muária Katupha,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,CABO DELGADO,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
17,Severina Tiago Banze,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,CABO DELGADO,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
18,Afonso Lopes Nipero,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,CABO DELGADO,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
19,Laura Maria de Jesus Amadeu,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,CABO DELGADO,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
20,Miguel Anlawe Musssa,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,CABO DELGADO,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
21,Filomena Nachaque,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,CABO DELGADO,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
22,Miguel Celestino Mpamba,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,CABO DELGADO,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
23,Ramulata Mahumudo Irache,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,CABO DELGADO,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
24,Afonso Januário Bombene,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,CABO DELGADO,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
25,Valéria José Mitilela,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,CABO DELGADO,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
26,Julieta António,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,CABO DELGADO,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
27,Filipe Chimoio Paunde,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,NAMPULA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
28,Lucília José Manuel Nota Hama,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,NAMPULA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
29,Francisco Ussene Mucanheia,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,NAMPULA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
30,Cidália Manuel Chaúque Oliveira,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,NAMPULA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
31,Abacar Chande,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,NAMPULA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
32,Dina Ali Américo,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,NAMPULA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
33,Patrício M´pagai,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,NAMPULA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
34,Lucinda Bela das Dores Impitule Malema,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,NAMPULA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
35,Eduardo Silva Nihia,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,NAMPULA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
36,Virgínia Oreste Kwavateka Gondola,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,NAMPULA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
37,Atanásio Gomes Kulyaukila,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,NAMPULA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
38,Sónia Maria Vasco Mepameia,female,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,NAMPULA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
39,Rosário Mualeia,male,BANCADA PARLAMENTAR DA FRELIMO,FRELIMO,NAMPULA,http://www.parlamento.mz/deputados/deputado/lista-alfabetica/21-deputados/629-genero,8
