statement,id,name,start_date,end_date,wikidata
Q2136698-4241e5e8-4a91-5da3-0c4a-1e2cba1bc00d,1,1st legislature of Spain,1979-03-23,1982-11-17,Q2136698
Q2785872-ccf819bb-4c6f-e55b-451e-954851f5bd9b,2,2nd legislature of Spain,1982-11-18,1986-07-14,Q2785872
Q958373-fb6e9ed0-467b-4f77-6e85-533307370982,3,3rd legislature of Spain,1986-07-15,1989-11-20,Q958373
Q3270360-3ba76484-408c-481a-d011-fb73f45ca65b,4,4th legislature of Spain,1989-11-21,1993-06-28,Q3270360
Q2542134-fb3701c9-4859-14c2-5799-5780abb55e0f,5,5th legislature of Spain,1993-06-29,1996-03-26,Q2542134
Q2219850-47514231-45aa-2449-3b49-f50aa21a932f,6,6th legislature of Spain,1996-03-27,2000-04-04,Q2219850
Q2185077-2e5b66f3-4978-c0c2-31e3-edbf64f79e9a,7,7th legislature of Spain,2000-04-05,2004-04-01,Q2185077
Q2228075-9668b383-490a-27d2-cfcd-aad4d3cc0830,8,8th legislature of Spain,2004-04-02,2008-03-31,Q2228075
Q3248397-CFC7981E-4AEC-4A3E-AA86-307593B81321,9,9th legislature of Spain,2008-04-01,2011-09-27,Q3248397
Q2498034-777710e8-4d48-2daa-5586-70241eff2a6c,10,10th legislature of Spain,2011-12-13,2015-10-27,Q2498034
Q21857364-334cf073-4d18-edba-3b90-394716e58428,11,11th legislature of Spain,2016-01-13,2016-05-03,Q21857364
Q24025404-f388f151-46d3-7464-02cb-0e227099049c,12,12th legislature of Spain,2016-07-19,"",Q24025404
