id,osm_rel,name__en
1189427,2049344,"Unknown name for relation with ID 2049344"
1189428,2049345,"Unknown name for relation with ID 2049345"
1189429,2049346,"Unknown name for relation with ID 2049346"
1189430,2049347,"Unknown name for relation with ID 2049347"
1189431,2049348,"Unknown name for relation with ID 2049348"
1189432,2084289,"Unknown name for relation with ID 2084289"
1189433,2084290,"Unknown name for relation with ID 2084290"
1189434,2084291,"Unknown name for relation with ID 2084291"
1189435,2084292,"Unknown name for relation with ID 2084292"
1189436,2084293,"Unknown name for relation with ID 2084293"
1189437,2185985,"Unknown name for relation with ID 2185985"
1189438,2186005,"Unknown name for relation with ID 2186005"
1189439,2186006,"Unknown name for relation with ID 2186006"
1189440,2186007,"Unknown name for relation with ID 2186007"
1189441,2186008,"Unknown name for relation with ID 2186008"
1189442,2186009,"Unknown name for relation with ID 2186009"
1189443,2186027,"Unknown name for relation with ID 2186027"
1189444,2186028,"Unknown name for relation with ID 2186028"
1189445,2186029,"Unknown name for relation with ID 2186029"
1189446,2186030,"Unknown name for relation with ID 2186030"
1189447,2186031,"Unknown name for relation with ID 2186031"
1189448,2186032,"Unknown name for relation with ID 2186032"
1189449,2186033,"Unknown name for relation with ID 2186033"
1189450,2186034,"Unknown name for relation with ID 2186034"
1189451,2186035,"Unknown name for relation with ID 2186035"
1189452,2186036,"Unknown name for relation with ID 2186036"
1189453,2186046,"Unknown name for relation with ID 2186046"
1189454,2186047,"Unknown name for relation with ID 2186047"
1189455,2186048,"Unknown name for relation with ID 2186048"
1189456,2186049,"Unknown name for relation with ID 2186049"
1189457,2186050,"Unknown name for relation with ID 2186050"
1189458,2186051,"Unknown name for relation with ID 2186051"
1189459,2186052,"Unknown name for relation with ID 2186052"
1189460,2186054,"Unknown name for relation with ID 2186054"
1189461,2186127,"Unknown name for relation with ID 2186127"
1189462,2186128,"Unknown name for relation with ID 2186128"
1189463,2186129,"Unknown name for relation with ID 2186129"
1189464,2186130,"Unknown name for relation with ID 2186130"
1189465,2186131,"Unknown name for relation with ID 2186131"
1189466,2186133,"Unknown name for relation with ID 2186133"
1189467,2186134,"Unknown name for relation with ID 2186134"
1189468,2186135,"Unknown name for relation with ID 2186135"
1189469,2186136,"Unknown name for relation with ID 2186136"
1189470,2186137,"Unknown name for relation with ID 2186137"
1189471,2186138,"Unknown name for relation with ID 2186138"
1189472,2186139,"Unknown name for relation with ID 2186139"
1189473,2186140,"Unknown name for relation with ID 2186140"
1189474,2186141,"Unknown name for relation with ID 2186141"
1189475,2186142,"Unknown name for relation with ID 2186142"
1189476,2186143,"Unknown name for relation with ID 2186143"
1189477,2186144,"Unknown name for relation with ID 2186144"
1189478,2186145,"Unknown name for relation with ID 2186145"
1189479,2186146,"Unknown name for relation with ID 2186146"
1189480,2186147,"Unknown name for relation with ID 2186147"
1189481,2186148,"Unknown name for relation with ID 2186148"
1189482,2186150,"Unknown name for relation with ID 2186150"
1189483,2186151,"Unknown name for relation with ID 2186151"
1189484,2186152,"Unknown name for relation with ID 2186152"
1189485,2186153,"Unknown name for relation with ID 2186153"
1189486,2186154,"Unknown name for relation with ID 2186154"
1189487,2186155,"Unknown name for relation with ID 2186155"
1189488,2186156,"Unknown name for relation with ID 2186156"
1189489,2186157,"Unknown name for relation with ID 2186157"
1189490,2186158,"Unknown name for relation with ID 2186158"
1189491,2186159,"Unknown name for relation with ID 2186159"
1189492,2186160,"Unknown name for relation with ID 2186160"
1189493,2186161,"Unknown name for relation with ID 2186161"
1189494,2186182,"Unknown name for relation with ID 2186182"
1189495,2186183,"Unknown name for relation with ID 2186183"
1189496,2186184,"Unknown name for relation with ID 2186184"
1189497,2186185,"Unknown name for relation with ID 2186185"
1189498,2186186,"Unknown name for relation with ID 2186186"
1189499,2186187,"Unknown name for relation with ID 2186187"
1189500,2186188,"Unknown name for relation with ID 2186188"
1189501,2186189,"Unknown name for relation with ID 2186189"
