name,area,party,term,source,area_id,gender,age
'Maboiketlo Maliehe,Proportional Representation,DC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,"",,
'Maneo 'Mathabo Nelly Moremoholo,Thaba-Tseka,DC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,74,female,52
'Marefuoe Alice 'Muso,Ketane,DC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,62,female,43
'Masuthang A. Taole,Mantšonyane,DC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,72,female,56
'Matebatso Doti,Lithabaneng,ABC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,36,female,62
'Mathabiseng Arcylia Phohleli,Rothe,DC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,44,female,44
Boomo Frank Sofonia,Thaba - Bosiu,ABC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,38,male,65
Chalane Cletus Phori,Qoaling,ABC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,34,male,38
Dr. Motsoahae Thabane,Abia,ABC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,37,male,75
Dr. Pakalitha B.   Mosisili,Tsoelike,DC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,71,male,69
Dr. Pontšo Susan 'Matumelo   Sekatle,Qacha's Nek,DC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,69,female,57
Habofanoe Sixtus Lehana,Khafung,ABC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,23,male,54
Halebonoe James Setsabi,Kolonyama,ABC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,18,male,38
Joang Molapo,Proportional Representation,BNP,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,"",,
Jobo Sekautu,Semena,DC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,75,male,50
Kabelo Mafura,Sebapala,DC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,66,male,63
Kamoho Joseph Moroeng,Mekaling,DC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56,59,male,45
