id,label,type
Q22979248,Minister for Employment and Learning,cabinet
Q22979263,First Minister of Northern Ireland,cabinet
Q22979268,"Minister of Enterprise, Trade and Investment",cabinet
Q23729452,deputy First Minister,cabinet
Q23773163,"Minister for Health, Social Services and Public Safety",cabinet
Q24198089,Minister for Regional Development,cabinet
Q24284762,Minister for the Environment,cabinet
Q24310329,Minister for Social Development,cabinet
Q24321666,Minister of Communities,cabinet
Q24321850,Minister for the Economy,cabinet
Q24321898,Minister for Agriculture and Rural Development,cabinet
Q24321961,"Minister of Agriculture, Environment and Rural Affairs",cabinet
Q24323272,Minister of Finance,cabinet
Q24323339,Minister of Health,cabinet
Q24323878,Minister for Infrastructure,cabinet
Q24324044,Minister of Justice,cabinet
Q6866109,Minister of Education,cabinet
Q6866132,Minister of Finance and Personnel,cabinet
Q6866174,Minister of Health and Local Government,cabinet
