id,term,image,source,name,gender,group,area_id,area
1,2003,http://www.ypwatch.org/upimages/members/1.jpg,http://www.ypwatch.org/members.php?go=member&id=1,احمد عبدالرزاق الرقيحي,male,المؤتمر الشعبي العام,1,صنعاء القديمة
2,2003,http://www.ypwatch.org/upimages/members/2.jpg,http://www.ypwatch.org/members.php?go=member&id=2,عبدالملك احمد حسن الوزير,male,المؤتمر الشعبي العام,2,صنعاء القديمة
3,2003,http://www.ypwatch.org/upimages/members/3.jpg,http://www.ypwatch.org/members.php?go=member&id=3,عبده مهدي حسن العدله,male,المؤتمر الشعبي العام,3,شعوب
4,2003,http://www.ypwatch.org/upimages/members/4.jpg,http://www.ypwatch.org/members.php?go=member&id=4,علي حسين ناصر العنسي,male,التجمع اليمني للإصلاح,4,آزال
5,2003,http://www.ypwatch.org/upimages/members/5.jpg,http://www.ypwatch.org/members.php?go=member&id=5,احمد محمد يحيى الكحلاني,male,المؤتمر الشعبي العام,5,آزال
6,2003,http://www.ypwatch.org/upimages/members/6.jpg,http://www.ypwatch.org/members.php?go=member&id=6,صالح اسماعيل محمد ابوعادل,male,المؤتمر الشعبي العام,6,الصافية
7,2003,http://www.ypwatch.org/upimages/members/7.jpg,http://www.ypwatch.org/members.php?go=member&id=7,احمد علي عبدالله السنيدار,male,المؤتمر الشعبي العام,7,الصافية
8,2003,http://www.ypwatch.org/upimages/members/8.jpg,http://www.ypwatch.org/members.php?go=member&id=8,عبدالرحمن محمد عبدالله الاكوع,male,المؤتمر الشعبي العام,8,السبعين
9,2003,http://www.ypwatch.org/upimages/members/9.jpg,http://www.ypwatch.org/members.php?go=member&id=9,عبدالله حسين عبدالله البشيري,male,المؤتمر الشعبي العام,9,الوحده
10,2003,http://www.ypwatch.org/upimages/members/10.jpg,http://www.ypwatch.org/members.php?go=member&id=10,هزاع سعد مطهر المسوري,male,التجمع اليمني للإصلاح,10,الوحده
11,2003,http://www.ypwatch.org/upimages/members/11.jpg,http://www.ypwatch.org/members.php?go=member&id=11,محمد ناصر الحزمي الإدريسي,male,التجمع اليمني للإصلاح,11,الوحده
12,2003,http://www.ypwatch.org/upimages/members/12.jpg,http://www.ypwatch.org/members.php?go=member&id=12,نجيب سعيد غانم الدبعي,male,التجمع اليمني للإصلاح,12,معين
13,2003,http://www.ypwatch.org/upimages/members/13.jpg,http://www.ypwatch.org/members.php?go=member&id=13,فؤاد محسن حسين دحابه,male,التجمع اليمني للإصلاح,13,التحرير
14,2003,http://www.ypwatch.org/upimages/members/14.jpg,http://www.ypwatch.org/members.php?go=member&id=14,عبدالملك عبدالله حسن القصوص,male,التجمع اليمني للإصلاح,14,التحرير
15,2003,http://www.ypwatch.org/upimages/members/15.jpg,http://www.ypwatch.org/members.php?go=member&id=15,صالح عبدالله علي السنباني,male,التجمع اليمني للإصلاح,15,معين
16,2003,http://www.ypwatch.org/upimages/members/16.jpg,http://www.ypwatch.org/members.php?go=member&id=16,غالب عبدالكافي حميد القرشي,male,التجمع اليمني للإصلاح,16,الثورة
17,2003,http://www.ypwatch.org/upimages/members/17.jpg,http://www.ypwatch.org/members.php?go=member&id=17,محمد عبداللاه محمد القاضي,male,"",17,الثورة
18,2003,http://www.ypwatch.org/upimages/members/18.jpg,http://www.ypwatch.org/members.php?go=member&id=18,احمد هادي محمد الشقذه الصريمي,male,التجمع اليمني للإصلاح,18,شعوب
19,2003,http://www.ypwatch.org/upimages/members/19.jpg,http://www.ypwatch.org/members.php?go=member&id=19,زيد علي حميد الشامي,male,التجمع اليمني للإصلاح,19,الروضه
20,2003,http://www.ypwatch.org/upimages/members/20.jpg,http://www.ypwatch.org/members.php?go=member&id=20,انصاف علي محمد مايو,male,التجمع اليمني للإصلاح,20,صيره
21,2003,http://www.ypwatch.org/upimages/members/21.jpg,http://www.ypwatch.org/members.php?go=member&id=21,سهيل محمد عبدالرزاق عبدالمجيد,male,التجمع اليمني للإصلاح,21,صيره
22,2003,http://www.ypwatch.org/upimages/members/22.jpg,http://www.ypwatch.org/members.php?go=member&id=22,اوراس سلطان ناجي محمد ناجي,female,المؤتمر الشعبي العام,22,خور مكسر
23,2003,http://www.ypwatch.org/upimages/members/23.jpg,http://www.ypwatch.org/members.php?go=member&id=23,فؤاد محمد عبد الكريم محمد,male,مستقل,23,التواهي
24,2003,http://www.ypwatch.org/upimages/members/24.jpg,http://www.ypwatch.org/members.php?go=member&id=24,عبدالجبار عوض سعيد عمر,male,مستقل,24,المعلاء
25,2003,http://www.ypwatch.org/upimages/members/25.jpg,http://www.ypwatch.org/members.php?go=member&id=25,مهدي علي عبدالسلام عبدالله,male,المؤتمر الشعبي العام,25,المنصورة
26,2003,http://www.ypwatch.org/upimages/members/26.jpg,http://www.ypwatch.org/members.php?go=member&id=26,محمد قاسم محمد النقيب,male,مستقل,26,المنصورة
27,2003,http://www.ypwatch.org/upimages/members/27.jpg,http://www.ypwatch.org/members.php?go=member&id=27,محمد صالح علي القباطي,male,الحزب الاشتراكي اليمني,27,الشيخ عثمان
28,2003,http://www.ypwatch.org/upimages/members/28.jpg,http://www.ypwatch.org/members.php?go=member&id=28,عبدالباري عبدالله دغيش عبدالله,male,مستقل,28,دار سعد
29,2003,http://www.ypwatch.org/upimages/members/29.jpg,http://www.ypwatch.org/members.php?go=member&id=29,عبدالخالق عبده احمد البركاني,male,المؤتمر الشعبي العام,29,البريقه
30,2003,http://www.ypwatch.org/upimages/members/30.jpg,http://www.ypwatch.org/members.php?go=member&id=30,شوقي عبدالرقيب شمسان القاضي,male,التجمع اليمني للإصلاح,30,المظفر
31,2003,http://www.ypwatch.org/upimages/members/31.jpg,http://www.ypwatch.org/members.php?go=member&id=31,سمير خيري محمد علي رضا,male,المؤتمر الشعبي العام,31,المظفر
32,2003,http://www.ypwatch.org/upimages/members/32.jpg,http://www.ypwatch.org/members.php?go=member&id=32,عبدالكريم شرف محسن شيبان,male,التجمع اليمني للإصلاح,32,القاهرة
