id,label,type
Q12755495,Minister of Defence,cabinet
Q12908633,Minister of the Interior,cabinet
Q12908643,Minister of Education and Science,cabinet
Q12908644,Minister of Finance,cabinet
Q1776220,Prime Minister of North Macedonia,cabinet
Q20556633,Minister of Culture,cabinet
Q20556639,Minister of Justice,cabinet
Q31360810,Minister of Transport and Communications,cabinet
Q31360815,Minister of Information Society and Administration,cabinet
Q31360817,Minister of Health,cabinet
Q31360865,Minister of Labor and Social Policy,cabinet
Q31360868,"Minister of Agriculture, Forestry and Water Management",cabinet
Q31360872,Minister of the Environment and Physical Planning,cabinet
Q31360874,Minister of Local Self-Government,cabinet
Q61867156,Minister of Foreign Affairs,cabinet
