id,name,position_id,position,label,start_date,end_date,ordinal
Q1101406,Erling Olsen,Q1101406-ed9ef6eb-4997-6012-9ea5-e72f4646e4a7,Q6317024,Justice Minister of Denmark,1993-03-29,1994-09-27,0
Q11126408,Knud Enggaard,Q11126408-0C77B266-E119-4F5C-B287-E384C3487AE9,Q1815344,Defence Minister of Denmark,1988-06-03,1993-01-25,0
Q11126408,Knud Enggaard,Q11126408-BA50A586-1C41-4BBE-A75A-E73893677E5C,Q5449541,Finance Minister of Denmark,"","",0
Q113921,Frank Jensen,Q113921-3cd9dee8-4d84-5224-7610-974e388410dd,Q6317024,Justice Minister of Denmark,1996-12-30,2001-11-27,0
Q11989087,Merete Riisager,Q11989087-897c36ad-4613-540f-3389-83a1e44231f9,Q4018482,education minister,2016-11-28,"",0
Q11989208,Mette Bock,Q11989208-6da32bd0-4cee-8f4e-4fb3-642550fee33a,Q27923963,Culture Minister of Denmark,2016-11-28,"",0
Q11989208,Mette Bock,Q11989208-7d47d37c-46a4-4e3c-0846-654ac82f06dc,Q6865812,Minister for Ecclesiastical Affairs of Denmark,2016-11-28,"",0
Q12004862,Søren Pape Poulsen,Q12004862-81ecd346-4823-78d0-dd2c-533f95695bd5,Q17763739,justice minister,"","",0
Q12305484,Carsten Koch,Q12305484-F64BA1D6-80C5-46FE-9B51-D83F71DDD53F,Q18913275,Minister for Health,1998-03-23,2000-02-23,0
Q12305868,Christian Christensen,Q12305868-F381010F-3A42-4673-B952-05C6A363372B,Q1311756,Minister for the Environment,1982-09-10,1987-09-10,0
Q12309819,Ellen Trane Nørby,Q12309819-b3faaa62-4787-4afd-5009-e4d652d0dc70,Q18913275,Minister for Health,2016-11-28,"",0
Q12309819,Ellen Trane Nørby,Q12309819-8844d843-4437-ae7c-7b5c-b2a489958eec,Q5340905,Minister of Education,2015-06-28,2016-11-28,0
Q12310565,Esben Lunde Larsen,Q12310565-5c2f18ea-4a73-713d-8c65-0c2e79b5ec8f,Q12312037,Education and Research Minister,2015-06-28,2016-02-29,0
Q12310565,Esben Lunde Larsen,Q12310565-F9E9595F-967A-454E-BD05-06C68614258D,Q1311756,Minister for the Environment,2016-02-29,2018-05-02,0
Q12314865,H. P. Clausen,Q12314865-20d17e94-49f1-29db-70c0-bec6693e8552,Q6317024,Justice Minister of Denmark,1989-01-10,1989-10-03,0
Q12316220,Henning Dyremose,Q12316220-1691B827-C8C6-40BB-8CE1-B42967473813,Q5449541,Finance Minister of Denmark,"","",0
Q12316446,Henrik Sass Larsen,Q12316446-7cd17100-4cb6-ed23-a63d-cc9c442e6a85,Q12310252,Danish Minister for Commerce,"","",0
Q12316505,Henry Grünbaum,Q12316505-5ADB5FA1-2CD6-4876-98DE-F2B6D1261BF7,Q5449541,Finance Minister of Denmark,"","",0
Q12318947,Jakob Ellemann-Jensen,Q12318947-51137080-CDDE-46BD-9B7E-3EE61C615598,Q1311756,Minister for the Environment,2018-05-02,"",0
Q12319348,Jens Kampmann,Q12319348-D40CD582-9E09-4218-8774-1095D2A0169B,Q1311756,Minister for the Environment,1971-10-11,1973-09-27,0
Q12321379,Karl Hjortnæs,Q12321379-f6ca2690-4d65-c02e-bb7f-b0cda97a4f43,Q6317024,Justice Minister of Denmark,1973-09-27,1973-12-19,0
Q12321950,Kirsten Brosbøl,Q12321950-6b92a802-4380-7bae-6055-143c3fc35686,Q1311756,Minister for the Environment,2014-02-02,2015-06-28,0
Q12322307,Knud Heinesen,Q12322307-D31CAC27-FD1B-4A0E-9693-8BD9D0230095,Q5449541,Finance Minister of Denmark,"","",0
Q12325727,Magnus Heunicke,Q12325727-e4992791-4876-e862-2cf4-dfda2d2835be,Q20069142,Danish Minister of Transport,"","",0
Q12325752,Mai Mercado,Q12325752-2086dec2-4b7c-cfe6-865a-3a88ac4439a8,Q3273722,health minister,2016-11-28,"",0
Q12328853,Niels Matthiasen,Q12328853-F9FCB2C3-3999-4E24-A7A5-CC3D71352DEB,Q1311756,Minister for the Environment,1977-02-26,1978-08-30,0
Q12330451,Orla Møller,Q12330451-e37d7c02-4a72-c6b8-5f7d-d03fa609dc02,Q1815344,Defence Minister of Denmark,1973-09-27,1973-12-19,0
Q12330451,Orla Møller,Q12330451-548AC18F-338B-43A2-98E4-AD3EEE45CAC9,Q1815344,Defence Minister of Denmark,1975-02-13,1977-10-01,0
Q12330451,Orla Møller,Q12330451-c0bb1629-4f61-99fc-c959-721e4f4d3911,Q6317024,Justice Minister of Denmark,1975-02-13,1977-10-01,0
Q12330884,Palle Simonsen,Q12330884-86D4D3D6-4854-4262-8954-65270407001D,Q5449541,Finance Minister of Denmark,"","",0
