name,image,faction,term
Balthazar SEYDOUX,http://www.conseil-national.mc/images/les-elus/elus-2018-2023/balthazar-seydoux-fornier-de-clausonne.jpg,Primo! (Priorité Monaco),2018
Brigitte BOCCONE-PAGES,http://www.conseil-national.mc/images/les-elus/elus-2018-2023/brigitte-boccone-pages.jpg,Primo! (Priorité Monaco),2018
Béatrice FRESKO-ROLFO,http://www.conseil-national.mc/images/les-elus/elus-2018-2023/beatrice-fresko-rolfo.jpg,HM Horizon Monaco,2018
Christophe ROBINO,http://www.conseil-national.mc/images/les-elus/elus-2018-2023/christophe-robino.jpg,Primo! (Priorité Monaco),2018
Corinne BERTANI,http://www.conseil-national.mc/images/les-elus/elus-2018-2023/corinne-bertani.jpg,Primo! (Priorité Monaco),2018
Daniel BOERI,http://www.conseil-national.mc/images/les-elus/elus-2018-2023/daniel-boeri.jpg,Primo! (Priorité Monaco),2018
Fabrice NOTARI,http://www.conseil-national.mc/images/les-elus/elus-2018-2023/fabrice-notari.jpg,Primo! (Priorité Monaco),2018
Franck JULIEN,http://www.conseil-national.mc/images/les-elus/elus-2018-2023/franck-julien.jpg,Primo! (Priorité Monaco),2018
Franck LOBONO,http://www.conseil-national.mc/images/les-elus/elus-2018-2023/franck-lobono.jpg,Primo! (Priorité Monaco),2018
Guillaume ROSE,http://www.conseil-national.mc/images/les-elus/elus-2018-2023/guillaume-rose.jpg,Primo! (Priorité Monaco),2018
Jacques RIT,http://www.conseil-national.mc/images/les-elus/elus-2018-2023/jacques-rit.jpg,HM Horizon Monaco,2018
Jean-Charles EMMERICH,http://www.conseil-national.mc/images/les-elus/elus-2018-2023/jean-charles-emmerich.jpg,Primo! (Priorité Monaco),2018
Jean-Louis GRINDA,http://www.conseil-national.mc/images/les-elus/elus-2018-2023/jean-louis-grinda.jpg,UM Union Monégasque,2018
José BADIA,http://www.conseil-national.mc/images/les-elus/elus-2018-2023/jose-badia.jpg,Primo! (Priorité Monaco),2018
Karen ALIPRENDI-DE CARVALHO,http://www.conseil-national.mc/images/les-elus/elus-2018-2023/karen-aliprendi-de-carvalho.jpg,Primo! (Priorité Monaco),2018
Marc MOUROU,http://www.conseil-national.mc/images/les-elus/elus-2018-2023/marc-mourou.jpg,Primo! (Priorité Monaco),2018
Marie-Noëlle GIBELLI,http://www.conseil-national.mc/images/les-elus/elus-2018-2023/marie-noelle-gibelli.jpg,Primo! (Priorité Monaco),2018
Marine GRISOUL,http://www.conseil-national.mc/images/les-elus/elus-2018-2023/marine-grisoul.jpg,Primo! (Priorité Monaco),2018
Michèle DITTLOT,http://www.conseil-national.mc/images/les-elus/elus-2018-2023/michele-dittlot.jpg,Primo! (Priorité Monaco),2018
Nathalie AMORATTI-BLANC,http://www.conseil-national.mc/images/les-elus/elus-2018-2023/nathalie-amoratti-blanc.jpg,Primo! (Priorité Monaco),2018
Pierre BARDY,http://www.conseil-national.mc/images/les-elus/elus-2018-2023/pierre-bardy.jpg,Primo! (Priorité Monaco),2018
Pierre VAN KLAVEREN,http://www.conseil-national.mc/images/les-elus/elus-2018-2023/pierre-van-klaveren.jpg,Primo! (Priorité Monaco),2018
Stéphane VALERI,http://www.conseil-national.mc/images/les-elus/elus-2018-2023/stephane-valeri.jpg,Primo! (Priorité Monaco),2018
Thomas BREZZO,http://www.conseil-national.mc/images/les-elus/elus-2018-2023/thomas-brezzo.jpg,Primo! (Priorité Monaco),2018
