name,area,party
Atoloto Kolokilagi,"Hihifo, Wallis",Groupe RPWF-Les Républicains
David Vergé,"Hahake, Wallis",Non-inscrits divers droite
Frédéric Baudry,"Alo, Futuna",Non-inscrits divers gauche
Lafaele Tukumuli,"Alo, Futuna",Non-inscrits divers gauche
Lavinia Tagane,"Hahake, Wallis",Non-inscrits divers droite
Marie-Louise Selui,"M'ua, Wallis",Groupe « Ensemble pour un avenir meilleur » divers centre ou centre-gauche
Mikaele Kulimoetoke,"Hahake, Wallis",Non-inscrits divers gauche
Mikaele Seo,"M'ua, Wallis",Non-inscrits divers gauche
Mireille Laufilitoga,"M'ua, Wallis",Non-inscrits divers droite
Munipoese Muliakaaka,"M'ua, Wallis",Non-inscrits divers gauche
Napole Polutélé,"M'ua, Wallis",Groupe « Ensemble pour un avenir meilleur » divers centre ou centre-gauche
Nivaleta Iloai,"Hihifo, Wallis",Groupe USPWF
Savelina Vea,"Sigave, Futuna",Groupe USPWF
Soane-Paulo Mailagi,"Hihifo, Wallis",Groupe « Ensemble pour un avenir meilleur » divers centre ou centre-gauche
Sylvain Brial,"Sigave, Futuna",Non-inscrits divers gauche
Toma Savea,"Alo, Futuna",Groupe RPWF-Les Républicains
Tui Asoa Sosefo Motuku,"Alo, Futuna",Groupe centriste
Tui Mata Utu André Vaitotai,"Hahake, Wallis",Groupe RPWF-Les Républicains
Tuliano Talomafaia,"Sigave, Futuna",Non-inscrits divers gauche
Yannick Feleu,"M'ua, Wallis",Groupe RPWF-Les Républicains
