id,name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
abang_abu_bakar_abang_mustapha,Abang Abu Bakar Abang Mustapha,,,,Parti Pesaka Bumiputera Bersatu,PBB,P167-8,"Kuala Rajang, Sarawak",Dewan Rakyat,8,,,,
abdol_mulok_awang_damit,Abdol Mulok Awang Damit,,,,United Malays National Organisation,UMNO,P133-8,"Labuan, Federal Territory of Labuan",Dewan Rakyat,8,,,,
abdul_ajib_ahmad,Abdul Ajib Ahmad,,,,United Malays National Organisation,UMNO,P119-8,"Mersing, Johor",Dewan Rakyat,8,,,,
daim_zainuddin,Abdul Daim Zainuddin,,,,United Malays National Organisation,UMNO,P011-8,"Merbok, Kedah",Dewan Rakyat,8,,,,male
ghafar_baba,Abdul Ghafar Baba,,,,United Malays National Organisation,UMNO,P114-8,"Jasin, Malacca",Dewan Rakyat,8,,,,male
abdul_ghani_othman,Abdul Ghani Othman,,,,United Malays National Organisation,UMNO,P116-8,"Ledang, Johor",Dewan Rakyat,8,,,,male
abdul_hadi_awang,Abdul Hadi Awang,,,,Pan-Malaysian Islamic Party,PAS,P034-8,"Marang, Terengganu",Dewan Rakyat,8,,,https://upload.wikimedia.org/wikipedia/commons/0/00/Tuan_Guru_Dato'_Seri_Haji_Abdul_Hadi_Awang.jpg,male
abdul_hamid_abdul_rahman,Abdul Hamid Abdul Rahman,,,,United Malays National Organisation,UMNO,P126-8,"Sungai Benut, Johor",Dewan Rakyat,8,,,,
abdul_hamid_othman,Abdul Hamid Othman,,,,United Malays National Organisation,UMNO,P012-8,"Sik, Kedah",Dewan Rakyat,8,,,,
abdul_kadir_sheikh_fadzir,Abdul Kadir Sheikh Fadzir,,,,United Malays National Organisation,UMNO,P016-8,"Kulim-Bandar Baharu, Kedah",Dewan Rakyat,8,,,,
abdul_malek_munip,Abdul Malek Munip,,,,United Malays National Organisation,UMNO,P123-8,"Muar, Johor",Dewan Rakyat,8,,,,
abdul_manan_othman,Abdul Manan Othman,,,,Semangat 46,S46,P033-8,"Kuala Terengganu, Terengganu",Dewan Rakyat,8,,,,
abdul_rahman_sulaiman_(politician),Abdul Rahman Sulaiman,,,,United Malays National Organisation,UMNO,P051-8,"Parit Buntar, Perak",Dewan Rakyat,8,,,,
abdul_rashid_muhammad,Abdul Rashid Muhammad,,,,United Malays National Organisation,UMNO,P032-8,"Kuala Nerus, Terengganu",Dewan Rakyat,8,,,,
