id,name,email,twitter,group,group_id,area,chamber,term,start_date,end_date,image,gender
kong_cho_ha,Kong Cho Ha,,,Malayan Chinese Association,MCA,"Lumut, Perak",Dewan Rakyat,11,,,https://upload.wikimedia.org/wikipedia/commons/d/de/Kong_Cho_Ha.png,male
lau_yeng_peng,Lau Yeng Peng,,,Parti Gerakan Rakyat Malaysia,Gerakan,"Puchong, Selangor",Dewan Rakyat,11,,,,
law_hieng_ding,Law Hieng Ding,,,Sarawak United Peoples' Party,SUPP,"Sarikei, Sarawak",Dewan Rakyat,11,,,,
lee_kah_choon,Lee Kah Choon,,,Parti Gerakan Rakyat Malaysia,Gerakan,"Jelutong, Penang",Dewan Rakyat,11,,,,
leo_michael_toyad,Leo Michael Toyad,,,Parti Pesaka Bumiputera Bersatu,PBB,"Mukah, Sarawak",Dewan Rakyat,11,,,,male
lim_bee_kau,Lim Bee Kau,,,Malayan Chinese Association,MCA,"Padang Serai, Kedah",Dewan Rakyat,11,,,,
lim_hock_seng,Lim Hock Seng,,,Democratic Action Party,DAP,"Bagan, Penang",Dewan Rakyat,11,,,,
lim_keng_yaik,Lim Keng Yaik,,,Parti Gerakan Rakyat Malaysia,Gerakan,"Beruas, Perak",Dewan Rakyat,11,,,,male
lim_kit_siang,Lim Kit Siang,,,Democratic Action Party,DAP,"Ipoh Timor, Perak",Dewan Rakyat,11,,,,male
lim_si_cheng,Lim Si Cheng,,,Malayan Chinese Association,MCA,"Kulai, Johor",Dewan Rakyat,11,,,,
liow_tiong_lai,Liow Tiong Lai,,,Malayan Chinese Association,MCA,"Bentong, Pahang",Dewan Rakyat,11,,,,male
loh_seng_kok,Loh Seng Kok,,,Malayan Chinese Association,MCA,"Kelana Jaya, Selangor",Dewan Rakyat,11,,,,
loke_yuen_yow,Loke Yuen Yow,,,Malayan Chinese Association,MCA,"Tanjong Malim, Perak",Dewan Rakyat,11,,,,
m._kayveas,M. Kayveas,,,People's Progressive Party,PPP,"Taiping, Perak",Dewan Rakyat,11,,,,male
m._kulasegaran,M. Kulasegaran,,,Democratic Action Party,DAP,"Ipoh Barat, Perak",Dewan Rakyat,11,,,,male
mah_siew_keong,Mah Siew Keong,,,Parti Gerakan Rakyat Malaysia,Gerakan,"Telok Intan, Perak",Dewan Rakyat,11,,,,
mahadzir_mohd_khir,Mahadzir Mohd Khir,,,United Malays National Organisation,UMNO,"Sungai Petani, Kedah",Dewan Rakyat,11,,,,
marcus_mojigoh,Marcus Mojigoh,,,United Pasokmomogun Kadazandusun Murut Organisation,UPKO,"Putatan, Sabah",Dewan Rakyat,11,,,,male
markiman_kobiran,Markiman Kobiran,,,United Malays National Organisation,UMNO,"Hulu Langat, Selangor",Dewan Rakyat,11,,,,
mashitah_ibrahim,Mashitah Ibrahim,,,United Malays National Organisation,UMNO,"Baling, Kedah",Dewan Rakyat,11,,,,
mat_yasir_ikhsan,Mat Yasir Ikhsan,,,United Malays National Organisation,UMNO,"Sabak Bernam, Selangor",Dewan Rakyat,11,,,,
maximus_ongkili,Maximus Johnity Ongkili,,,Parti Bersatu Sabah,PBS,"Kota Marudu, Sabah",Dewan Rakyat,11,,,,male
md_alwi_che_ahmad,Md Alwi Che Ahmad,,,United Malays National Organisation,UMNO,"Ketereh, Kelantan",Dewan Rakyat,11,,,,
mohamad_aziz,Mohamad Aziz,,,United Malays National Organisation,UMNO,"Sri Gading, Johor",Dewan Rakyat,11,,,,male
mohamed_khaled_nordin,Mohamed Khaled Nordin,,,United Malays National Organisation,UMNO,"Pasir Gudang, Johor",Dewan Rakyat,11,,,,male
mohamed_nazri_abdul_aziz,Mohamed Nazri Abdul Aziz,,,United Malays National Organisation,UMNO,"Padang Rengas, Perak",Dewan Rakyat,11,,,,male
mohamed_razali_che_mamat,Mohamed Razali Che Mamat,,,United Malays National Organisation,UMNO,"Kuala Krai, Kelantan",Dewan Rakyat,11,,,,
mohd_daud_tarihep,Mohd Daud Tarihep,,,United Malays National Organisation,UMNO,"Kuala Selangor, Selangor",Dewan Rakyat,11,,,,
mohd_hayati_othman,Mohd Hayati Othman,,,Pan-Malaysian Islamic Party,PAS,"Pendang, Kedah",Dewan Rakyat,11,,,,male
mohd_johari_baharum,Mohd Johari Baharum,,,United Malays National Organisation,UMNO,"Kubang Pasu, Kedah",Dewan Rakyat,11,,,,male
mohd_radzi_sheikh_ahmad,Mohd Radzi Sheikh Ahmad,,,United Malays National Organisation,UMNO,"Kangar, Perlis",Dewan Rakyat,11,,,,male
mohd_ruddin_ab_ghani,Mohd Ruddin Ab Ghani,,,United Malays National Organisation,UMNO,"Bukit Katil, Malacca",Dewan Rakyat,11,,,,
mohd_said_yusof,Mohd Said Yusof,,,United Malays National Organisation,UMNO,"Jasin, Malacca",Dewan Rakyat,11,,,,
mohd_sarit_yusoh,Mohd Sarit Yusoh,,,United Malays National Organisation,UMNO,"Temerloh, Pahang",Dewan Rakyat,11,,,,
mohd_yusop_majid,Mohd Yusop Majid,,,United Malays National Organisation,UMNO,"Setiu, Terengganu",Dewan Rakyat,11,,,,
zaid_ibrahim,Mohd Zaid Ibrahim,,,United Malays National Organisation,UMNO,"Kota Bharu, Kelantan",Dewan Rakyat,11,,,,male
mohd_zin_mohamed,Mohd Zin Mohamed,,,United Malays National Organisation,UMNO,"Sepang, Selangor",Dewan Rakyat,11,,,,male
mohd._shariff_omar,Mohd. Shariff Omar,,,United Malays National Organisation,UMNO,"Tasek Gelugor, Penang",Dewan Rakyat,11,,,,
muhamad_shahrum_osman,Muhamad Shahrum Osman,,,United Malays National Organisation,UMNO,"Lipis, Pahang",Dewan Rakyat,11,,,,
muhyiddin_yassin,Muhyiddin Yassin,,,United Malays National Organisation,UMNO,"Pagoh, Johor",Dewan Rakyat,11,,,,male
mustapa_mohamed,Mustapa Mohamed,,,United Malays National Organisation,UMNO,"Jeli, Kelantan",Dewan Rakyat,11,,,https://upload.wikimedia.org/wikipedia/commons/9/91/Mustapa_Mohamed_in_CNBC-supply_chains_-_World_Economic_Forum_on_East_Asia_2012_crop.jpg,male
najib_razak,Najib Razak,,,United Malays National Organisation,UMNO,"Pekan, Pahang",Dewan Rakyat,11,,,https://upload.wikimedia.org/wikipedia/commons/7/70/Dato_Sri_Mohd_Najib_Tun_Razak.JPG,male
nasaruddin_hashim,Nasaruddin Hashim,,,United Malays National Organisation,UMNO,"Parit, Perak",Dewan Rakyat,11,,,,
ng_lip_yong,Ng Lip Yong,,,Parti Gerakan Rakyat Malaysia,Gerakan,"Batu, Federal Territory of Kuala Lumpur",Dewan Rakyat,11,,,,
ng_yen_yen,Ng Yen Yen,,,Malayan Chinese Association,MCA,"Raub, Pahang",Dewan Rakyat,11,,,,female
noh_omar,Noh Omar,,,United Malays National Organisation,UMNO,"Tanjong Karang, Selangor",Dewan Rakyat,11,,,,male
noriah_kasnon,Noriah Kasnon,,,United Malays National Organisation,UMNO,"Sungai Besar, Selangor",Dewan Rakyat,11,,,,female
nur_jazlan_mohamed,Nur Jazlan Mohamed,,,United Malays National Organisation,UMNO,"Pulai, Johor",Dewan Rakyat,11,,,,male
ong_ka_ting,Ong Ka Ting,,,Malayan Chinese Association,MCA,"Tanjong Piai, Johor",Dewan Rakyat,11,,,,male
ong_tee_keat,Ong Tee Keat,,,Malayan Chinese Association,MCA,"Pandan, Selangor",Dewan Rakyat,11,,,https://upload.wikimedia.org/wikipedia/commons/4/46/OngTeeKeat.jpg,male
p._komala_devi,P. Komala Devi,,,Malayan Indian Congress,MIC,"Kapar, Selangor",Dewan Rakyat,11,,,,
g._palanivel,Palanivel Govindasamy,,,Malayan Indian Congress,MIC,"Hulu Selangor, Selangor",Dewan Rakyat,11,,,,male
peter_chin_fah_kui,Peter Chin Fah Kui,,,Sarawak United Peoples' Party,SUPP,"Miri, Sarawak",Dewan Rakyat,11,,,,male
rafidah_aziz,Rafidah Aziz,,,United Malays National Organisation,UMNO,"Kuala Kangsar, Perak",Dewan Rakyat,11,,,,female
rahman_ismail,Rahman Ismail,,,United Malays National Organisation,UMNO,"Gombak, Selangor",Dewan Rakyat,11,,,,male
raimi_unggi,Raimi Unggi,,,United Malays National Organisation,UMNO,"Tenom, Sabah",Dewan Rakyat,11,,,,
rais_yatim,Rais Yatim,,,United Malays National Organisation,UMNO,"Jelebu, Negeri Sembilan",Dewan Rakyat,11,,,https://upload.wikimedia.org/wikipedia/commons/9/94/Rais_Yatim_cropped.jpg,male
raja_ahmad_zainuddin_raja_omar,Raja Ahmad Zainuddin Raja Omar,,,United Malays National Organisation,UMNO,"Larut, Perak",Dewan Rakyat,11,,,,
ramli_ngah_talib,Ramli Ngah Talib,,,United Malays National Organisation,UMNO,"Pasir Salak, Perak",Dewan Rakyat,11,,,,male
razali_ibrahim,Razali Ibrahim,,,United Malays National Organisation,UMNO,"Muar, Johor",Dewan Rakyat,11,,,,male
razali_ismail,Razali Ismail,,,United Malays National Organisation,UMNO,"Kuala Terengganu, Terengganu",Dewan Rakyat,11,,,,male
richard_riot_jaem,Richard Riot Jaem,,,Sarawak United Peoples' Party,SUPP,"Serian, Sarawak",Dewan Rakyat,11,,,,male
robert_lau_hoi_chew,Robert Lau Hoi Chew,,,Sarawak United Peoples' Party,SUPP,"Sibu, Sarawak",Dewan Rakyat,11,,,,male
rohani_abdul_karim,Rohani Abdul Karim,,,Parti Pesaka Bumiputera Bersatu,PBB,"Batang Lupar, Sarawak",Dewan Rakyat,11,,,,female
ronald_kiandee,Ronald Kiandee,,,United Malays National Organisation,UMNO,"Beluran, Sabah",Dewan Rakyat,11,,,,male
rosli_mat_hassan,Rosli Mat Hassan,,,United Malays National Organisation,UMNO,"Dungun, Terengganu",Dewan Rakyat,11,,,,
rosnah_shirlin,Rosnah Abdul Rashid Shirlin,,,United Malays National Organisation,UMNO,"Papar, Sabah",Dewan Rakyat,11,,,https://upload.wikimedia.org/wikipedia/commons/d/da/Rosnah_Shirlin.jpg,female
rozaidah_talib,Rozaidah Talib,,,United Malays National Organisation,UMNO,"Ampang, Selangor",Dewan Rakyat,11,,,,
s._sothinathan,S. Sothinathan,,,Malayan Indian Congress,MIC,"Telok Kemang, Negeri Sembilan",Dewan Rakyat,11,,,,male
s._veerasingam,S. Veerasingam,,,Malayan Indian Congress,MIC,"Tapah, Perak",Dewan Rakyat,11,,,,
salahuddin_ayub,Salahuddin Ayub,,,Pan-Malaysian Islamic Party,PAS,"Kubang Kerian, Kelantan",Dewan Rakyat,11,,,,male
salleh_said_keruak,Salleh Said Keruak,,,United Malays National Organisation,UMNO,"Kota Belud, Sabah",Dewan Rakyat,11,,,,male
samsu_baharun_abdul_rahman,Samsu Baharun Abdul Rahman,,,United Malays National Organisation,UMNO,"Silam, Sabah",Dewan Rakyat,11,,,,
samy_vellu,Samy Vellu,,,Malayan Indian Congress,MIC,"Sungai Siput, Perak",Dewan Rakyat,11,,,,male
sazmi_miah,Sazmi Miah,,,United Malays National Organisation,UMNO,"Machang, Kelantan",Dewan Rakyat,11,,,,
shaari_hassan,Shaari Hassan,,,United Malays National Organisation,UMNO,"Tanah Merah, Kelantan",Dewan Rakyat,11,,,,
shafie_apdal,Shafie Apdal,,,United Malays National Organisation,UMNO,"Semporna, Sabah",Dewan Rakyat,11,,,,male
shafie_salleh,Shafie Salleh,,,United Malays National Organisation,UMNO,"Kuala Langat, Selangor",Dewan Rakyat,11,,,https://upload.wikimedia.org/wikipedia/commons/a/a9/Shafie_Salleh.jpg,male
shahrir_abdul_samad,Shahrir Abdul Samad,,,United Malays National Organisation,UMNO,"Johor Bahru, Johor",Dewan Rakyat,11,,,,male
shahrizat_abdul_jalil,Shahrizat Abdul Jalil,,,United Malays National Organisation,UMNO,"Lembah Pantai, Federal Territory of Kuala Lumpur",Dewan Rakyat,11,,,https://upload.wikimedia.org/wikipedia/commons/0/05/Kakizat2.jpg,female
shaziman_abu_mansor,Shaziman Abu Mansor,,,United Malays National Organisation,UMNO,"Tampin, Negeri Sembilan",Dewan Rakyat,11,,,,male
shim_paw_fatt,Shim Paw Fatt,,,Sabah Progressive Party,SAPP,"Tawau, Sabah",Dewan Rakyat,11,,,,
siti_zaharah_sulaiman,Siti Zaharah Sulaiman,,,United Malays National Organisation,UMNO,"Paya Besar, Pahang",Dewan Rakyat,11,,,,
subramaniam_sathasivam,Subramaniam Sathasivam,,,Malayan Indian Congress,MIC,"Segamat, Johor",Dewan Rakyat,11,,,,male
suhaili_abdul_rahman,Suhaili Abdul Rahman,,,United Malays National Organisation,UMNO,"Labuan, Federal Territory of Labuan",Dewan Rakyat,11,,,,
syed_hamid_albar,Syed Hamid Albar,,,United Malays National Organisation,UMNO,"Kota Tinggi, Johor",Dewan Rakyat,11,,,,male
syed_hood_syed_edros,Syed Hood Syed Edros,,,United Malays National Organisation,UMNO,"Parit Sulong, Johor",Dewan Rakyat,11,,,,
syed_razlan_syed_putra_jamallullail,Syed Razlan Syed Putra Jamallullail,,,United Malays National Organisation,UMNO,"Arau, Perlis",Dewan Rakyat,11,,,,
tan_ah_eng,Tan Ah Eng,,,Malayan Chinese Association,MCA,"Gelang Patah, Johor",Dewan Rakyat,11,,,,female
tan_chai_ho,Tan Chai Ho,,,Malayan Chinese Association,MCA,"Bandar Tun Razak, Federal Territory of Kuala Lumpur",Dewan Rakyat,11,,,,male
tan_kee_kwong,Tan Kee Kwong,,,Parti Gerakan Rakyat Malaysia,Gerakan,"Segambut, Federal Territory of Kuala Lumpur",Dewan Rakyat,11,,,,
tan_kok_wai,Tan Kok Wai,,,Democratic Action Party,DAP,"Cheras, Federal Territory of Kuala Lumpur",Dewan Rakyat,11,,,,male
tan_lian_hoe,Tan Lian Hoe,,,Parti Gerakan Rakyat Malaysia,Gerakan,"Bukit Gantang, Perak",Dewan Rakyat,11,,,,female
tan_seng_giaw,Tan Seng Giaw,,,Democratic Action Party,DAP,"Kepong, Federal Territory of Kuala Lumpur",Dewan Rakyat,11,,,,male
tan_yee_kew,Tan Yee Kew,,,Malayan Chinese Association,MCA,"Klang, Selangor",Dewan Rakyat,11,,,,
teng_boon_soon,Teng Boon Soon,,,Malayan Chinese Association,MCA,"Tebrau, Johor",Dewan Rakyat,11,,,,male
tengku_adnan_tengku_mansor,Tengku Adnan Tengku Mansor,,,United Malays National Organisation,UMNO,"Putrajaya, Federal Territory of Putrajaya",Dewan Rakyat,11,,,,male
tengku_azlan_sultan_abu_bakar,Tengku Azlan Sultan Abu Bakar,,,United Malays National Organisation,UMNO,"Jerantut, Pahang",Dewan Rakyat,11,,,,male
tengku_putera_tengku_awang,Tengku Putera Tengku Awang,,,United Malays National Organisation,UMNO,"Hulu Terengganu, Terengganu",Dewan Rakyat,11,,,,
tengku_razaleigh_hamzah,Tengku Razaleigh Hamzah,,,United Malays National Organisation,UMNO,"Gua Musang, Kelantan",Dewan Rakyat,11,,,,male
teresa_kok,Teresa Kok Suh Sim,,,Democratic Action Party,DAP,"Seputeh, Federal Territory of Kuala Lumpur",Dewan Rakyat,11,,,,female
tiki_lafe,Tiki Lafe,,,Parti Pesaka Bumiputera Bersatu,SPDP,"Mas Gading, Sarawak",Dewan Rakyat,11,,,,male
ting_chew_peh,Ting Chew Peh,,,Malayan Chinese Association,MCA,"Gopeng, Perak",Dewan Rakyat,11,,,,
tiong_king_sing,Tiong King Sing,,,Parti Pesaka Bumiputera Bersatu,SPDP,"Bintulu, Sarawak",Dewan Rakyat,11,,,,male
tiong_thai_king,Tiong Thai King,,,Sarawak United Peoples' Party,SUPP,"Lanang, Sarawak",Dewan Rakyat,11,,,,male
vigneswaran_m._sanasee,Vigneswaran M. Sanasee,,,Malayan Indian Congress,MIC,"Kota Raja, Selangor",Dewan Rakyat,11,,,,
wahab_dollah,Wahab Dollah,,,Parti Pesaka Bumiputera Bersatu,PBB,"Kuala Rajang, Sarawak",Dewan Rakyat,11,,,,
wan_adnan_wan_mamat,Wan Adnan Wan Mamat,,,United Malays National Organisation,UMNO,"Indera Mahkota, Pahang",Dewan Rakyat,11,,,,
