id,name,constituency,photo,party_id
243237,Senator Joe Bullock,Western Australia,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/243237/upload_ref_binary/243237.jpg,australian_labor_party
243273,Senator the Hon Anne Ruston,South Australia,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/243273/upload_ref_binary/243273.jpg,liberal_party_of_australia
244247,Senator Chris Ketter,Queensland,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/244247/upload_ref_binary/244247.jpg,australian_labor_party
245212,Senator the Hon Matthew Canavan,Queensland,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/245212/upload_ref_binary/245212.jpg,the_nationals
245759,Senator Murray Watt,Queensland,"",australian_labor_party
247871,Senator Barry O'Sullivan,Queensland,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/247871/upload_ref_binary/247871.jpg,the_nationals
249499,Senator Mehmet Tillem,Victoria,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/249499/upload_ref_binary/249499.jpg,australian_labor_party
250024,Senator Ricky Muir,Victoria,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/250024/upload_ref_binary/250024.jpg,australian_motoring_enthusiast_party
250026,Senator Jacqui Lambie,Tasmania,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/250026/upload_ref_binary/250026.jpg,jacqui_lambie_network
250045,Senator Zhenya Wang,Western Australia,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/250045/upload_ref_binary/250045.jpg,palmer_united_party
250216,Senator Linda Reynolds CSC,Western Australia,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/250216/upload_ref_binary/250216.jpg,liberal_party_of_australia
258337,Senator Joanna Lindgren,Queensland,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/258337/upload_ref_binary/258337.jpg,liberal_party_of_australia
263418,Senator Jonathon Duniam,Tasmania,"",liberal_party_of_australia
265982,Senator Skye Kakoschke-Moore,South Australia,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/265982/upload_ref_binary/265982.jpg,nick_xenophon_team
266482,Senator Rod Culleton,Western Australia,"",pauline_hanson's_one_nation
266499,Senator Jane Hume,Victoria,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/266499/upload_ref_binary/266499.jpg,liberal_party_of_australia
266524,Senator Malcolm Roberts,Queensland,"",pauline_hanson's_one_nation
2L6,Senator Mark Bishop,Western Australia,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/2L6/upload_ref_binary/2L6.jpg,australian_labor_party
2O4,Senator Derryn Hinch,Victoria,"",derryn_hinch's_justice_party
39801,Senator Anthony Chisholm,Queensland,"",australian_labor_party
3L6,Senator the Hon Stephen Conroy,Victoria,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/3L6/upload_ref_binary/3L6.jpg,australian_labor_party
4L6,Senator Alan Eggleston,Western Australia,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/4L6/upload_ref_binary/4L6.JPG,liberal_party_of_australia
53369,Senator Richard Di Natale,Victoria,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/53369/upload_ref_binary/53369.jpg,australian_greens
5K4,Senator the Hon John Faulkner,New South Wales,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/5K4/upload_ref_binary/5K4.jpg,australian_labor_party
76760,Senator Stirling Griff,South Australia,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/76760/upload_ref_binary/76760.jpg,nick_xenophon_team
7G6,Senator the Hon Kate Lundy,Australian Capital Territory,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/7G6/upload_ref_binary/7G6.JPG,australian_labor_party
7L6,Senator the Hon John Hogg,Queensland,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/7L6/upload_ref_binary/7L6.JPG,australian_labor_party
84L,Senator the Hon Jan McLucas,Queensland,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/84L/upload_ref_binary/84L.JPG,australian_labor_party
84M,Senator the Hon Brett Mason,Queensland,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/84M/upload_ref_binary/84M.JPG,liberal_party_of_australia
84N,Senator the Hon Joseph Ludwig,Queensland,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/84N/upload_ref_binary/84N.jpg,australian_labor_party
8IV,Senator Nick Xenophon,South Australia,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/8IV/upload_ref_binary/8IV.JPG,nick_xenophon_team
AI6,Senator the Hon Doug Cameron,New South Wales,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/AI6/upload_ref_binary/AI6.JPG,australian_labor_party
AW5,Senator the Hon Kim Carr,Victoria,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/AW5/upload_ref_binary/AW5.JPG,australian_labor_party
BK6,Senator Pauline Hanson,Queensland,"",pauline_hanson's_one_nation
C16,Senator the Hon Bill Heffernan,New South Wales,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/C16/upload_ref_binary/C16.jpg,liberal_party_of_australia
CDK,Senator Nova Peris OAM,Northern Territory,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/CDK/upload_ref_binary/CDK.jpg,australian_labor_party
CPR,Senator Lee Rhiannon,New South Wales,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/CPR/upload_ref_binary/cpr.jpg,australian_greens
D2I,Senator the Hon Mitch Fifield,Victoria,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/D2I/upload_ref_binary/D2I.JPG,liberal_party_of_australia
DYU,Senator David Fawcett,South Australia,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/DYU/upload_ref_binary/DYU.jpg,liberal_party_of_australia
