id,name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
adrien_charles_duval,Adrien Charles Duval,,,,Alliance LEPEP,alliance_lepep,17,Curepipe/Midlands,National Assembly,2014,,,,
ahmad_bashir_jahangeer,Ahmad Bashir Jahangeer,,,,Alliance LEPEP,alliance_lepep,13,Souillac/Rivière-des-Anguilles,National Assembly,2014,,,,
ahmed_yousuf_abdul_razack_shakeel_mohamed,Ahmed Yousuf Abdul Razack Shakeel Mohamed,,,,PTr-MMM,ptr-mmm,3,Port-Louis maritime et est,National Assembly,2014,,,,
alan_ganoo,Alan Ganoo,,,,PTr-MMM,ptr-mmm,14,Savanne/Rivière-Noire,National Assembly,2014,,,,
anerood_jugnauth,Anerood Jugnauth,,,,Alliance LEPEP,alliance_lepep,7,Piton/Rivière-du-Rempart,National Assembly,2014,,,,
anil_kumarsingh_gayan,Anil Kumarsingh Gayan,,,,Alliance LEPEP,alliance_lepep,20,Beau-Bassin/Petite Rivière,National Assembly,2014,,,,
ashit_kumar_gungah,Ashit Kumar Gungah,,,,Alliance LEPEP,alliance_lepep,6,Grand-Baie/Poudre d’Or,National Assembly,2014,,,,
buisson_leopold,Buisson Leopold,,,,OPR,opr,21,Rodrigues,National Assembly,2014,,,,
charles_gaëtan_xavier-luc_duval,Charles Gaëtan Xavier-Luc Duval,,,,Alliance LEPEP,alliance_lepep,18,Belle-Rose/Quatre-Bornes,National Assembly,2014,,,,
deveena_(sandhya)_boygah,Deveena (Sandhya) Boygah,,,,Alliance LEPEP,alliance_lepep,11,Vieux Grand-Port/Rose-Belle,National Assembly,2014,,,,
dhananjay_(ritish)_ramful,Dhananjay (Ritish) Ramful,,,,PTr-MMM,ptr-mmm,12,Mahebourg/Plaine-Magnien,National Assembly,2014,,,,
dharmendar_(sudhir)_sesungkur,Dharmendar (Sudhir) Sesungkur,,,,Alliance LEPEP,alliance_lepep,10,Montagne-Blanche-GRSE,National Assembly,2014,,,,
ezra_seewoosunkur_jhuboo,Ezra Seewoosunkur Jhuboo,,,,PTr-MMM,ptr-mmm,14,Savanne/Rivière-Noire,National Assembly,2014,,,,
fazila_daureeawoo,Fazila Daureeawoo,,,,Alliance LEPEP,alliance_lepep,19,Stanley/Rose-Hill,National Assembly,2014,,,,
francisco_françois,Francisco François,,,,OPR,opr,21,Rodrigues,National Assembly,2014,,,,
georges_pierre_(joe)_lesjongard,Georges Pierre (Joe) Lesjongard,,,,PTr-MMM,ptr-mmm,14,Savanne/Rivière-Noire,National Assembly,2014,,,,
gowkaran_(vikash)_oree,Gowkaran (Vikash) Oree,,,,Alliance LEPEP,alliance_lepep,4,Port-Louis nord-Montagne-Longue,National Assembly,2014,,,,
ivan_leslie_collendavelloo,Ivan Leslie Collendavelloo,,,,Alliance LEPEP,alliance_lepep,19,Stanley/Rose-Hill,National Assembly,2014,,,,
jayeshwur_raj_dayal,Jayeshwur Raj Dayal,,,,Alliance LEPEP,alliance_lepep,9,Flacq/Bon Accueil,National Assembly,2014,,,,
jean_christophe_stephan_toussaint,Jean Christophe Stephan Toussaint,,,,Alliance LEPEP,alliance_lepep,17,Curepipe/Midlands,National Assembly,2014,,,,
jean-nel_alain_aliphon,Jean-Nel Alain Aliphon,,,,Alliance LEPEP,alliance_lepep,20,Beau-Bassin/Petite Rivière,National Assembly,2014,,,,
kalidass_(sanjeev)_teeluckdharry,Kalidass (Sanjeev) Teeluckdharry,,,,Alliance LEPEP,alliance_lepep,5,Pamplemousses/Triolet,National Assembly,2014,,,,
kalyan_tarolah,Kalyan Tarolah,,,,Alliance LEPEP,alliance_lepep,10,Montagne-Blanche-GRSE,National Assembly,2014,,,,
kavydass_ramano,Kavydass Ramano,,,,PTr-MMM,ptr-mmm,18,Belle-Rose/Quatre-Bornes,National Assembly,2014,,,,
leela_devi_dookun-luchoomun,Leela Devi Dookun-Luchoomun,,,,Alliance LEPEP,alliance_lepep,8,Quartier Militaire/Moka,National Assembly,2014,,,,
mahen_kumar_seeruttun,Mahen Kumar Seeruttun,,,,Alliance LEPEP,alliance_lepep,11,Vieux Grand-Port/Rose-Belle,National Assembly,2014,,,,
mahendranuth_sharma_(bobby)_hurreeram,Mahendranuth Sharma (Bobby) Hurreeram,,,,Alliance LEPEP,alliance_lepep,12,Mahebourg/Plaine-Magnien,National Assembly,2014,,,,
malini_sewocksingh,Malini Sewocksingh,,,,Alliance LEPEP,alliance_lepep,17,Curepipe/Midlands,National Assembly,2014,,,,
maneesh_gobin,Maneesh Gobin,,,,Alliance LEPEP,alliance_lepep,13,Souillac/Rivière-des-Anguilles,National Assembly,2014,,,,
marie_claire_jeanne_monty,Marie Claire Jeanne Monty,,,,Alliance LEPEP,alliance_lepep,4,Port-Louis nord-Montagne-Longue,National Assembly,2014,,,,
marie_cyril_eddy_boissézon,Marie Cyril Eddy Boissézon,,,,Alliance LEPEP,alliance_lepep,15,La Caverne/Phoenix,National Assembly,2014,,,,
marie_danielle_selvon,Marie Danielle Selvon,,,,Alliance LEPEP,alliance_lepep,1,GRNO/Port-Louis ouest,National Assembly,2014,,,,
marie_joseph_noël_etienne_ghislain_sinatambou,Marie Joseph Noël Etienne Ghislain Sinatambou,,,,Alliance LEPEP,alliance_lepep,16,Vacoas/Floréal,National Assembly,2014,,,,
marie-aurore_marie-joyce_perraud,Marie-Aurore Marie-Joyce Perraud,,,,Alliance LEPEP,alliance_lepep,4,Port-Louis nord-Montagne-Longue,National Assembly,2014,,,,
mohammad_anwar_husnoo,Mohammad Anwar Husnoo,,,,Alliance LEPEP,alliance_lepep,3,Port-Louis maritime et est,National Assembly,2014,,,,
muhammad_reza_cassam_uteem,Muhammad Reza Cassam Uteem,,,,PTr-MMM,ptr-mmm,2,Port-Louis sud et centre,National Assembly,2014,,,,
nandcoomar_bodha,Nandcoomar Bodha,,,,Alliance LEPEP,alliance_lepep,16,Vacoas/Floréal,National Assembly,2014,,,,
osman_cassam_mahomed,Osman Cassam Mahomed,,,,PTr-MMM,ptr-mmm,2,Port-Louis sud et centre,National Assembly,2014,,,,
patrice_kursley_armance,Patrice Kursley Armance,,,,Alliance LEPEP,alliance_lepep,1,GRNO/Port-Louis ouest,National Assembly,2014,,,,
paul_raymond_bérenger,Paul Raymond Bérenger,,,,PTr-MMM,ptr-mmm,19,Stanley/Rose-Hill,National Assembly,2014,,,,
pravind_kumar_jugnauth,Pravind Kumar Jugnauth,,,,Alliance LEPEP,alliance_lepep,8,Quartier Militaire/Moka,National Assembly,2014,,,,
premdut_koonjoo,Premdut Koonjoo,,,,Alliance LEPEP,alliance_lepep,11,Vieux Grand-Port/Rose-Belle,National Assembly,2014,,,,
prithvirajsing_(pradeep)_roopun,Prithvirajsing (Pradeep) Roopun,,,,Alliance LEPEP,alliance_lepep,9,Flacq/Bon Accueil,National Assembly,2014,,,,
purmanund_(mahen)_jhugroo,Purmanund (Mahen) Jhugroo,,,,Alliance LEPEP,alliance_lepep,12,Mahebourg/Plaine-Magnien,National Assembly,2014,,,,
rajcoomar_(raj)_rampertab,Rajcoomar (Raj) Rampertab,,,,Alliance LEPEP,alliance_lepep,9,Flacq/Bon Accueil,National Assembly,2014,,,,
