id,name,source,url,image,gender,date_of_birth,term,area,party,party_id
2015-291,Aronda Nyakairima,http://www.parliament.go.ug/mpdata/mps.hei?p=f&n=t&details=t&j=291&const=Updf+Represantive&dist_id=73&distname=Updf,http://www.parliament.go.ug/mpdata/mps.hei?p=f&n=t&details=t&j=291&const=Updf+Represantive&dist_id=73&distname=Updf,http://www.parliament.go.ug/mpdata/pics/9parl/ARONDA291.jpg,Male,1959-07-07,9,,,
2015-589,Atuku Bigombe Betty,http://www.parliament.go.ug/mpdata/mps.hei?p=f&n=t&details=t&j=589&const=Woman+Representative&dist_id=76&distname=Amuru,http://www.parliament.go.ug/mpdata/mps.hei?p=f&n=t&details=t&j=589&const=Woman+Representative&dist_id=76&distname=Amuru,http://www.parliament.go.ug/mpdata/pics/9parl/ATUKU589.jpg,Female,1952-10-21,9,Amuru District,National Resistance Movement,NRM
2015-767,Omwonya Oribdhogu Stanley,http://www.parliament.go.ug/mpdata/mps.hei?p=f&n=t&details=t&j=767&const=Okoro+County&dist_id=117&distname=Zombo,http://www.parliament.go.ug/mpdata/mps.hei?p=f&n=t&details=t&j=767&const=Okoro+County&dist_id=117&distname=Zombo,http://www.parliament.go.ug/mpdata/pics/9parl/OMWONYA767.jpg,Male,1951-05-23,9,Zombo District,National Resistance Movement,NRM
2015-777,Shinyabulo-Mutende James,http://www.parliament.go.ug/mpdata/mps.hei?p=f&n=t&details=t&j=777&const=Ex-Officio+Representative&dist_id=70&distname=Ex-Officio,http://www.parliament.go.ug/mpdata/mps.hei?p=f&n=t&details=t&j=777&const=Ex-Officio+Representative&dist_id=70&distname=Ex-Officio,http://www.parliament.go.ug/mpdata/pics/9parl/SHINYABULO-MUTENDE777.jpg,Male,1962-02-26,9,,,
