id,name,faction,area,area_id,term,source,sort_name,image,birth_date,email,start_date,end_date
1,Ioan ADAM,PSD,BRAŞOV,8,7,http://www.cdep.ro/pls/parlam/structura2015.mp?idm=1&cam=2&leg=2012&idl=2,Adam Ioan,http://www.cdep.ro/parlamentari/l2012/Adam_Ioan.jpg,1952-12-01,"",,2015-01-19
10,Gabriel ANDRONACHE,PNL,BRAŞOV,8,7,http://www.cdep.ro/pls/parlam/structura2015.mp?idm=10&cam=2&leg=2012&idl=2,Andronache Gabriel,http://www.cdep.ro/parlamentari/l2012/Andronache_Gabriel.jpg,1974-09-22,"",,
100,Toader DIMA,PSD,VASLUI,39,7,http://www.cdep.ro/pls/parlam/structura2015.mp?idm=100&cam=2&leg=2012&idl=2,Dima Toader,http://www.cdep.ro/parlamentari/l2012/Dima_Toader.jpg,1951-02-25,"",,2016-07-07
101,Ion DINIŢĂ,ALDE,BRAŞOV,8,7,http://www.cdep.ro/pls/parlam/structura2015.mp?idm=101&cam=2&leg=2012&idl=2,Diniţă Ion,http://www.cdep.ro/parlamentari/l2012/Dinita_Ion.jpg,1962-03-16,"",,2015-04-01
102,Ioan DÎRZU,PSD,ALBA,1,7,http://www.cdep.ro/pls/parlam/structura2015.mp?idm=102&cam=2&leg=2012&idl=2,Dîrzu Ioan,http://www.cdep.ro/parlamentari/l2012/Dirzu_Ioan.jpg,1967-02-01,"",,
103,Anton DOBOŞ,PNL,IAŞI,24,7,http://www.cdep.ro/pls/parlam/structura2015.mp?idm=103&cam=2&leg=2012&idl=2,Doboş Anton,http://www.cdep.ro/parlamentari/l2012/Dobos_Anton.jpg,1961-05-19,"",,
104,Mircea-Titus DOBRE,PSD,CONSTANŢA,14,7,http://www.cdep.ro/pls/parlam/structura2015.mp?idm=104&cam=2&leg=2012&idl=2,Dobre Mircea-Titus,http://www.cdep.ro/parlamentari/l2012/Dobre_Mircea_Titus.jpg,1978-12-20,"",,
105,Victor Paul DOBRE,PNL,GALAŢI,18,7,http://www.cdep.ro/pls/parlam/structura2015.mp?idm=105&cam=2&leg=2012&idl=2,Dobre Victor Paul,http://www.cdep.ro/parlamentari/l2012/Dobre_Victor.jpg,1952-02-11,"",,
106,Traian DOBRINESCU,PNL,VÂLCEA,40,7,http://www.cdep.ro/pls/parlam/structura2015.mp?idm=106&cam=2&leg=2012&idl=2,Dobrinescu Traian,http://www.cdep.ro/parlamentari/l2012/Dobrinescu_Traian.jpg,1949-05-23,"",,
107,Mircea DOLHA,PNL,MARAMUREŞ,26,7,http://www.cdep.ro/pls/parlam/structura2015.mp?idm=107&cam=2&leg=2012&idl=2,Dolha Mircea,http://www.cdep.ro/parlamentari/l2012/Dolha_Mircea.jpg,1969-05-24,"",,
108,Nechita-Stelian DOLHA,PNL,BISTRIŢA-NĂSĂUD,6,7,http://www.cdep.ro/pls/parlam/structura2015.mp?idm=108&cam=2&leg=2012&idl=2,Dolha Nechita-Stelian,http://www.cdep.ro/parlamentari/l2012/Dolha_Nechita_Stelian.jpg,1970-04-19,"",,
109,Andrei DOLINEASCHI,PSD,BOTOŞANI,7,7,http://www.cdep.ro/pls/parlam/structura2015.mp?idm=109&cam=2&leg=2012&idl=2,Dolineaschi Andrei,http://www.cdep.ro/parlamentari/l2012/Dolineaschi_Andrei.jpg,1975-06-21,"",,
11,Gabriela-Lola ANGHEL,PNL,PRAHOVA,31,7,http://www.cdep.ro/pls/parlam/structura2015.mp?idm=11&cam=2&leg=2012&idl=2,Anghel Gabriela-Lola,http://www.cdep.ro/parlamentari/l2012/Anghel_Gabriela_Lola.jpg,1973-04-16,"",,
110,Mihai-Aurel DONŢU,PNL,BRAŞOV,8,7,http://www.cdep.ro/pls/parlam/structura2015.mp?idm=110&cam=2&leg=2012&idl=2,Donţu Mihai-Aurel,http://www.cdep.ro/parlamentari/l2012/Dontu_Mihai_Aurel.jpg,1973-03-12,"",,2016-07-07
111,Nicolae-Liviu DRAGNEA,PSD,TELEORMAN,36,7,http://www.cdep.ro/pls/parlam/structura2015.mp?idm=111&cam=2&leg=2012&idl=2,Dragnea Nicolae-Liviu,http://www.cdep.ro/parlamentari/l2012/Dragnea_Liviu_Nicolae.jpg,1962-10-28,"",,2016-12-19
112,Gheorghe DRAGOMIR,PNL,CONSTANŢA,14,7,http://www.cdep.ro/pls/parlam/structura2015.mp?idm=112&cam=2&leg=2012&idl=2,Dragomir Gheorghe,http://www.cdep.ro/parlamentari/l2012/Dragomir_Gheorghe.jpg,1963-01-12,"",,
113,Maria DRAGOMIR,PNL,CĂLĂRAŞI,12,7,http://www.cdep.ro/pls/parlam/structura2015.mp?idm=113&cam=2&leg=2012&idl=2,Dragomir Maria,http://www.cdep.ro/parlamentari/l2012/Dragomir_Maria.jpg,1957-09-02,"",,
114,Viorel Marian DRAGOMIR,PSD,BRĂILA,9,7,http://www.cdep.ro/pls/parlam/structura2015.mp?idm=114&cam=2&leg=2012&idl=2,Dragomir Viorel Marian,http://www.cdep.ro/parlamentari/l2012/Dragomir_Viorel_Marian.jpg,1975-06-16,"",,2016-06-23
115,Mircea-Gheorghe DRĂGHICI,PSD,ARGEŞ,3,7,http://www.cdep.ro/pls/parlam/structura2015.mp?idm=115&cam=2&leg=2012&idl=2,Drăghici Mircea-Gheorghe,http://www.cdep.ro/parlamentari/l2012/Draghici_Mircea_Gheorghe.jpg,1966-04-08,"",,
116,Sonia-Maria DRĂGHICI,PSD,BIHOR,5,7,http://www.cdep.ro/pls/parlam/structura2015.mp?idm=116&cam=2&leg=2012&idl=2,Drăghici Sonia-Maria,http://www.cdep.ro/parlamentari/l2012/Draghici_Sonia_Maria.jpg,"","",,2016-07-28
117,Vasile-Cătălin DRĂGUŞANU,PNL,NEAMŢ,29,7,http://www.cdep.ro/pls/parlam/structura2015.mp?idm=117&cam=2&leg=2012&idl=2,Drăguşanu Vasile-Cătălin,http://www.cdep.ro/parlamentari/l2012/Dragusanu_Vasile_Catalin.jpg,1979-06-05,"",,
118,Paul DUMBRĂVANU,PNL,PRAHOVA,31,7,http://www.cdep.ro/pls/parlam/structura2015.mp?idm=118&cam=2&leg=2012&idl=2,Dumbrăvanu Paul,http://www.cdep.ro/parlamentari/l2012/Dumbravanu_Paul.jpg,1979-10-02,"",,
119,Ileana Cristina DUMITRACHE,PSD,CONSTANŢA,14,7,http://www.cdep.ro/pls/parlam/structura2015.mp?idm=119&cam=2&leg=2012&idl=2,Dumitrache Ileana Cristina,http://www.cdep.ro/parlamentari/l2012/Dumitrache_Ileana_Cristina.jpg,1982-12-01,"",,
