id,position,label,description,start_date,term,constituency,of,replaces,end_date,replaced_by,election
Q10853815,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District VI,,,,,
Q11074254,Q27169,member of the European Parliament,person who has been elected to the European Parliament,2013-07-01,Seventh European Parliament,Croatia,,,2014-06-30,,
Q11074254,Q27169,member of the European Parliament,person who has been elected to the European Parliament,2014-07-01,Eighth European Parliament,Croatia,,,,,2014 European Parliament election
Q11655642,Q27169,member of the European Parliament,person who has been elected to the European Parliament,2013-07-01,Seventh European Parliament,Croatia,,,2014-06-30,,
Q11685764,Q1195270,Prime Minister of Croatia,position,2016-10-19,,,,Tihomir Orešković,,,
Q11685764,Q18643511,representative in the Croatian Parliament,"","",,,,,,,
Q11685764,Q27169,member of the European Parliament,person who has been elected to the European Parliament,2013-07-01,Seventh European Parliament,Croatia,,,2014-06-30,,
Q11685764,Q27169,member of the European Parliament,person who has been elected to the European Parliament,2014-07-01,Eighth European Parliament,Croatia,,,2016-10-13,Ivica Tolić,2014 European Parliament election
Q1254068,Q18643511,representative in the Croatian Parliament,"","",,,,,,,
Q1256382,Q18643511,representative in the Croatian Parliament,"","",,,,,,,
Q1256837,Q18643511,representative in the Croatian Parliament,"","",,,,,,,
Q1260118,Q18643511,representative in the Croatian Parliament,"","",,,,,,,
Q1260118,Q27169,member of the European Parliament,person who has been elected to the European Parliament,2013-07-01,Seventh European Parliament,Croatia,,,2014-06-30,,
Q1260118,Q27169,member of the European Parliament,person who has been elected to the European Parliament,2014-07-01,Eighth European Parliament,Croatia,,,,,2014 European Parliament election
Q1261965,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,
Q12627022,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District IX,,,,,
Q12628147,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District VIII,,,,,
Q12629972,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District VII,,,,,
Q12630114,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District VI,,,,,
Q12631623,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District X,,,,,
Q12631651,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District II,,,,,
Q1271876,Q18643511,representative in the Croatian Parliament,"",2011-12-22,,,,,2015-12-28,,
Q1274378,Q18643511,representative in the Croatian Parliament,"","",,,,,,,
Q1274758,Q18643511,representative in the Croatian Parliament,"","",,,,,,,
Q1274758,Q3357859,Speaker of the Croatian Parliament,Wikimedia list article,"",,,,,,,
Q12752142,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District VI,,,,,
Q12752142,Q486839,member of parliament,representative of the voters to a parliament,"",,,,,,,
Q1279604,Q18643511,representative in the Croatian Parliament,"","",,,,,,,
Q1279988,Q18643511,representative in the Croatian Parliament,"","",,,,,,,
Q1285099,Q877955,deputy prime minister,civil servant position,"",,,,,,,
Q12956737,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District VII,,,,,
Q12956737,Q27169,member of the European Parliament,person who has been elected to the European Parliament,2013-07-01,Seventh European Parliament,Croatia,,,2014-06-30,,
Q12956737,Q27169,member of the European Parliament,person who has been elected to the European Parliament,2014-07-01,Eighth European Parliament,Croatia,,,2016-10-13,Željana Zovko,2014 European Parliament election
Q12958427,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District VII,,,,,
Q1337804,Q18643511,representative in the Croatian Parliament,"","",9th Sabor,Electoral District I,,,,,
Q1337804,Q3357859,Speaker of the Croatian Parliament,Wikimedia list article,"",,,,,,,
