id,name,sortname,image,party,birth_date,constituency,term,start_date,source
6172,LJUBICA AMBRUŠEC,"Ambrušec, Ljubica",http://www.sabor.hr/lgs.axd?t=16&id=44414,MOST,1965-02-03,2nd,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6172
6174,INGRID ANTIČEVIĆ MARINOVIĆ,"Antičević Marinović, Ingrid",http://www.sabor.hr/lgs.axd?t=16&id=44415,SDP,1957-10-04,9th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6174
6182,IVAN ANUŠIĆ,"Anušić, Ivan",http://www.sabor.hr/lgs.axd?t=16&id=44630,HDZ,1973-10-13,4th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6182
6183,VEDRAN BABIĆ,"Babić, Vedran",http://www.sabor.hr/lgs.axd?t=16&id=44544,SDP,1976-12-10,2nd,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6183
6184,BRANKO BAČIĆ,"Bačić, Branko",http://www.sabor.hr/lgs.axd?t=16&id=44416,HDZ,1959-06-07,10th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6184
6181,DRAŽEN BARIŠIĆ,"Barišić, Dražen",http://www.sabor.hr/lgs.axd?t=16&id=44631,"",1969-03-17,6th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6181
6188,MILORAD BATINIĆ,"Batinić, Milorad",http://www.sabor.hr/lgs.axd?t=16&id=44417,HNS,1957-09-07,3rd,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6188
6190,ARSEN BAUK,"Bauk, Arsen","",SDP,1973-02-07,10th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6190
6192,DAVOR BERNARDIĆ,"Bernardić, Davor",http://www.sabor.hr/lgs.axd?t=16&id=45059,SDP,1980-01-05,1st,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6192
6194,GORAN BEUS RICHEMBERGH,"Beus Richembergh, Goran",http://www.sabor.hr/lgs.axd?t=16&id=44418,HNS,1965-07-31,6th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6194
6196,JOSIP BILAVER,"Bilaver, Josip",http://www.sabor.hr/lgs.axd?t=16&id=44419,HDZ,1986-04-04,9th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6196
6198,VLADIMIR BILEK,"Bilek, Vladimir",http://www.sabor.hr/lgs.axd?t=16&id=44545,Independent,1979-07-10,12th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6198
6202,BLAŽENKO BOBAN,"Boban, Blaženko",http://www.sabor.hr/lgs.axd?t=16&id=44546,HDZ,1960-08-27,10th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6202
6683,JOSIP BORIĆ,"Borić, Josip",http://www.sabor.hr/lgs.axd?t=16&id=44547,HDZ,1972-10-23,8th,8,2016-01-22,http://www.sabor.hr/lgs.axd?t=24&id=6683
6204,DRAŽEN BOŠNJAKOVIĆ,"Bošnjaković, Dražen",http://www.sabor.hr/lgs.axd?t=16&id=44633,HDZ,1961-01-06,6th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6204
6208,MARIJA BUDIMIR,"Budimir, Marija",http://www.sabor.hr/lgs.axd?t=16&id=44421,HDZ,1972-01-15,5th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6208
6210,MIRO BULJ,"Bulj, Miro",http://www.sabor.hr/lgs.axd?t=16&id=44422,MOST,1972-03-11,9th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6210
6216,STEVO CULEJ,"Culej, Stevo",http://www.sabor.hr/lgs.axd?t=16&id=44427,HDZ,1964-08-10,5th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6216
6218,RADIMIR ČAČIĆ,"Čačić, Radimir",http://www.sabor.hr/lgs.axd?t=16&id=44691,Reformists,1949-05-11,3rd,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6218
6220,TOMISLAV ČULJAK,"Čuljak, Tomislav",http://www.sabor.hr/lgs.axd?t=16&id=44428,HDZ,1958-11-16,5th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6220
6222,PERO ĆORIĆ,"Ćorić, Pero",http://www.sabor.hr/lgs.axd?t=16&id=44425,HSP AS,1962-04-28,5th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6222
6224,PERO ĆOSIĆ,"Ćosić, Pero",http://www.sabor.hr/lgs.axd?t=16&id=44426,HDZ,1959-10-27,5th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6224
6226,ŠTEFANIJA DAMJANOVIĆ,"Damjanović, Štefanija",http://www.sabor.hr/lgs.axd?t=16&id=44429,HNS,1957-10-31,3rd,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6226
6228,TULIO DEMETLIKA,"Demetlika, Tulio",http://www.sabor.hr/lgs.axd?t=16&id=44430,IDS,1958-05-13,8th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6228
6230,MIODRAG DEMO,"Demo, Miodrag",http://www.sabor.hr/lgs.axd?t=16&id=44548,BM 365,1967-07-25,6th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6230
6232,ŽELJKO DILBER,"Dilber, Željko",http://www.sabor.hr/lgs.axd?t=16&id=44431,HDZ,1955-02-02,7th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6232
6236,GORAN DODIG,"Dodig, Goran",http://www.sabor.hr/lgs.axd?t=16&id=44635,HDS,1947-05-26,10th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6236
6238,IGOR DRAGOVAN,"Dragovan, Igor",http://www.sabor.hr/lgs.axd?t=16&id=44636,SDP,1968-07-04,1st,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6238
6240,JOSIP ĐAKIĆ,"Đakić, Josip",http://www.sabor.hr/lgs.axd?t=16&id=44634,HDZ,1960-11-02,4th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6240
6246,DAMIR FELAK,"Felak, Damir",http://www.sabor.hr/lgs.axd?t=16&id=44432,HDZ,1965-04-08,2nd,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6246
6248,ŽELJKO FIOLIĆ,"Fiolić, Željko",http://www.sabor.hr/lgs.axd?t=16&id=44433,HDZ,1959-06-21,7th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6248
6254,ŽELJKO GLASNOVIĆ,"Glasnović, Željko",http://www.sabor.hr/lgs.axd?t=16&id=44435,HDZ,1954-02-24,11th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6254
6256,SABINA GLASOVAC,"Glasovac, Sabina",http://www.sabor.hr/lgs.axd?t=16&id=44637,SDP,1978-05-20,9th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6256
6258,BRANIMIR GLAVAŠ,"Glavaš, Branimir",http://www.sabor.hr/lgs.axd?t=16&id=44550,HDSSB,1956-09-23,4th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6258
6260,PEĐA GRBIN,"Grbin, Peđa",http://www.sabor.hr/lgs.axd?t=16&id=44436,SDP,1979-05-24,8th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6260
6262,BRANKO GRČIĆ,"Grčić, Branko",http://www.sabor.hr/lgs.axd?t=16&id=44638,SDP,1964-04-16,10th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6262
6264,MARIO HABEK,"Habek, Mario",http://www.sabor.hr/lgs.axd?t=16&id=44437,SDP,1972-05-16,3rd,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6264
6266,SINIŠA HAJDAŠ DONČIĆ,"Hajdaš Dončić, Siniša",http://www.sabor.hr/lgs.axd?t=16&id=44639,SDP,1974-06-29,3rd,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6266
6268,DOMAGOJ HAJDUKOVIĆ,"Hajduković, Domagoj",http://www.sabor.hr/lgs.axd?t=16&id=44666,SDP,1981-06-04,4th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6268
6272,MILE HORVAT,"Horvat, Mile",http://www.sabor.hr/lgs.axd?t=16&id=44551,SDSS,1959-05-16,12th,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6272
6274,DARIO HREBAK,"Hrebak, Dario",http://www.sabor.hr/lgs.axd?t=16&id=44439,HSLS,1981-09-11,2nd,8,2015-12-28,http://www.sabor.hr/lgs.axd?t=24&id=6274
