id,name,image,party,birth_date,constituency,term,start_date,end_date,source
6990,Bojan Glavašević,http://www.sabor.hr/lgs.axd?t=16&id=47025&sp=170x219,SDP,1984-07-26,6th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=6990
6992,Nenad Stazić,http://www.sabor.hr/lgs.axd?t=16&id=47119&sp=170x219,SDP,1957-07-13,6th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=6992
6994,Mirando Mrsić,http://www.sabor.hr/lgs.axd?t=16&id=47085&sp=170x219,SDP,1959-10-14,6th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=6994
6996,Ana Komparić Devčić,http://www.sabor.hr/lgs.axd?t=16&id=47050&sp=170x219,"",1976-04-18,8th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=6996
6998,Tomislav Žagar,http://www.sabor.hr/lgs.axd?t=16&id=47135&sp=170x219,Independent,1969-12-10,4th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=6998
7000,Marin Škibola,http://www.sabor.hr/lgs.axd?t=16&id=47115&sp=170x219,Independent,1991-12-14,8th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7000
7002,Zdravko Ronko,http://www.sabor.hr/lgs.axd?t=16&id=47105&sp=170x219,SDP,1949-09-10,5th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7002
7004,Andro Krstulović Opara,http://www.sabor.hr/lgs.axd?t=16&id=47057&sp=170x219,HDZ,1967-05-22,10th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7004
7006,Ante Sanader,http://www.sabor.hr/lgs.axd?t=16&id=47109&sp=170x219,HDZ,1960-05-17,9th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7006
7008,Branko Grčić,http://www.sabor.hr/lgs.axd?t=16&id=47027&sp=170x219,SDP,1964-04-16,10th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7008
7010,Vesna Pusić,http://www.sabor.hr/lgs.axd?t=16&id=47100&sp=170x219,HNS,1953-03-25,1st,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7010
7012,Domagoj Hajduković,http://www.sabor.hr/lgs.axd?t=16&id=47031&sp=170x219,SDP,1981-06-04,4th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7012
7014,Silvano Hrelja,http://www.sabor.hr/lgs.axd?t=16&id=47034&sp=170x219,HSU,1958-03-14,8th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7014
7016,Marta Luc-Polanc,http://www.sabor.hr/lgs.axd?t=16&id=47065&sp=170x219,SDP,1977-08-17,5th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7016
7018,Grozdana Perić,http://www.sabor.hr/lgs.axd?t=16&id=47091&sp=170x219,HDZ,1961-10-14,9th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7018
7020,Kažimir Varda,http://www.sabor.hr/lgs.axd?t=16&id=47129&sp=170x219,SMSH,1944-02-15,2nd,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7020
7022,Mile Horvat,http://www.sabor.hr/lgs.axd?t=16&id=47033&sp=170x219,SDSS,1959-05-16,12th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7022
7024,Boris Milošević,http://www.sabor.hr/lgs.axd?t=16&id=47080&sp=170x219,SDSS,1974-11-05,12th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7024
7026,Milorad Pupovac,http://www.sabor.hr/lgs.axd?t=16&id=47099&sp=170x219,SDSS,1955-11-05,12th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7026
7028,Branko Hrg,http://www.sabor.hr/lgs.axd?t=16&id=47035&sp=170x219,HDS,1961-09-26,2nd,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7028
7030,Marko Vešligaj,http://www.sabor.hr/lgs.axd?t=16&id=47131&sp=170x219,SDP,1982-04-17,3rd,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7030
7032,Igor Dragovan,http://www.sabor.hr/lgs.axd?t=16&id=47018&sp=170x219,SDP,1968-07-04,1st,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7032
7034,Ivan Vrdoljak,http://www.sabor.hr/lgs.axd?t=16&id=47133&sp=170x219,HNS,1972-06-22,4th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7034
7036,Tomislav Saucha,http://www.sabor.hr/lgs.axd?t=16&id=47110&sp=170x219,SDP,1980-06-12,7th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7036
7038,Saša Đujić,http://www.sabor.hr/lgs.axd?t=16&id=47016&sp=170x219,SDP,1981-12-05,7th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7038
7040,Peđa Grbin,http://www.sabor.hr/lgs.axd?t=16&id=47026&sp=170x219,SDP,1979-05-24,8th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7040
7042,Arsen Bauk,http://www.sabor.hr/lgs.axd?t=16&id=46996&sp=170x219,SDP,1973-02-07,10th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7042
7045,Ana-Marija Petin,http://www.sabor.hr/lgs.axd?t=16&id=47093&sp=170x219,HSS,1976-06-07,4th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7045
7047,Milijan Brkić,http://www.sabor.hr/lgs.axd?t=16&id=47006&sp=170x219,HDZ,1970-10-25,2nd,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7047
7049,Željko Lenart,http://www.sabor.hr/lgs.axd?t=16&id=47061&sp=170x217,HSS,1968-04-21,6th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7049
7051,Vedran Babić,http://www.sabor.hr/lgs.axd?t=16&id=46990&sp=170x219,SDP,1976-12-10,2nd,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7051
7053,Stevo Culej,http://www.sabor.hr/lgs.axd?t=16&id=47013&sp=170x219,HDZ,1964-08-10,5th,9,2016-10-14,"",http://www.sabor.hr/lgs.axd?t=24&id=7053
