area_id,legislative_period_id,on_behalf_of_id,organization_id,person_id,role
area/beitbridge_west,term/8,party/zanu_pf,legislature,6e136f0c-fdd9-4c36-a068-17ecfb9d7257,member
area/bikita_east,term/8,party/zanu_pf,legislature,011089e3-06a0-4d60-b244-d7d1677dc0e9,member
area/bikita_south,term/8,party/zanu_pf,legislature,c6776595-c0b7-42fd-b850-db819e5d27a7,member
area/bikita_west,term/8,party/zanu_pf,legislature,a2fb430b-347d-401d-a8f4-c1ea98e74adc,member
area/bindura_north,term/8,party/zanu_pf,legislature,ad91ffd7-69ea-429f-9970-d653225252e2,member
area/bindura_south,term/8,party/zanu_pf,legislature,a8404289-f6af-4970-b892-e78e6fc73401,member
area/binga_north,term/8,party/mdc-t,legislature,e134daf9-7f1b-47ef-bde5-75b11353c18f,member
area/bubi,term/8,party/zanu_pf,legislature,f68c477e-640c-4c31-a11d-40a7a3c264a2,member
area/budiriro,term/8,party/mdc-t,legislature,bd24340f-1376-43df-b99f-dc8e92d68bd5,member
area/buhera_central,term/8,party/zanu_pf,legislature,d6b91241-66c6-4a11-a1bb-6fd2bf538ae2,member
area/buhera_north,term/8,party/zanu_pf,legislature,44bfd6ef-ad19-41fc-9383-59f254bee19a,member
area/buhera_south,term/8,party/zanu_pf,legislature,2b98f83b-d99b-466b-8e56-90f56700261c,member
area/buhera_west,term/8,party/zanu_pf,legislature,a4eed76a-2b7a-4d9c-80e5-c19878a66960,member
area/bulawayo_central,term/8,party/mdc-t,legislature,ae2b5210-1575-426a-95d0-08b19373b13a,member
area/bulawayo_east,term/8,party/mdc-t,legislature,da5bbc72-76d1-470f-a7e8-03ead843c737,member
area/bulilima_east,term/8,party/zanu_pf,legislature,8b187f83-79ea-495c-9f08-d7e20ac8e67c,member
area/bulilima_west,term/8,party/zanu_pf,legislature,d83462e1-7c52-4777-88c4-c39ed77c6cce,member
area/chakari,term/8,party/zanu_pf,legislature,66f6daaf-0d89-4958-95a1-e6e0731895af,member
