name,gender,occupation,party,image,area,area_id,term,source
Mr. SARR BOHE MARIUS MELAINE DEGBAHOUA,male,INGENIEUR,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/sarr_bohe_marius_melaine_degbahoua.jpg,GUIGLO,7-20,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. AHOUSSOU KOUADIO JEANNOT,male,AVOCAT,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/ahoussou.jpg,DIDIEVI,4-10,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. DIOMANDE ABDOULAYE KARIM,male,ENSEIGNANT,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/diomande_aboulaye.tiff,FERKESSEDOUGOU,30-86,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. DIABATE BAMORY,male,PROFESSEUR DE LYCÉE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/diabate_bamory.tiff,FERKESSEDOUGOU,30-86,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. OUATTARA TENE BIRAHIMA,male,DIRECTEUR DES AFFAIRES ADMINISTRATIVES ET FIN,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/Ibrahim_Ouattara.jpg,FERKESSEDOUGOU,30-86,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. SORO KIGBAFORI GUILLAUME,male,POLITOLOGUE,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/soro1.jpg,FERKESSEDOUGOU,30-86,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. SORO KANIGUI MAMADOU,male,ETUDIANT,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/soro_kanigui.tiff,KORHOGO,27-78,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. KOUADIO KPLI KOUASSI DELPHIN,male,PHARMACIEN,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/kouadio_kpli.tiff,M`BAHIAKRO,19-53,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. KONE ABDOULAYE,male,ADMINISTRATEUR DES SCES FINANCIERS,RDR,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/KONE_ABDOULAYE.jpg,KANIASSO - MINIGNAN,10-25,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. DIBY KOFFI CHARLES,male,ADMINISTRATEUR DES SCES FINERS,PDCI,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/charles-diby.jpg,BOUAFLE,23-63,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
Mr. KOUADIO KONAN BERTIN,male,CONSEILLER TECHNIQUE,RHDP,http://www.abidjan.net/elections/legislatives/2011/resultats/thumb/kkb.jpg,ABIDJAN,8-22,2.2,http://forums.abidjan.net/elections/legislatives/2011/resultats/resultats.asp
