id,name,sort_name,image,gender,party,faction,area,start_date,term,source,name__zh
900023,Ying-Yuan Lee,"Lee, Ying-Yuan",http://www.ly.gov.tw/upload/01_introduce/0103_leg/LGpicture/90023.jpg,male,DPP,DPP,"",2016-02-01 ,9,http://www.ly.gov.tw/en/03_leg/legIntro.action?lgno=00023&stage=9,李應元
900097,Li-Chiun Cheng,"Cheng, Li-Chiun",http://www.ly.gov.tw/upload/01_introduce/0103_leg/LGpicture/90097.jpg,female,DPP,DPP,"",2016-02-01 ,9,http://www.ly.gov.tw/en/03_leg/legIntro.action?lgno=00097&stage=9,鄭麗君
900001,Jin-Pyng Wang,"Wang, Jin-Pyng",http://www.ly.gov.tw/upload/01_introduce/0103_leg/LGpicture/90001.jpg,male,KMT,KMT,Nationwide,2016-02-01 ,9,http://www.ly.gov.tw/en/03_leg/legIntro.action?lgno=00001&stage=9,王金平
900002,Yu-Min Wang,"Wang,Yu-Min",http://www.ly.gov.tw/upload/01_introduce/0103_leg/LGpicture/90002.jpg,female,KMT,KMT,Nationwide,2016-02-01 ,9,http://www.ly.gov.tw/en/03_leg/legIntro.action?lgno=00002&stage=9,王育敏
900003,Ting-Yu Wang,"Wang, Ting-Yu",http://www.ly.gov.tw/upload/01_introduce/0103_leg/LGpicture/90003.jpg,male,DPP,DPP,"5th electoral district, Tainan City ",2016-02-01 ,9,http://www.ly.gov.tw/en/03_leg/legIntro.action?lgno=00003&stage=9,王定宇
900004,Hui-Mei Wang,"Wang, Hui-Mei",http://www.ly.gov.tw/upload/01_introduce/0103_leg/LGpicture/90004.jpg,female,KMT,KMT,"1st electoral district, Changhua County ",2016-02-01 ,9,http://www.ly.gov.tw/en/03_leg/legIntro.action?lgno=00004&stage=9,王惠美
900005,Jung-Chang Wang,"Wang, Jung-Chang",http://www.ly.gov.tw/upload/01_introduce/0103_leg/LGpicture/90005.jpg,male,DPP,DPP,Nationwide,2016-02-01 ,9,http://www.ly.gov.tw/en/03_leg/legIntro.action?lgno=00005&stage=9,王榮璋
900006,Wen-Chi Kung,"Kung, Wen-Chi",http://www.ly.gov.tw/upload/01_introduce/0103_leg/LGpicture/90006.jpg,male,KMT,KMT,Aboriginals District ,2016-02-01 ,9,http://www.ly.gov.tw/en/03_leg/legIntro.action?lgno=00006&stage=9,孔文吉
900007,Mei-Nu Yu,"Yu, Mei-Nu",http://www.ly.gov.tw/upload/01_introduce/0103_leg/LGpicture/90007.jpg,female,DPP,DPP,Nationwide,2016-02-01 ,9,http://www.ly.gov.tw/en/03_leg/legIntro.action?lgno=00007&stage=9,尤美女
900008,Yung-Chang Chiang,"Chiang, Yung-Chang",http://www.ly.gov.tw/upload/01_introduce/0103_leg/LGpicture/90008.jpg,male,DPP,DPP,"8th electoral district, New Taipei City ",2016-02-01 ,9,http://www.ly.gov.tw/en/03_leg/legIntro.action?lgno=00008&stage=9,江永昌
900009,Chi-Chen Chiang,"Chiang, Chi-Chen",http://www.ly.gov.tw/upload/01_introduce/0103_leg/LGpicture/90009.jpg,male,KMT,KMT,"8th electoral district, Taichung City ",2016-02-01 ,9,http://www.ly.gov.tw/en/03_leg/legIntro.action?lgno=00009&stage=9,江啟臣
