term_number,name,start_date,id,end_date
5,5th National Council: 2015 - 2020,2015,5,2020
4,4th National Council: 2010 - 2015,2010,4,2015
3,3rd National Council: 2004 - 2010,2004,3,2010
2,2nd National Council: 1998 - 2004,1998,2,2004
1,1st National Council: 1993 - 1998,1993,1,1998
6,6th National Assembly: 2015 - 2020,2015,6,2020
5,5th National Assembly: 2010 - 2015,2010,5,2015
4,4th National Assembly: 2005 - 2010,2005,4,2010
3,3rd National Assembly: 2000 - 2005,2000,3,2005
2,2nd National Assembly: 1995 - 2000,1995,2,2000
1,1st National Assembly: 1990 - 1995,1990,1,1995
0,Constituent Assembly: 1989 - 1990,1989,0,1990
