id,name,start_date,end_date,source
55,55th Legislature,2015,,https://en.wikipedia.org/wiki/National_Congress_of_Brazil
54,54th Legislature,2011,2015
53,53rd Legislature,2007,2011
52,52nd Legislature,2003,2007
51,51st Legislature,1999,2003
50,50th Legislature,1995,1999
49,49th Legislature,1991,1995
48,48th Legislature,1987,1991
47,47th Legislature,1983,1987
46,46th Legislature,1979,1983
45,45th Legislature,1975,1979
44,44th Legislature,1971,1975
43,43rd Legislature,1967,1971
42,42nd Legislature,1963,1967
41,41st Legislature,1959,1962
