id,name,honorific_prefix,area,area_id,party_id,party,executive,source,email,image,term
1,Renee Ming,"",St. George's North,1,Independent,Independent,"",http://parliament.bm/parliament/view/1,"","",2017
10,Michael Dunkley,"",Smiths North,10,Independent,Independent,Shadow Minister of National Security,http://parliament.bm/parliament/view/10,"","",2017
11,Christopher Famous,"",Devonshire East,11,Independent,Independent,"",http://parliament.bm/parliament/view/11,"","",2017
12,Craig Cannonier,"",Devonshire South Central,12,Independent,Independent,Opposition Leader,http://parliament.bm/parliament/view/12,"","",2017
13,Diallo Rabain,"",Devonshire North Central,13,Independent,Independent,Minister of Education,http://parliament.bm/parliament/view/13,"","",2017
14,Wayne Caines,"",Devonshire North West,14,Independent,Independent,Minister of National Security,http://parliament.bm/parliament/view/14,"","",2017
15,Walter Roban,"",Pembroke East,15,Independent,Independent,Deputy Premier and Minister of Home Affairs,http://parliament.bm/parliament/view/15,"","",2017
16,Michael Weeks,"",Pembroke East Central,16,Independent,Independent,"",http://parliament.bm/parliament/view/16,"","",2017
17,Walton Brown,"",Pembroke Central,17,Independent,Independent,Minister for the Cabinet Office,http://parliament.bm/parliament/view/17,"","",2017
18,David Burt,"",Pembroke West Central,18,Independent,Independent,Premier of Bermuda,http://parliament.bm/parliament/view/18,"","",2017
19,Jeanne Atherden,"",Pembroke West,19,Independent,Independent,"",http://parliament.bm/parliament/view/19,"","",2017
2,Kim Swan,"",St. George's West,2,Independent,Independent,"",http://parliament.bm/parliament/view/2,"","",2017
20,Susan Jackson,"",Pembroke South West,20,Independent,Independent,Opposition Whip & Shadow Minister of Health & Seniors,http://parliament.bm/parliament/view/20,"","",2017
21,Rolfe Commissiong,"",Pembroke South East,21,Independent,Independent,"",http://parliament.bm/parliament/view/21,"","",2017
22,Scott Pearman,"",Paget East,22,Independent,Independent,Shadow Minister for Legal Affairs,http://parliament.bm/parliament/view/22,"","",2017
23,Patricia Gordon Pamplin,"",Paget West,23,Independent,Independent,Shadow Minister of Home Affairs,http://parliament.bm/parliament/view/23,"","",2017
24,Lawrence Scott,"",Warwick South East,24,Independent,Independent,Government Whip,http://parliament.bm/parliament/view/24,"","",2017
25,Curtis L. Dickinson,"",Warwick North East,25,Independent,Independent,Minister of Finance,http://parliament.bm/parliament/view/25,"","",2017
26,Neville Tyrrell,"",Warwick South Central,26,Independent,Independent,"",http://parliament.bm/parliament/view/26,"","",2017
27,David Burch,Lt. Col,Warwick North Central,27,Independent,Independent,Minister of Public Works,http://parliament.bm/parliament/view/27,"","",2017
28,Dennis Lister III,"",Warwick West,28,Independent,Independent,"",http://parliament.bm/parliament/view/28,"","",2017
29,Zane De Silva,"",Southampton East,29,Independent,Independent,Minister of Tourism and Transport,http://parliament.bm/parliament/view/29,"","",2017
3,Lovitta Foggo,"",St. David's,3,Independent,Independent,"Minister of Labour, Community Affairs and Sports",http://parliament.bm/parliament/view/3,"","",2017
30,Leah Scott,"",Southampton East Central,30,Independent,Independent,Deputy Opposition Leader,http://parliament.bm/parliament/view/30,"","",2017
31,Ben Smith,"",Southampton West Central,31,Independent,Independent,Shadow Minister of Sport & Youth Development,http://parliament.bm/parliament/view/31,"","",2017
32,Scott Simmons,"",Southampton West,32,PLP,PLP,"",http://parliament.bm/parliament/view/32,"","",2017
33,Jamahl Simmons,"",Sandys South,33,Independent,Independent,Minister Without Portfolio,http://parliament.bm/parliament/view/33,"","",2017
34,Kim Wilson,"",Sandys South Central,34,Independent,Independent,Minister of Health,http://parliament.bm/parliament/view/34,"","",2017
35,Dennis Lister,"",Sandys North Central,35,Independent,Independent,Speaker of the House of Assembly,http://parliament.bm/parliament/view/35,"","",2017
36,Michael Scott,"",Sandys North,36,Independent,Independent,"",http://parliament.bm/parliament/view/36,"","",2017
4,Tinee Furbert,"",St. George's South,4,Independent,Independent,"",http://parliament.bm/parliament/view/4,"","",2017
5,Derrick Burgess,"",Hamilton East,5,Independent,Independent,Deputy Speaker of the House of Assembly,http://parliament.bm/parliament/view/5,"","",2017
6,Wayne Furbert,"",Hamilton West,6,Independent,Independent,Junior Minister of Finance,http://parliament.bm/parliament/view/6,"","",2017
7,Sylvan Richards Jr.,"",Hamilton South,7,Independent,Independent,Shadow Minister of Planning and Environment,http://parliament.bm/parliament/view/7,"","",2017
8,N. Cole Simons,"",Smiths South,8,Independent,Independent,Shadow Minister of Education,http://parliament.bm/parliament/view/8,"","",2017
9,Trevor Moniz,"",Smiths West,9,Independent,Independent,Shadow Attorney General,http://parliament.bm/parliament/view/9,"","",2017
