id,name,party,party_id,area,image,term
61,Abderamane Ahmat Choukou,Mouvement Patriotique du Salut,MPS,Barh el Gazal,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton61-fbd34.jpg,3
99,Ali Kolotou Tchaïmi,Mouvement Patriotique du Salut,MPS,Barh el Gazal,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton99-ad63b.jpg,3
62,Djiddi Allahi Mahamat,unknown,unknown,Barh el Gazal,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton62-ac108.jpg,3
107,Djidi Allahi Mahamat,Mouvement Patriotique du Salut,MPS,Barh el Gazal,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton107-7cfb4.jpg,3
20,Issakha Abbakari,Mouvement Patriotique du Salut,MPS,Barh el Gazal,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton20-f0df4.jpg,3
161,Khadidja Hassaballah,Mouvement Patriotique du Salut,MPS,Barh el Gazal,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton161-ce5c3.jpg,3
136,Zakaria Mahamat Dallaye,Rassemblement pour la Démocratie et le Progrès,RDP,Barh el Gazal,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton136-d7e59.jpg,3
51,Abakar Ahamat Djibrine,Mouvement Patriotique du Salut,MPS,Batha,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton51-bb8ab.jpg,3
95,Ahmat Tahir Ahmat,Mouvement Patriotique du Salut,MPS,Batha,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton95-cfb21.jpg,3
135,Al Boukhari Hapsita Souleymane,Mouvement Patriotique du Salut,MPS,Batha,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton135-77fc8.jpg,3
185,Bichara Adoum Hassan,Mouvement Patriotique du Salut,MPS,Batha,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton185-bd3bd.jpg,3
110,Mahamat Ahmat Senousi,Mouvement Patriotique du Salut,MPS,Batha,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton110-05d31.jpg,3
224,Mouhadjer Ibet,Mouvement Patriotique du Salut,MPS,Batha,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton224-ea8bc.jpg,3
162,Rakhis Ahmat Saleh,Groupe parlementaire des Républicains,,Batha,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton162-173a2.jpg,3
127,Souraya Moustapha Mahamat,Mouvement Patriotique du Salut,MPS,Batha,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton127-f69f6.jpg,3
118,Idriss Ndele Moussa Yayami,Mouvement Patriotique du Salut,MPS,Borkou,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton118-228f6.jpg,3
199,Korei Mahamat,Mouvement Patriotique du Salut,MPS,Borkou,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton199-46796.jpg,3
86,Mahamat Eliyé Ahmed,Mouvement Patriotique du Salut,MPS,Borkou,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton86-661d6.jpg,3
170,Mansoura Hamit Nouri,Mouvement Patriotique du Salut,MPS,Borkou,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton170-f643b.jpg,3
76,Abba Oumar Gombo,Mouvement Patriotique du Salut,MPS,Chari Baguirmi,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton76-4e61b.jpg,3
82,Achta Mahamat Nour,Mouvement Patriotique du Salut,MPS,Chari Baguirmi,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton82-71bc5.jpg,3
186,Biouh Pabamé Dallah,Rassemblement des Nationalistes et Démocrates Tchadiens,RNDT Le Réveil,Chari Baguirmi,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton186-1a225.jpg,3
168,Issa Baba Hassane,Groupe parlementaire des Républicains,,Chari Baguirmi,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton168-a7981.jpg,3
203,Madi Ngarmongola,Mouvement Patriotique du Salut,MPS,Chari Baguirmi,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton203-6bd57.jpg,3
208,Mahamat Abakar Oudatallah,Mouvement Patriotique du Salut,MPS,Chari Baguirmi,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton208-6796f.jpg,3
157,Mahamat Kana Badi,Mouvement Patriotique du Salut,MPS,Chari Baguirmi,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton157-9a7e6.jpg,3
141,Mahamat Malloum Kader,Mouvement Patriotique du Salut,MPS,Chari Baguirmi,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton141-511b4.jpg,3
215,Mahamat Ousman Ngargnargue,Groupe parlementaire des Républicains,,Chari Baguirmi,http://www.assemblee-tchad.org/local/cache-vignettes/L221xH165/arton215-26d40.jpg,3
59,Abderamane Ahmat Borgou,Mouvement Patriotique du Salut,MPS,Ennedi,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton59-da124.jpg,3
65,Adoum  Diar Mogodi,Mouvement Patriotique du Salut,MPS,Ennedi,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton65-eac66.jpg,3
192,Adoum Khamis Nguili,Mouvement Patriotique du Salut,MPS,Ennedi,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton192-4250e.jpg,3
115,Hamid  Kodya Moustapha,Mouvement Patriotique du Salut,MPS,Ennedi,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton115-4019a.jpg,3
100,Alimé Ali Haouane,Mouvement Patriotique du Salut,MPS,Guera,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton100-dc98a.jpg,3
2,Hamid Moussa Ibedou,Groupe parlementaire des Républicains,,Guera,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton2-310ed.jpg,3
71,Issa Mardo Djabir,Mouvement Patriotique du Salut,MPS,Guera,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton71-7f71d.jpg,3
210,Mahamat Bachir Gadaya,Mouvement Patriotique du Salut,MPS,Guera,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton210-35157.png,3
130,Moussa Kadam,Mouvement Patriotique du Salut,MPS,Guera,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton130-a679e.jpg,3
165,Ramadane Kody Tchotch,Groupe parlementaire des Républicains,,Guera,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton165-e4a97.jpg,3
177,Senoussi Abdoulaye Djima,Mouvement Patriotique du Salut,MPS,Guera,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton177-2db04.jpg,3
137,Youssouf Moungache Abdallah,Groupe parlementaire des Républicains,,Guera,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton137-7f8b9.jpg,3
80,Acheikh  Abakar Hassane,Mouvement Patriotique du Salut,MPS,Hadjer Lamis,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton80-f9695.jpg,3
94,Ahmat Mahamat Abdoulaye,Mouvement Patriotique du Salut,MPS,Hadjer Lamis,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton94-5b00d.jpg,3
96,Al-Bachar Issa Taher,Mouvement Patriotique du Salut,MPS,Hadjer Lamis,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton96-87198.jpg,3
45,Alkhali Mahamat Ramat,Groupe parlementaire des Républicains,,Hadjer Lamis,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton45-0b20f.jpg,3
8,Fatimé Nouracham Ramadan,Mouvement Patriotique du Salut,MPS,Hadjer Lamis,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton8-b1f83.jpg,3
209,Mahamat Annadif Youssouf,Groupe parlementaire des Républicains,,Hadjer Lamis,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton209-c7e51.jpg,3
124,Mahamat Djibrine Nimir,Mouvement Patriotique du Salut,MPS,Hadjer Lamis,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton124-d8f45.jpg,3
216,Mahamat Saleh Makki,Groupe parlementaire des Républicains,,Hadjer Lamis,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton216-9ba7d.jpg,3
81,Achta Béchi,Mouvement Patriotique du Salut,MPS,Kanem,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton81-3ee94.jpg,3
101,Adoum Ali  Kedelaye,Mouvement Patriotique du Salut,MPS,Kanem,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton101-9a719.jpg,3
182,Azzain Mahamat Hassane,Mouvement Patriotique du Salut,MPS,Kanem,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton182-6a546.jpg,3
85,Lol Mahamat Choua,Rassemblement pour la Démocratie et le Progrès,RDP,Kanem,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton85-905fa.jpg,3
212,Mahamat  Sountali,Mouvement Patriotique du Salut,MPS,Kanem,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton212-c9072.jpg,3
213,Mahamat Mallaye,Mouvement Patriotique du Salut,MPS,Kanem,http://www.assemblee-tchad.org/local/cache-vignettes/L220xH165/arton213-57faf.jpg,3
217,Mahamat Sountani Ali,Mouvement Patriotique du Salut,MPS,Kanem,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton217-ac012.jpg,3
89,Adoum Moustapha Brahimi NGuili,Mouvement Patriotique du Salut,MPS,Lac,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton89-b4be9.jpg,3
98,Ali Abakar Adji,Mouvement Patriotique du Salut,MPS,Lac,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton98-06cf6.jpg,3
196,Fadjack Malloum,Mouvement Patriotique du Salut,MPS,Lac,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton196-7c623.jpg,3
4,Hadjé Zahara Affono,Mouvement Patriotique du Salut,MPS,Lac,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton4-066c7.jpg,3
149,Mahamat Ali Kourtou,Rassemblement pour la Démocratie et le Progrès,RDP,Lac,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton149-167ad.jpg,3
63,Tchari Madi Maïna,Rassemblement pour la Démocratie et le Progrès,RDP,Lac,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton63-36461.jpg,3
190,Djedanem Nemba,Mouvement Patriotique du Salut,MPS,Logone occidental,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton190-af63e.jpg,3
230,Djekornondé Tapambay,Groupe parlementaire des Républicains,,Logone occidental,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton230-61a36.jpg,3
