id,name,sort_name,birth_date,contact_form,constituency,party,party_id,image,term,source
239,Anja Bah Žibert,Bah Žibert Anja,1973-06-27,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P239,"",Slovenian Democratic Party,SDS,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P239,8,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P239
319,Predrag Baković,Baković Predrag,1964-11-21,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P319,"",Social Democrats,SD,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P319,8,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P319
006,Samo Bevk,Bevk Samo,1956-08-27,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P006,"",Social Democrats,SD,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P006,8,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P006
167,Franc Breznik,Breznik Franc,1970-07-23,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P167,"",Slovenian Democratic Party,SDS,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P167,8,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P167
243,Dr. Milan Brglez,Brglez Milan,,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P243,"",Social Democrats,SD,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P243,8,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P243
244,Nada Brinovšek,Brinovšek Nada,1961-04-24,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P244,"",Slovenian Democratic Party,SDS,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P244,8,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P244
335,Željko Cigler,Cigler Željko,1958-10-27,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P335,"",The Left,Levica,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P335,8,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P335
092,Zvonko Černač,Černač Zvonko,1962-09-23,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P092,"",Slovenian Democratic Party,SDS,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P092,8,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P092
169,Iva Dimic,Dimic Iva,1972-10-28,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P169,"",New Slovenia – Christian Democrats,NSi,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P169,8,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P169
332,Lidija Divjak Mirnik,Divjak Mirnik Lidija,1973-07-20,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P332,"",List of Marjan Šarec,LMŠ,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P332,8,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P332
