id,name,sort_name,birth_date,contact_form,constituency,party,party_id,image,term,source
298,Marija Bačič,Bačič Marija,1947-08-25,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P298,VIII Murska Sobota I 4,Social Democrats,SD,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P298,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P298
239,Anja Bah Žibert,Bah Žibert Anja,1973-06-27,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P239,VI Novo mesto I 2,Slovenian Democratic Party,SDS,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P239,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P239
240,Urška Ban,Ban Urška,1975-03-14,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P240,VI Novo mesto II 3,Party of Modern Centre,SMC,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P240,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P240
005,Roberto Battelli,Battelli Roberto,1954-10-19,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P005,IX Koper 1,Italian and Hungarian National Communities,IMNS,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P005,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P005
158,Mag. Julijana Bizjak Mlakar,Bizjak Mlakar Julijana,,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P158,I Kamnik 10,Democratic Party of Pensioners of Slovenia,DeSUS,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P158,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P158
235,Dr. Mirjam Bon Klanjšček,Bon Klanjšček Mirjam,,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P235,II Nova Gorica II 10,of Unaffiliated Deputies ,NP,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P235,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P235
166,Mag. Alenka Bratušek,Bratušek Alenka,1970-03-31,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P166,I Kranj I 4,of Unaffiliated Deputies ,NP,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P166,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P166
167,Franc Breznik,Breznik Franc,,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P167,VIII Lenart 7,Slovenian Democratic Party,SDS,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P167,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P167
243,Dr. Milan Brglez,Brglez Milan,,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P243,IV Ljubljana - Bežigrad II 9,Party of Modern Centre,SMC,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P243,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P243
244,Nada Brinovšek,Brinovšek Nada,1961-04-24,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P244,V Mozirje 6,Slovenian Democratic Party,SDS,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P244,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P244
246,Mag. Tanja Cink,Cink Tanja,1976-05-17,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P246,III Ljubljana - Šiška II 9,Party of Modern Centre,SMC,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P246,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P246
225,Andrej Čuš,Čuš Andrej,1990-07-27,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P225,VIII Ptuj I 9,AČ - Unaffiliated deputy,NeP,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P225,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P225
247,Erika Dekleva,Dekleva Erika,1969-12-02,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P247,II Postojna 8,Party of Modern Centre,SMC,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P247,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P247
169,Iva Dimic,Dimic Iva,1972-10-28,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P169,III Cerknica in Logatec 1,New Slovenia - Christian Democrats,NSi,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P169,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P169
248,Dr. Bojan Dobovšek,Dobovšek Bojan,1962-02-24,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P248,IV Ljubljana - Bežigrad I 8,of Unaffiliated Deputies ,NP,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P248,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P248
249,Marjan Dolinšek,Dolinšek Marjan,1962-04-05,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P249,VI Zagorje 11,Party of Modern Centre,SMC,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P249,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P249
