id,name,area,photo,party,term
1,Khattry Eli Mohamed Jidou,Nema,http://assembleenationale.mr/images/stories/membres2014/khattry%20eli%20mohamed%20jidou.png,unknown,12
2,Vatimetou Mohamed Yarbe Jiyid,Nema,http://www.assembleenationale.mr/cache/vatimetou%20mohamed%20yarbe%20jiyidassembleenationalemr_thumb_medium105_126.png,unknown,12
3,Mohamed Tourade Tourade Aba,Amourj,http://assembleenationale.mr/images/stories/membres2014/mohamed%20tourade%20tourade%20aba.png,unknown,12
4,Ahmoudeitt Abderrahmane Chein,Amourj,http://www.assembleenationale.mr/cache/ahmoudeitt%20abderrahmane%20cheinassembleenationalemr_thumb_medium106_130.png,unknown,12
5,Cheikh Bouye Abdellahi Taghiyou Ellah,Amourj,http://www.assembleenationale.mr/cache/cheikh%20bouye%20abdellahi%20taghiyou%20ellahassembleenationalemr_thumb_medium106_130.png,unknown,12
6,Mohamed Mahmoud Sidi Hanana,Bassiknou,http://www.assembleenationale.mr/cache/mohamed%20mahmoud%20sidi%20hananaassembleenationalemr_thumb_medium106_130.png,unknown,12
7,Vih El Mane Khaina Ghacha,Bassiknou,http://www.assembleenationale.mr/cache/vih%20el%20mane%20khaina%20ghachaassembleenationalemr_thumb_medium106_130.png,unknown,12
8,Mohamed Mohamedou Abdellahi,Timédra,http://www.assembleenationale.mr/cache/mohamed%20mohamedou%20abdellahiassembleenationalemr_thumb_medium106_130.png,unknown,12
9,Mohamed Ahmedou Ahmedou,Timédra,http://www.assembleenationale.mr/cache/mohamed%20ahmedou%20ahmedouassembleenationalemr_thumb_medium106_130.png,unknown,12
10,Yarbe EL Mane Elemine,Nbeiket Lehwach,http://www.assembleenationale.mr/cache/yarbe%20el%20mane%20elemineassembleenationalemr_thumb_medium106_130.png,unknown,12
11,Sidi Aly Mohamed SID'Elemine,Aioun,http://www.assembleenationale.mr/cache/sidi%20aly%20mohamed%20%20sidelemineassembleenationalemr_thumb_medium106_130.png,unknown,12
12,Mohamed Vadel Ahmed El Waghef Ahmed   ElWaghef,Aioun,http://www.assembleenationale.mr/cache/mohamed%20vadel%20ahmed%20el%20waghefassembleenationalemr_thumb_medium106_130.png,unknown,12
13,Mohemd Lemine Sidi Mohamed Ebehah,Tamchekett,http://www.assembleenationale.mr/cache/mohemd%20%20lemine%20sidi%20mohamed%20ebehahassembleenationalemr_thumb_medium106_130.png,unknown,12
14,Jedou Elbou Elbou,Tamchekett,http://www.assembleenationale.mr/cache/jedou%20elbou%20elbouassembleenationalemr_thumb_medium106_130.png,unknown,12
15,Fatma Sidi Mohamed Ely Mahmoud,Kobeni,http://www.assembleenationale.mr/cache/fatma%20sidi%20mohamed%20ely%20mahmoudassembleenationalemr_thumb_medium106_130.png,unknown,12
16,Babah Cheikhne Ahmed Babou,Kobeni,http://www.assembleenationale.mr/cache/babah%20ould%20ahmed%20babouassembleenationalemr_thumb_medium114_134.jpg,unknown,12
17,Aminetou taleb ahmed eleya,Kobeni,http://www.assembleenationale.mr/cache/aminetou%20taleb%20ahmed%20eleyaassembleenationalemr_thumb_medium114_134.png,unknown,12
18,Mohamed Mahmoud Cheikh El Ghouth,Kiffa,http://www.assembleenationale.mr/cache/mohamed%20mahmoud%20cheikh%20el%20ghouthassembleenationalemr_thumb_medium114_134.png,unknown,12
19,Sidi Mohamed Mohamed Mahmoud Mohamed   Radhi,Kiffa,http://www.assembleenationale.mr/cache/sidi%20mohamed%20mohamed%20mahmoud%20mohamed%20radhiassembleenationalemr_thumb_medium114_134.png,unknown,12
20,Hamidi Sid Moctar Mohamed Abdi,Kiffa,http://www.assembleenationale.mr/cache/hamidi%20sid%20moctar%20mohamed%20abdiassembleenationalemr_thumb_medium113_135.png,unknown,12
21,Idoumou Sidi Jyed,Kankossa,"",unknown,12
22,Lemrabott Bennahi Bennahi,Kankossa,http://www.assembleenationale.mr/cache/lemrabott%20bennahi%20bennahiassembleenationalemr_thumb_medium112_134.png,unknown,12
