id,name,start_date,end_date,wikidata
19,19th Bundestag,2017-10-24,,Q30579723
18,18th Bundestag,2013-10-22,2017-10-24,Q15081430
17,17th Bundestag,2009-10-27,2013-10-22,Q15081429
16,16th Bundestag,2005-10-18,2009-10-27,Q15081428
15,15th Bundestag,2002-10-17,2005-10-18,Q15081427
14,14th Bundestag,1998-10-26,2002-10-17,Q15081426
13,13th Bundestag,1994-11-10,1998-10-26,Q15081424
12,12th Bundestag,1990-12-20,1994-11-10,Q15081421
11,11th Bundestag,1987-02-18,1990-12-20,Q15741572
10,10th Bundestag,1983-03-29,1987-02-18,Q15741566
9,9th Bundestag,1980-11-04,1983-03-29,Q15781093
8,8th Bundestag,1976-12-14,1980-11-04,Q15781086
7,7th Bundestag,1972-12-13,1976-12-14,Q15781078
6,6th Bundestag,1969-10-20,1972-12-13,Q15644627
5,5th Bundestag,1965-10-19,1969-10-20,Q15781067
4,4th Bundestag,1961-10-17,1965-10-19,Q15781058
3,3rd Bundestag,1957-10-15,1961-10-17,Q15781041
2,2nd Bundestag,1953-10-06,1957-10-15,Q7443318
1,1st Bundestag,1949-09-07,1953-10-06,Q5453045
