id,label,type
Q10495390,Minister of Trade and Industry,cabinet
Q10495404,Minister of Economic Affairs,cabinet
Q10563305,Minister of Labour,cabinet
Q11894988,"Minister for European Affairs, Culture and Sport",cabinet
Q11895063,Minister of Transport and Communications,cabinet
Q11895091,Minister of Education and Culture,cabinet
Q11895097,Minister of Family Affairs and Social Services,cabinet
Q11895139,Q11895139,cabinet
Q11895142,Minister for European Affairs and Foreign Trade,cabinet
Q1294631,Minister of Justice,cabinet
Q1425432,Minister of the Environment,cabinet
Q1445938,Minister of the Interior,cabinet
Q15934457,Minister of Transport,cabinet
Q17118521,Minister for International Development,cabinet
Q18694340,Minister of Housing,cabinet
Q18694348,Minister of Health and Social Services,cabinet
Q18694351,Minister of Communications,cabinet
Q188393,Minister of Defence of Finland,cabinet
Q21141009,Minister of Culture and Sport,cabinet
Q2367542,Minister of Finance,cabinet
Q23725756,Minister of Culture,cabinet
Q2386529,Minister for Foreign Affairs of Finland,cabinet
Q24205201,Minister of Agriculture and Forestry,cabinet
Q25713902,Minister of Transport and Local Government,cabinet
Q3278079,Deputy Prime Minister of Finland,cabinet
Q46991594,Minister of Local Government and Public Reforms,cabinet
Q46995758,Minister of Culture and Housing,cabinet
Q46996884,"Minister for European Affairs, Culture and Sports",cabinet
Q46999385,Minister of Agriculture and the Environment,cabinet
Q738695,Prime Minister of Finland,cabinet
