id,position,label,description,start_date,end_date,constituency,term,election,replaces,replaced_by
Q3479098,Q53914433,Wan Chai District councilor,"",2016-01-01,,Broadwood,5th Council in Wan Chai District,2015 Hong Kong local elections,,
Q4275406,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,1998-07-01,2000-09-30,New Territories East,,,,
Q4275406,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2000-10-01,2004-09-30,Hong Kong Island,,,,
Q4275406,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2008-10-01,2016-09-30,Hong Kong Island,,,,
Q4368021,Q13416334,member of the Provisional Legislative Council,"",1996-12-21,1998-06-30,,,,,
Q4368021,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,1998-07-01,2004-09-30,Commercial (First),,,,
Q4368021,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2004-10-01,2008-09-30,New Territories East,,,,
Q4368021,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2012-10-01,2016-09-30,New Territories East,,,,
Q4368021,Q51078983,member of the National Committee of the Chinese People's Political Consultative Conference,"","",,,12th National Committee of the Chinese People's Political Consultative Conference,,,
Q4669150,Q329455,justice of the peace,"judicial officer, of a lower or puisne court, elected or appointed by means of a commission (letters patent) to keep the peace","",,,,,,
Q4725987,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2012-10-01,,New Territories West,,,,
Q4757753,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,"",,,6th Legislative Council of Hong Kong,,,
Q4757753,Q3068969,President of the Legislative Council of Hong Kong,oh ok,2016-10-12,,,,,Jasper Tsang,
Q4757753,Q51078983,member of the National Committee of the Chinese People's Political Consultative Conference,"","",,,13th National Committee of the Chinese People's Political Consultative Conference,,,
Q4885408,Q329455,justice of the peace,"judicial officer, of a lower or puisne court, elected or appointed by means of a commission (letters patent) to keep the peace","",,,,,,
Q5070323,Q13416334,member of the Provisional Legislative Council,"","",,,,,,
Q5070323,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,1998-07-01,2000-09-30,Election Committee,,,,
Q5070323,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2000-10-01,2016-09-30,Kowloon East,,,,
Q5070323,Q51078983,member of the National Committee of the Chinese People's Political Consultative Conference,"","",,,12th National Committee of the Chinese People's Political Consultative Conference,,,
Q5070327,Q329455,justice of the peace,"judicial officer, of a lower or puisne court, elected or appointed by means of a commission (letters patent) to keep the peace","",,,,,,
Q5070393,Q13416334,member of the Provisional Legislative Council,"",1996-12-21,1998-09-30,,,,,
Q5070393,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,1998-07-01,2008-09-30,Kowloon East,,,,
Q5070393,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2012-10-01,2016-09-30,District Council (Second),,,,
Q5070393,Q51078983,member of the National Committee of the Chinese People's Political Consultative Conference,"","",,,12th National Committee of the Chinese People's Political Consultative Conference,,,
Q5081014,Q329455,justice of the peace,"judicial officer, of a lower or puisne court, elected or appointed by means of a commission (letters patent) to keep the peace","",,,,,,
Q50835,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2008-10-01,,Hong Kong Island,,,,
Q50835,Q5280547,Director of Immigration,position of the Hong Kong Government,1997-07-01,1998-07-31,,,,"",Ambrose Lee
Q50835,Q5541355,Secretary for Security,position of the Hong Kong Government,1998-08-01,2003-07-16,,,,Peter Lai,Ambrose Lee
Q50835,Q5541355,Secretary for Security,position of the Hong Kong Government,1998-08-31,2003-07-25,,,,Peter Lai,Ambrose Lee
Q5112099,Q51078983,member of the National Committee of the Chinese People's Political Consultative Conference,"","",,,12th National Committee of the Chinese People's Political Consultative Conference,,,
Q5112105,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2012-10-01,2016-09-30,Hong Kong Island,,,,
Q5129223,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2012-10-01,,Kowloon West,,,,
Q5363394,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2012-10-01,,New Territories East,,,,
Q5491095,Q329455,justice of the peace,"judicial officer, of a lower or puisne court, elected or appointed by means of a commission (letters patent) to keep the peace","",,,,,,
Q5524836,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2008-10-01,,New Territories East,,,,
Q5541244,Q51078983,member of the National Committee of the Chinese People's Political Consultative Conference,"","",,,13th National Committee of the Chinese People's Political Consultative Conference,,,
Q6144316,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,1998-07-01,2012-09-30,Kowloon West,,,,
Q6144316,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2012-10-01,,District Council (Second),,,,
Q6144316,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2016-10-01,,District Council (Second),6th Legislative Council of Hong Kong,2016 Hong Kong legislative election,,
Q6144316,Q53914332,Yau Tsim Mong District councilor,"",2016-01-01,,Olympic,5th Council in Yau Tsim Mong District,2015 Hong Kong local elections,,
Q6176119,Q51078983,member of the National Committee of the Chinese People's Political Consultative Conference,"","",,,13th National Committee of the Chinese People's Political Consultative Conference,,,
Q6284882,Q329455,justice of the peace,"judicial officer, of a lower or puisne court, elected or appointed by means of a commission (letters patent) to keep the peace","",,,,,,
Q6313725,Q329455,justice of the peace,"judicial officer, of a lower or puisne court, elected or appointed by means of a commission (letters patent) to keep the peace","",,,,,,
Q6389965,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2012-10-01,2016-09-30,Hong Kong Island,,2012 Hong Kong legislative election,,
Q6465949,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,1998-07-01,2008-09-30,Information Technology,,,,
Q6465949,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2012-10-01,2016-09-30,Hong Kong Island,,,,
Q6497659,Q13416334,member of the Provisional Legislative Council,"","",,,,,,
Q6497659,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,1998-07-01,,,,,,
Q6497659,Q51078983,member of the National Committee of the Chinese People's Political Consultative Conference,"","",,,11th National Committee of the Chinese People's Political Consultative Conference,,,
Q6534559,Q51078983,member of the National Committee of the Chinese People's Political Consultative Conference,"","",,,13th National Committee of the Chinese People's Political Consultative Conference,,,
Q6534595,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,1998-07-01,2016-09-30,New Territories West,,,,
Q6534595,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2016-10-01,,District Council (Second),,,,
Q6588095,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2008-10-01,2010-01-28,Hong Kong Island,,,,
Q6588095,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2010-05-17,2012-09-30,Hong Kong Island,,,,
Q6588095,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2016-10-01,,Hong Kong Island,6th Legislative Council of Hong Kong,2016 Hong Kong legislative election,,
Q6720732,Q10891456,member of the National People's Congress,member of Chinese National People's Congress,"",,Hong Kong,13th National People's Congress,,,
Q6720732,Q13416334,member of the Provisional Legislative Council,"","",,,,,,
Q6720732,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,1998-07-01,,,,,,
Q698557,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,1998-07-01,2016-09-30,New Territories East,,,,
Q701670,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2000-07-01,2010-01-28,New Territories West,,,,
Q701670,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2010-05-17,2016-09-30,New Territories West,,,,
Q701707,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2008-10-01,2010-01-28,Kowloon West,,2008 Hong Kong legislative election,,
Q701707,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2010-05-17,2016-09-30,Kowloon West,,2010 Hong Kong by-elections,,
Q704032,Q51078983,member of the National Committee of the Chinese People's Political Consultative Conference,"","",,,13th National Committee of the Chinese People's Political Consultative Conference,,,
Q712854,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2004-10-01,2010-01-28,New Territories East,,2004 Hong Kong legislative election,,
Q712854,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2010-05-17,2017-07-14,New Territories East,,2010 Hong Kong by-elections,,
Q7227847,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2016-10-01,,New Territories West,6th Legislative Council of Hong Kong,2016 Hong Kong legislative election,,
Q7237065,Q53913929,Central and Western District councilor,"",2016-01-01,,Sai Wan,5th Council in Central and Western District,2015 Hong Kong local elections,,
Q7245609,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2008-10-01,,Kowloon West,,,,
Q7680491,Q10891456,member of the National People's Congress,member of Chinese National People's Congress,"",,Hong Kong,13th National People's Congress,,,
Q7680491,Q13416334,member of the Provisional Legislative Council,"",1996-12-21,1998-06-30,,,,,
Q7680491,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,1998-07-01,2016-09-30,New Territories West,,,,
Q7680491,Q51078983,member of the National Committee of the Chinese People's Political Consultative Conference,"","",,,12th National Committee of the Chinese People's Political Consultative Conference,,,
Q7819303,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2000-10-01,,Catering,,,,
Q7930020,Q329455,justice of the peace,"judicial officer, of a lower or puisne court, elected or appointed by means of a commission (letters patent) to keep the peace","",,,,,,
Q7930030,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2004-10-01,2008-09-30,Medical,,,,
Q7930030,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2012-10-01,,New Territories West,,,,
Q7931787,Q329455,justice of the peace,"judicial officer, of a lower or puisne court, elected or appointed by means of a commission (letters patent) to keep the peace","",,,,,,
Q8032000,Q53914229,Eastern District councilor,"",2016-01-01,,Siu Sai Wan,5th Council in Eastern District,2015 Hong Kong local elections,,
Q8032004,Q10891456,member of the National People's Congress,member of Chinese National People's Congress,"",,Hong Kong,11th National People's Congress,,,
Q8032004,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2008-10-01,,Kowloon East,,,,
Q8032036,Q329455,justice of the peace,"judicial officer, of a lower or puisne court, elected or appointed by means of a commission (letters patent) to keep the peace","",,,,,,
Q80332,Q10891456,member of the National People's Congress,member of Chinese National People's Congress,"",,Hong Kong,13th National People's Congress,,,
Q80332,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2012-10-01,,New Territories West,,,,
Q80332,Q53914050,Tsuen Wan District councilor,"",2016-01-01,,Discovery Park,5th Council in Tsuen Wan District,2015 Hong Kong local elections,,
Q8038881,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2012-10-01,,Kowloon East,,,,
Q8038881,Q53913812,Wong Tai Sin District councilor,"",2016-01-01,,King Fu,5th Council in Wong Tai Sin District,2015 Hong Kong local elections,,
Q8942683,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2018-11-26,,Kowloon West,6th Legislative Council of Hong Kong,,Lau Siu-lai,
Q9112403,Q53914891,North District councilor,"",2016-01-01,,Yan Shing,5th Council in North District,2015 Hong Kong local elections,,
Q9114735,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2018-03-21,,Hong Kong Island,6th Legislative Council of Hong Kong,March 2018 Hong Kong by-elections,,
Q9114735,Q53914186,Southern District councilor,"",2012,,,,,,
