id,name,gender,faction,image,area,term,source,name__ja,name__ja_hira,faction__ja,area__ja
001,OSHIMA Tadamori,male,Ind,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/001.jpg/%24File/001.jpg,Aomori 2nd District,48,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/001.html,大島 理森君,おおしま ただもり,無,青森2
002,AKAMATSU Hirotaka,male,Ind,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/002.jpg/%24File/002.jpg,Aichi 5th District,48,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/002.html,赤松 広隆君,あかまつ ひろたか,無,愛知5
003,AKAMA Jiro,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/003.jpg/%24File/003.jpg,Kanagawa 14th District,48,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/003.html,あかま 二郎君,あかま じろう,自民,神奈川14
004,AKIMOTO Tsukasa,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/004.jpg/%24File/004.jpg,Tokyo 15th District,48,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/004.html,あきもと 司君,あきもと つかさ,自民,東京15
005,ABE Toshiko,female,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/005.jpg/%24File/005.jpg,Okayama 3rd District,48,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/005.html,あべ 俊子君,あべ としこ,自民,岡山3
006,AZUMI Jun,male,GI,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/006.jpg/%24File/006.jpg,Miyagi 5th District,48,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/006.html,安住 淳君,あずみ じゅん,無会,宮城5
007,ABE Shinzo,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/007.jpg/%24File/007.jpg,Yamaguchi 4th District,48,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/007.html,安倍 晋三君,あべ しんぞう,自民,山口4
008,ADACHI Yasushi,male,JIP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/008.jpg/%24File/008.jpg,Kinki Bloc,48,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/008.html,足立 康史君,あだち やすし,維新,（比）近畿
009,AKUTSU Yukihiko,male,CDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/009.jpg/%24File/009.jpg,Tohoku Bloc,48,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/009.html,阿久津 幸彦君,あくつ ゆきひこ,立憲,（比）東北
010,ABE Tomoko,female,CDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/010.jpg/%24File/010.jpg,Kanagawa 12th District,48,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/010.html,阿部 知子君,あべ ともこ,立憲,神奈川12
011,AISAWA Ichiro,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/011.jpg/%24File/011.jpg,Okayama 1st District,48,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/011.html,逢沢 一郎君,あいさわ いちろう,自民,岡山1
012,AOYAGI Yoichiro,male,CDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/012.jpg/%24File/012.jpg,Kanagawa 6th District,48,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/012.html,青柳 陽一郎君,あおやぎ よういちろう,立憲,神奈川6
013,AOYAMA Masayuki,male,Ind,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/013.jpg/%24File/013.jpg,Tokai Bloc,48,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/013.html,青山 雅幸君,あおやま まさゆき,無,（比）東海
014,AOYAMA Yamato,male,DPFP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/014.jpg/%24File/014.jpg,Kita Kanto Bloc,48,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/014.html,青山 大人君,あおやま やまと,国民,（比）北関東
015,AKAZAWA Ryosei,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/015.jpg/%24File/015.jpg,Tottori 2nd District,48,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/015.html,赤澤 亮正君,あかざわ りょうせい,自民,鳥取2
016,AKABA Kazuyoshi,male,KM,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/016.jpg/%24File/016.jpg,Hyogo 2nd District,48,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/016.html,赤羽 一嘉君,あかば かずよし,公明,兵庫2
017,AKAMINE Seiken,male,JCP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/017.jpg/%24File/017.jpg,Okinawa 1st District,48,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/017.html,赤嶺 政賢君,あかみね せいけん,共産,沖縄1
