name,wikipedia__en,party_id,party,area,area_id,source,term,id
Allen Chastanet,Allen Chastanet,UWP,United Workers Party,Micoud South,ocd-division/country:lc/constituency:micoud-south,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,10,allen-chastanet
Alva Baptiste,Alva Baptiste,SLP,Saint Lucia Labour Party,Laborie,ocd-division/country:lc/constituency:laborie,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,10,alva-baptiste
Alva Baptiste,Alva Baptiste,SLP,Saint Lucia Labour Party,Laborie,ocd-division/country:lc/constituency:laborie,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,9,alva-baptiste
Alva Baptiste,Alva Baptiste,SLP,Saint Lucia Labour Party,Laborie,ocd-division/country:lc/constituency:laborie,https://en.wikipedia.org/w/index.php?title=House_of_Assembly_of_Saint_Lucia&oldid=705345669,8,alva-baptiste
Alvina Reynolds,Alvina Reynolds,SLP,Saint Lucia Labour Party,Babonneau,ocd-division/country:lc/constituency:babonneau,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,9,alvina-reynolds
Arsene James,Arsene James,UWP,United Workers Party,Micoud South,ocd-division/country:lc/constituency:micoud-south,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,9,arsene-james
Arsene James,Arsene James,UWP,United Workers Party,Micoud South,ocd-division/country:lc/constituency:micoud-south,https://en.wikipedia.org/w/index.php?title=House_of_Assembly_of_Saint_Lucia&oldid=705345669,8,arsene-james
Bradley Felix,"",UWP,United Workers Party,Choiseul,ocd-division/country:lc/constituency:choiseul,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,10,bradley-felix
Desmond Long,"",SLP,Saint Lucia Labour Party,Anse la Raye and Canaries,ocd-division/country:lc/constituency:anse-la-raye-and-canaries,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,9,desmond-long
Dominic Fedee,Dominic Fedee,UWP,United Workers Party,Anse la Raye and Canaries,ocd-division/country:lc/constituency:anse-la-raye-and-canaries,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,10,dominic-fedee
Edmund Estephane,Edmund Estephane,UWP,United Workers Party,Dennery South,ocd-division/country:lc/constituency:dennery-south,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,10,edmund-estephane
Edmund Estephane,Edmund Estephane,UWP,United Workers Party,Dennery South,ocd-division/country:lc/constituency:dennery-south,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,9,edmund-estephane
Edmund Estephane,Edmund Estephane,UWP,United Workers Party,Dennery South,ocd-division/country:lc/constituency:dennery-south,https://en.wikipedia.org/w/index.php?title=House_of_Assembly_of_Saint_Lucia&oldid=705345669,8,edmund-estephane
Emma Hippolyte,Emma Hippolyte,SLP,Saint Lucia Labour Party,Gros Islet,ocd-division/country:lc/constituency:gros-islet,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,9,emma-hippolyte
Ernest Hilaire,"",SLP,Saint Lucia Labour Party,Castries South,ocd-division/country:lc/constituency:castries-south,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,10,ernest-hilaire
Ezechiel Joseph,Ezechiel Joseph,UWP,United Workers Party,Babonneau,ocd-division/country:lc/constituency:babonneau,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,10,ezechiel-joseph
Ezechiel Joseph,Ezechiel Joseph,UWP,United Workers Party,Babonneau,ocd-division/country:lc/constituency:babonneau,https://en.wikipedia.org/w/index.php?title=House_of_Assembly_of_Saint_Lucia&oldid=705345669,8,ezechiel-joseph
Gale Rigobert,Gale Rigobert,UWP,United Workers Party,Micoud North,ocd-division/country:lc/constituency:micoud-north,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,10,gale-rigobert
Gale Rigobert,Gale Rigobert,UWP,United Workers Party,Micoud North,ocd-division/country:lc/constituency:micoud-north,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,9,gale-rigobert
Guy Joseph,Guy Joseph,UWP,United Workers Party,Castries South East,ocd-division/country:lc/constituency:castries-south-east,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,10,guy-joseph
Guy Joseph,Guy Joseph,UWP,United Workers Party,Castries South East,ocd-division/country:lc/constituency:castries-south-east,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,9,guy-joseph
Guy Joseph,Guy Joseph,UWP,United Workers Party,Castries South East,ocd-division/country:lc/constituency:castries-south-east,https://en.wikipedia.org/w/index.php?title=House_of_Assembly_of_Saint_Lucia&oldid=705345669,8,guy-joseph
