id,name,wikipedia__en,party,party_id,term,source,area,area_id
lorne-theophilus,Lorne Theophilus,"",Saint Lucia Labour Party,SLP,9,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,Choiseul,ocd-division/country:lc/constituency:choiseul
alva-baptiste,Alva Baptiste,Alva Baptiste,Saint Lucia Labour Party,SLP,9,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,Laborie,ocd-division/country:lc/constituency:laborie
moses-jean-baptiste,Moses Jean Baptiste,Moses Jean Baptiste,Saint Lucia Labour Party,SLP,9,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,Vieux Fort North,ocd-division/country:lc/constituency:vieux-fort-north
kenny-anthony,Kenny Anthony,Kenny Anthony,Saint Lucia Labour Party,SLP,9,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,Vieux Fort South,ocd-division/country:lc/constituency:vieux-fort-south
arsene-james,Arsene James,Arsene James,United Workers Party,UWP,9,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,Micoud South,ocd-division/country:lc/constituency:micoud-south
gale-rigobert,Gale Rigobert,Gale Rigobert,United Workers Party,UWP,9,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,Micoud North,ocd-division/country:lc/constituency:micoud-north
edmund-estephane,Edmund Estephane,Edmund Estephane,United Workers Party,UWP,9,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,Dennery South,ocd-division/country:lc/constituency:dennery-south
shawn-edwards,Shawn Edwards,"",Saint Lucia Labour Party,SLP,9,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,Dennery North,ocd-division/country:lc/constituency:dennery-north
lenard-montoute,Lenard Montoute,Lenard Montoute,United Workers Party,UWP,10,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,Gros Islet,ocd-division/country:lc/constituency:gros-islet
ezechiel-joseph,Ezechiel Joseph,Ezechiel Joseph,United Workers Party,UWP,10,https://en.wikipedia.org/wiki/House_of_Assembly_of_Saint_Lucia,Babonneau,ocd-division/country:lc/constituency:babonneau
