id,name,party,constituency,source,image,religion,birth_date,email,term
1,BRYAN ACHEAMPONG,New Patriotic Party,"Abetifi Constituency, Eastern Region",https://www.parliament.gh/mps?mp=1,"https://www.parliament.gh/epanel/mps/ACHEAMPONG,_BRYAN__ABETIFI__NPP.jpg",CHRISTIANITY,1972-11-27,,7
10,COMFORT DOYOE CUDJOE GHANSAH,National Democratic Congress,"Ada Constituency, Greater Accra Region",https://www.parliament.gh/mps?mp=10,https://www.parliament.gh/epanel/mps/CUDJOE_GHANSAH_DOYOE_COMFORT_ADA_NDC.jpg,GREATER ACCRA,1967-11-03,,7
100,SHAIBU MAHAMA,National Democratic Congress,"Daboya-Mankarigu Constituency, Northern Region",https://www.parliament.gh/mps?mp=100,https://www.parliament.gh/epanel/mps/MAHAMA_SHAIBU_DABOYA-MANKARIGU_NDC.jpg,ISLAM,1970-10-15,,7
101,VINCENT SOWAH ODOTEI,New Patriotic Party,"Dadekotopon Constituency, Greater Accra Region",https://www.parliament.gh/mps?mp=101,https://www.parliament.gh/epanel/mps/ODOTEI_VINCENT_SOWAH___DADEKOTOPON__NPP.jpg,CHRISTIAN,1968-05-05,,7
102,SEBASTIAN NGMENENSO SANDAARE,National Democratic Congress,"Daffiama, Bussie, Issa Constituency, Upper West Region",https://www.parliament.gh/mps?mp=102,https://www.parliament.gh/epanel/mps/SANDAARE_SABASTIAN_NGMENENSO__DAFFIAMA-BUSSI-ISSA__NDC.jpg,Christian,1974-01-01,,7
103,MUTAWAKILU ADAM,National Democratic Congress,"Damango Constituency, Northern Region",https://www.parliament.gh/mps?mp=103,"https://www.parliament.gh/epanel/mps/MUTAWAKILU,_ADAM__DAMANGO__NDC.jpg",ISLAM,1978-03-02,,7
104,SARAH ADWOA SAFO,New Patriotic Party,"Dome Kwabenya Constituency, Greater Accra Region",https://www.parliament.gh/mps?mp=104,https://www.parliament.gh/epanel/mps/SAFO_ADWOA_SARAH_DOME-KWABENYA_NPP.jpg,CHRISTIANITY,1981-12-28,,7
105,SOPHIA KAREN EDEM ACKUAKU,National Democratic Congress,"Domeabra-Obom Constituency, Greater Accra Region",https://www.parliament.gh/mps?mp=105,https://www.parliament.gh/epanel/mps/ACKUAKU_SOPHIA_DOMIABRA_OBOM_NDC.jpg,Christian,1972-10-07,,7
106,KWAKU AGYEMAN-MANU,New Patriotic Party,"Dormaa Central Constituency, Brong Ahafo Region",https://www.parliament.gh/mps?mp=106,"https://www.parliament.gh/epanel/mps/AGYEMAN-MANU,_KWAKU_DORMAA_CENTRAL_NPP.jpg",Christian,1955-09-06,,7
107,WILLIAM KWASI SABI,New Patriotic Party,"Dormaa East Constituency, Brong Ahafo Region",https://www.parliament.gh/mps?mp=107,https://www.parliament.gh/epanel/mps/SABI_WILLIAM_KWASI__DORMAA_EAST_NPP.jpg,CHRISTIAN,1966-08-23,,7
108,ALI MAIGA HALIDU,New Patriotic Party,"Dormaa West Constituency, Brong Ahafo Region",https://www.parliament.gh/mps?mp=108,https://www.parliament.gh/epanel/mps/HALIDU_ALI_MAIGA_DORMAA_WEST_NPP.jpg,ISLAM,1980-03-11,,7
109,JOSEPH CUDJOE,New Patriotic Party,"Effia Constituency, Western Region",https://www.parliament.gh/mps?mp=109,https://www.parliament.gh/epanel/mps/CUDJOE_JOSEPH_EFFIA_NPP.jpg,CHRISTIAN,1964-10-02,,7
11,KWAME GOVERNS AGBODZA,National Democratic Congress,"Adaklu Constituency, Volta Region",https://www.parliament.gh/mps?mp=11,https://www.parliament.gh/epanel/mps/AGBODZA_KWAME_GOVERNS__ADAKLU__NDC.jpg,Christian,1973-09-22,,7
110,NANA AYEW AFRIYE,New Patriotic Party,"Effiduase-Asokore Constituency, Ashanti Region",https://www.parliament.gh/mps?mp=110,https://www.parliament.gh/epanel/mps/AFRIYE_AYEW_NANA_EFFIDUASE-ASOKORRE_NPP.jpg,CHRISTIAN,1978-01-22,,7
111,ALEXANDER KWAMENA AFENYO-MARKIN,New Patriotic Party,"Effutu Constituency, Central Region",https://www.parliament.gh/mps?mp=111,https://www.parliament.gh/epanel/mps/AFENYO-MARKIN_ALEXANDER_KWAMENA__EFUTU__NPP.jpg,Christian,1978-05-27,,7
112,KWABENA OWUSU-ADUOMI,New Patriotic Party,"Ejisu Constituency, Ashanti Region",https://www.parliament.gh/mps?mp=112,https://www.parliament.gh/epanel/mps/OWUSU-ADUOMI_KWABENA_EJISU_NPP.jpg,Christian,1960-09-17,,7
113,MUHAMMAD BAWAH BRAIMAH,National Democratic Congress,"Ejura-Sekyedumase Constituency, Ashanti Region",https://www.parliament.gh/mps?mp=113,https://www.parliament.gh/epanel/mps/MUHAMMED_BAWAH_BRAIMAH_EJURA-SEKYEDUMASE_NDC.jpg,MUSLIM,1959-11-28,,7
114,FRANCIS KINGSLEY ATO CODJOE,New Patriotic Party,"Ekumfi Constituency, Central Region",https://www.parliament.gh/mps?mp=114,https://www.parliament.gh/epanel/mps/CODJOE_FRANCIS_KINGSLEY_ATO__EKUMFI__NPP.jpg,Christian,1971-07-31,,7
115,EMMANUEL ARMAH-KOFI BUAH,National Democratic Congress,"Ellembele Constituency, Western Region",https://www.parliament.gh/mps?mp=115,https://www.parliament.gh/epanel/mps/ARMAH-KOFI_BUAH_EMMANUEL_ELLEMBELE_NDC.jpg,CHRISTIAN,1966-05-10,,7
